"","name","latitude","longitude","id","observed_on","month","day","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1","Heloniopsis umbellata",25.16529734,121.5588878,9831364,2018,2,12,112,116,135,169,201,230,247,244,227,198,167,130
"2","Heloniopsis umbellata",25.16995752,121.5513222,10427280,2018,3,3,100,104,121,154,187,215,231,229,212,184,153,118
"3","Heloniopsis umbellata",24.57723243,121.4121484,14642112,2010,2,9,73,78,97,128,159,185,198,194,178,151,122,88
"4","Heloniopsis umbellata",24.505106,121.525898,18875504,2018,4,3,63,68,86,116,146,172,183,180,164,138,110,77
"5","Heloniopsis umbellata",24.37821667,121.3950083,19655032,2018,4,18,35,40,56,85,115,139,150,146,132,107,79,49
"6","Heloniopsis umbellata",25.16588609,121.5541496,19945324,2019,1,29,111,115,134,167,200,229,245,243,225,197,166,129
"7","Heloniopsis umbellata",25.16505814,121.5835953,19987206,2019,1,31,111,115,133,167,200,228,245,242,225,196,165,129
"8","Heloniopsis umbellata",24.49594256,121.535667,20023322,2019,2,2,65,70,87,117,148,173,185,181,166,139,111,79
"9","Heloniopsis umbellata",24.53847047,121.5114622,20048884,2019,2,1,110,116,138,172,202,229,242,238,221,192,162,126
"10","Heloniopsis umbellata",25.16509116,121.5591609,20181652,2019,2,7,112,116,135,169,201,230,247,244,227,198,167,130
"11","Heloniopsis umbellata",24.66873921,121.281732,20278643,2019,2,11,86,91,111,144,176,203,216,213,197,168,138,102
"12","Heloniopsis umbellata",25.1797792,121.5221929,20301796,2019,2,8,102,105,123,156,189,217,234,231,214,186,155,119
"13","Heloniopsis umbellata",25.24472237,121.5149994,20379971,2019,2,16,141,145,165,201,235,264,282,280,262,231,199,160
"14","Heloniopsis umbellata",24.50847,121.61225,20549412,2019,2,21,64,69,86,116,146,171,183,179,164,138,110,78
"15","Heloniopsis umbellata",24.4908716,121.1278182,20847995,2019,2,25,70,75,95,127,158,183,195,192,177,150,120,85
"16","Heloniopsis umbellata",24.6658514,121.2785361,21081909,2015,2,28,88,93,113,146,178,205,218,215,199,170,140,104
"17","Heloniopsis umbellata",25.17,121.551111,21319342,2019,3,17,100,104,121,154,187,215,231,229,212,184,153,118
"18","Heloniopsis umbellata",25.19361167,121.5379633,21479712,2019,2,2,109,112,131,164,197,226,243,240,223,194,163,127
"19","Heloniopsis umbellata",24.39181519,121.3526917,21509203,2019,3,18,59,65,83,114,144,169,180,177,161,135,106,74
"20","Heloniopsis umbellata",24.50184167,121.5249783,22995153,2019,2,17,63,68,86,116,146,172,183,180,164,138,110,77
"21","Heloniopsis umbellata",25.18526706,121.5269015,23858091,2019,2,12,107,110,128,162,195,223,240,237,220,191,161,125
"22","Heloniopsis umbellata",24.497724,121.5350318,24267448,2018,3,28,65,70,87,117,148,173,185,181,166,139,111,79
