"","decimalLongitude","decimalLatitude","key","scientificName","year","month","day","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1",103.44424,30.587229,"1030871249","Ypsilandra thibetica Franch.",1989,NA,NA,60,82,123,175,212,236,255,252,215,172,125,75
"2",110.85,26.43,"2417614381","Ypsilandra thibetica Franch.",1985,NA,NA,59,83,121,183,229,264,289,281,244,193,139,84
"3",102.928376,30.144125,"1030898355","Ypsilandra thibetica Franch.",1983,NA,NA,61,83,123,173,207,230,250,247,212,170,124,76
"4",102.928376,30.144125,"1030898380","Ypsilandra thibetica Franch.",1983,NA,NA,61,83,123,173,207,230,250,247,212,170,124,76
"5",102.758313,30.066708,"1030871210","Ypsilandra thibetica Franch.",1980,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"6",102.758313,30.066708,"1030871229","Ypsilandra thibetica Franch.",1980,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"7",102.758313,30.066708,"1030871230","Ypsilandra thibetica Franch.",1980,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"8",110.585686,25.60168,"1030923728","Ypsilandra thibetica Franch.",1980,NA,NA,77,100,137,196,239,271,290,286,256,209,156,102
"9",110.585686,25.60168,"1030923733","Ypsilandra thibetica Franch.",1979,NA,NA,77,100,137,196,239,271,290,286,256,209,156,102
"10",110.585686,25.60168,"1030923749","Ypsilandra thibetica Franch.",1979,NA,NA,77,100,137,196,239,271,290,286,256,209,156,102
"11",110.585686,25.60168,"1030923764","Ypsilandra thibetica Franch.",1979,NA,NA,77,100,137,196,239,271,290,286,256,209,156,102
"12",102.758313,30.066708,"1030870998","Ypsilandra thibetica Franch.",1977,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"13",102.758313,30.066708,"1030898353","Ypsilandra thibetica Franch.",1977,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"14",102.758313,30.066708,"1030898365","Ypsilandra thibetica Franch.",1977,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"15",103.571742,28.262715,"1030898372","Ypsilandra thibetica Franch.",1976,NA,NA,47,71,109,154,189,213,235,231,197,152,112,64
"16",103.39,29.49,"2417519251","Ypsilandra thibetica Franch.",1975,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"17",103.39,29.49,"2417520984","Ypsilandra thibetica Franch.",1971,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"18",107.099276,29.157849,"1030898397","Ypsilandra thibetica Franch.",1964,NA,NA,65,85,126,176,216,244,272,269,230,179,134,83
"19",103.39,29.49,"2417517659","Ypsilandra thibetica Franch.",1964,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"20",103.39,29.49,"2417525168","Ypsilandra thibetica Franch.",1964,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"21",103.39,29.49,"2417517470","Ypsilandra thibetica Franch.",1963,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"22",103.39,29.49,"2417518242","Ypsilandra thibetica Franch.",1963,NA,NA,47,69,108,158,195,220,240,237,200,157,113,63
"23",110.040007,25.742153,"1030951317","Ypsilandra thibetica Franch.",1962,NA,NA,60,82,117,172,215,245,263,260,232,186,135,83
"24",110.040007,25.742153,"1030951303","Ypsilandra thibetica Franch.",1961,NA,NA,60,82,117,172,215,245,263,260,232,186,135,83
"25",102.81464,30.368117,"1030870952","Ypsilandra thibetica Franch.",1959,NA,NA,46,68,106,154,188,211,231,227,194,152,105,60
"26",102.758313,30.066708,"1030898317","Ypsilandra thibetica Franch.",1959,NA,NA,61,83,122,170,203,226,246,242,209,167,122,75
"27",102.990174,32.061655,"1030898345","Ypsilandra thibetica Franch.",1959,NA,NA,-9,13,45,86,120,147,167,163,132,88,37,1
