"","decimalLongitude","decimalLatitude","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1",129.3157555,28.28847642,135,138,154,179,207,236,263,262,250,222,189,154
"2",125.3241704,24.76934881,184,187,203,225,248,272,286,283,273,254,229,199
"3",128.2689202,26.71384287,165,166,183,205,231,259,281,280,269,245,215,182
"4",123.8171499,24.3360742,174,178,193,215,239,260,272,270,259,240,216,188
"5",123.7825761,24.32474229,181,186,201,224,247,269,281,279,268,249,225,195
"6",123.8194057,24.31639647,171,176,190,212,236,257,269,267,256,237,214,185
"7",124.1834577,24.42811651,171,175,190,211,235,257,269,267,257,238,214,185
"8",123.8001525,24.39819141,187,191,207,230,254,276,289,287,275,256,231,201
"9",123.8273597,24.32026396,174,178,193,215,239,260,272,270,259,240,216,187
"10",123.7989477,24.39997904,185,189,205,228,252,274,287,284,273,254,229,199
"11",124.179214,24.40948189,183,187,203,225,249,271,283,281,270,251,227,197
"12",124.179214,24.40948189,183,187,203,225,249,271,283,281,270,251,227,197
"13",123.8013949,24.29987624,179,183,198,221,244,266,278,276,265,246,222,193
"14",123.8273597,24.32026396,174,178,193,215,239,260,272,270,259,240,216,187
"15",124.179214,24.40948189,183,187,203,225,249,271,283,281,270,251,227,197
"16",123.6944257,24.30240649,179,183,198,221,245,266,278,276,265,246,222,193
"17",128.1997641,26.70009326,159,161,177,199,225,253,275,273,263,239,209,176
"18",123.8004737,24.30042635,179,183,198,221,244,266,278,276,265,246,222,193
"19",123.8000026,24.30096893,179,183,198,221,244,266,278,276,265,246,222,193
"20",123.699924,24.29805496,177,182,196,219,243,264,276,274,263,244,220,191
"21",128.9261753,27.83802681,155,157,174,199,226,255,281,280,268,241,209,173
"22",128.2002445,26.70009138,158,160,176,198,224,252,274,272,262,238,208,175
"23",123.802999,24.40059097,186,190,206,229,253,275,287,285,274,254,230,200
"24",123.8000336,24.30084195,179,183,198,221,244,266,278,276,265,246,222,193
"25",128.9261753,27.83802681,155,157,174,199,226,255,281,280,268,241,209,173
"26",129.3014776,28.30039087,137,139,156,181,208,238,264,264,251,223,190,155
"27",123.8006874,24.40047446,186,190,206,229,253,275,287,285,274,254,230,200
"28",123.800266,24.30044232,179,183,198,221,244,266,278,276,265,246,222,193
"29",128.9261753,27.83802681,155,157,174,199,226,255,281,280,268,241,209,173
"30",129.3005231,28.30086638,137,139,156,181,208,238,264,264,251,223,190,155
"31",124.1738019,24.40858805,187,191,207,229,253,275,288,285,275,255,231,201
"32",123.8,24.4,186,190,206,229,253,275,287,285,274,254,230,200
"33",123.7,24.3,183,187,202,225,249,271,283,281,270,250,226,197
"34",128.3,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",124.3105551,24.56926069,173,176,191,213,237,259,272,270,260,240,216,187
"36",129.3,28.3,137,139,156,181,208,238,264,264,251,223,190,155
"37",123.8,24.4,186,190,206,229,253,275,287,285,274,254,230,200
"38",128.8,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",128.8,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",128.9464688,27.80909401,151,154,170,195,222,251,277,276,264,237,205,169
"41",128.9464688,27.80909401,151,154,170,195,222,251,277,276,264,237,205,169
