"","decimalLongitude","decimalLatitude","mon_1","mon_2","mon_3","mon_4","mon_5","mon_6","mon_7","mon_8","mon_9","mon_10","mon_11","mon_12"
"1",128.1626844,26.66787791,164,165,181,204,230,258,280,278,268,244,214,181
"2",128.0433308,26.61617043,166,167,184,207,232,260,282,280,270,246,216,183
"3",123.7959738,24.36323668,183,187,202,225,250,271,284,281,270,251,227,197
"4",124.1755926,24.40729251,184,188,203,226,249,271,284,282,271,252,228,198
"5",124.2885618,24.52171178,184,188,203,226,249,272,285,283,272,252,228,198
"6",128.2045844,26.68639583,154,156,171,193,219,247,268,267,256,233,203,170
"7",123.7702376,24.41173318,186,190,206,229,253,275,287,285,274,254,230,200
"8",128.3038973,26.73694768,166,168,184,207,232,261,283,281,271,247,217,183
"9",128.3020797,26.74502894,165,167,183,206,232,261,282,281,271,246,216,183
"10",128.2,26.7,158,160,176,198,224,252,274,272,262,238,208,175
"11",124.2905336,24.52435624,184,188,203,226,249,272,285,283,272,252,228,198
"12",124.2905336,24.52435624,184,188,203,226,249,272,285,283,272,252,228,198
"13",123.7621092,24.40327442,187,191,207,230,254,276,289,287,275,255,231,201
"14",128.2,26.7,158,160,176,198,224,252,274,272,262,238,208,175
"15",128.1,26.6,162,164,180,203,228,257,278,276,266,242,212,179
"16",128.2,26.7,158,160,176,198,224,252,274,272,262,238,208,175
