"","V1","decimalLongitude","decimalLatitude","key","scientificName","year","month","day","t_r","V3"
"1",2,128.143182,37.459917,2596203019,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2020,3,26,31,"Heloniopsis koreana"
"2",3,128.052006,37.340132,2597707139,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2020,4,4,89,"Heloniopsis koreana"
"3",4,128.143182,37.459917,2236840853,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2019,4,12,97,"Heloniopsis koreana"
"4",5,128.143182,37.459917,2236917598,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2019,4,18,97,"Heloniopsis koreana"
"5",6,128.397714,37.363407,2609424257,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2016,4,19,112,"Heloniopsis koreana"
"6",7,128.142471,37.459326,1802636710,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2015,4,5,97,"Heloniopsis koreana"
"7",8,128.91524,37.095739,1668792499,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2013,5,5,100,"Heloniopsis koreana"
"8",9,128.410611,38.102111,2609423970,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2013,5,7,105,"Heloniopsis koreana"
"9",10,127.959111,37.661222,2609423374,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2009,5,1,165,"Heloniopsis koreana"
"10",11,127.402888,37.013222,2609424729,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2001,5,25,169,"Heloniopsis koreana"
"11",12,128.137,38.208333,2609422875,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2000,5,13,108,"Heloniopsis koreana"
"12",13,128.079055,38.266638,2609426183,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",2000,5,13,114,"Heloniopsis koreana"
"13",15,127.08109,37.69828,2609426289,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1994,5,21,155,"Heloniopsis koreana"
"14",16,128.895833,37.086111,2609423209,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1989,5,27,130,"Heloniopsis koreana"
"15",17,126.935444,37.2571,2609421264,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1983,4,30,117,"Heloniopsis koreana"
"16",18,127.444087,38.07485,2609423378,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1983,4,17,75,"Heloniopsis koreana"
"17",19,127.036111,37.341667,2609426167,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1983,4,30,100,"Heloniopsis koreana"
"18",20,126.935444,37.2571,2609422527,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1983,5,28,173,"Heloniopsis koreana"
"19",22,127.186111,37.475,2609424051,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1982,4,18,106,"Heloniopsis koreana"
"20",23,127.036111,37.341667,2609422717,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1981,4,26,100,"Heloniopsis koreana"
"21",24,127.163889,37.750556,2609424119,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1977,4,12,116,"Heloniopsis koreana"
"22",25,127.163889,37.750556,2609424391,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1977,4,11,116,"Heloniopsis koreana"
"23",29,126.935444,37.2571,2609423915,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1969,5,12,173,"Heloniopsis koreana"
"24",30,126.935444,37.2571,2609424296,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1968,5,12,173,"Heloniopsis koreana"
"25",31,128.425603,38.048804,2609423299,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1966,5,26,101,"Heloniopsis koreana"
"26",32,126.964057,37.445215,2609422554,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1963,5,15,152,"Heloniopsis koreana"
"27",33,127.147239,37.74003,2609426992,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1963,5,9,158,"Heloniopsis koreana"
"28",34,126.964057,37.445215,2609423481,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1962,5,19,152,"Heloniopsis koreana"
"29",37,126.964057,37.445215,2609423109,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1960,5,7,152,"Heloniopsis koreana"
"30",38,126.964057,37.445215,2609423367,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1960,5,8,152,"Heloniopsis koreana"
"31",39,126.964057,37.445215,2609423077,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1958,5,25,152,"Heloniopsis koreana"
"32",45,129.794444,42.76339,2443058329,"Heloniopsis koreana Fuse, N.S.Lee & M.N.Tamura",1930,5,26,146,"Heloniopsis koreana"
