,V1,decimalLongitude,decimalLatitude,key,scientificName,year,month,day,t_r,V3
1,1,139.101094,35.439622,1829942864,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2016,4,12,103,Heloniopsis orientalis var. breviscapa
2,2,139.040594,35.232447,1829929140,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2015,5,4,137,Heloniopsis orientalis var. breviscapa
3,3,139.22807,35.424094,1829917534,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2014,5,25,165,Heloniopsis orientalis var. breviscapa
4,4,139.053091,35.224114,1829919426,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2013,6,28,183,Heloniopsis orientalis var. breviscapa
5,5,139.053091,35.224114,2244425743,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2013,6,28,183,Heloniopsis orientalis var. breviscapa
6,6,135.695,34.538056,1830519592,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2010,3,4,93,Heloniopsis orientalis var. breviscapa
7,7,130.72838,33.330513,1829852569,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2007,3,27,105,Heloniopsis orientalis var. breviscapa
8,8,131.041385,32.857539,388830938,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2007,4,11,122,Heloniopsis orientalis var. breviscapa
9,9,139.040599,35.124125,1829868229,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2006,5,24,155,Heloniopsis orientalis var. breviscapa
10,10,131.199444,32.938889,1829908391,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,1990,5,18,161,Heloniopsis orientalis var. breviscapa
11,11,139.101094,35.439622,1829942864,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2016,4,12,103,Heloniopsis orientalis var. breviscapa
12,12,139.040594,35.232447,1829929140,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2015,5,4,137,Heloniopsis orientalis var. breviscapa
13,13,130.957778,33.114444,2243101756,Helonias breviscapa (Maxim.) N.Tanaka,2014,3,24,81,Heloniopsis orientalis var. breviscapa
14,14,139.22807,35.424094,1829917534,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2014,5,25,165,Heloniopsis orientalis var. breviscapa
15,15,139.053091,35.224114,1829919426,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2013,6,28,183,Heloniopsis orientalis var. breviscapa
16,16,139.053091,35.224114,2244425743,Heloniopsis orientalis var. breviscapa (Maxim.) Ohwi,2013,6,28,183,Heloniopsis orientalis var. breviscapa
