"","name","Temp","mon"
"1","Heloniopsis kawanoi",179,4
"2","Heloniopsis kawanoi",225,4
"3","Heloniopsis kawanoi",205,4
"4","Heloniopsis kawanoi",215,4
"5","Heloniopsis kawanoi",224,4
"6","Heloniopsis kawanoi",212,4
"7","Heloniopsis kawanoi",211,4
"8","Heloniopsis kawanoi",207,5
"9","Heloniopsis kawanoi",248,5
"10","Heloniopsis kawanoi",231,5
"11","Heloniopsis kawanoi",239,5
"12","Heloniopsis kawanoi",247,5
"13","Heloniopsis kawanoi",236,5
"14","Heloniopsis kawanoi",235,5
"15","Heloniopsis leucantha",164,1
"16","Heloniopsis leucantha",166,1
"17","Heloniopsis leucantha",183,1
"18","Heloniopsis leucantha",184,1
"19","Heloniopsis leucantha",165,2
"20","Heloniopsis leucantha",167,2
"21","Heloniopsis leucantha",187,2
"22","Heloniopsis leucantha",188,2
"23","Heloniopsis sp.",91,1
"24","Heloniopsis sp.",147,1
"25","Heloniopsis sp.",85,1
"26","Heloniopsis sp.",93,1
"27","Heloniopsis sp.",100,2
"28","Heloniopsis sp.",152,2
"29","Heloniopsis sp.",93,2
"30","Heloniopsis sp.",100,2
