,name,mon,temp
1,Heloniopsis koreana,3,31
2,Heloniopsis koreana,4,89
3,Heloniopsis koreana,4,97
4,Heloniopsis koreana,4,97
5,Heloniopsis koreana,4,112
6,Heloniopsis koreana,4,97
7,Heloniopsis koreana,5,100
8,Heloniopsis koreana,5,105
9,Heloniopsis koreana,5,165
10,Heloniopsis koreana,5,169
11,Heloniopsis koreana,5,108
12,Heloniopsis koreana,5,114
13,Heloniopsis koreana,5,155
14,Heloniopsis koreana,5,130
15,Heloniopsis koreana,4,117
16,Heloniopsis koreana,4,75
17,Heloniopsis koreana,4,100
18,Heloniopsis koreana,5,173
19,Heloniopsis koreana,4,106
20,Heloniopsis koreana,4,100
21,Heloniopsis koreana,4,116
22,Heloniopsis koreana,4,116
23,Heloniopsis koreana,5,173
24,Heloniopsis koreana,5,173
25,Heloniopsis koreana,5,101
26,Heloniopsis koreana,5,152
27,Heloniopsis koreana,5,158
28,Heloniopsis koreana,5,152
29,Heloniopsis koreana,5,152
30,Heloniopsis koreana,5,152
31,Heloniopsis koreana,5,152
32,Heloniopsis koreana,5,146
33,Heloniopsis orientalis var. breviscapa,4,103
34,Heloniopsis orientalis var. breviscapa,5,137
35,Heloniopsis orientalis var. breviscapa,5,165
36,Heloniopsis orientalis var. breviscapa,6,183
37,Heloniopsis orientalis var. breviscapa,6,183
38,Heloniopsis orientalis var. breviscapa,3,93
39,Heloniopsis orientalis var. breviscapa,3,105
40,Heloniopsis orientalis var. breviscapa,4,122
41,Heloniopsis orientalis var. breviscapa,5,155
42,Heloniopsis orientalis var. breviscapa,5,161
43,Heloniopsis orientalis var. breviscapa,4,103
44,Heloniopsis orientalis var. breviscapa,5,137
45,Heloniopsis orientalis var. breviscapa,3,81
46,Heloniopsis orientalis var. breviscapa,5,165
47,Heloniopsis orientalis var. breviscapa,6,183
48,Heloniopsis orientalis var. breviscapa,6,183
49,Heloniopsis orientalis var. breviscapa,9,203
50,Heloniopsis orientalis var. breviscapa,3,93
51,Heloniopsis orientalis var. breviscapa,3,105
52,Heloniopsis orientalis var. breviscapa,4,169
53,Heloniopsis orientalis var. breviscapa,4,122
54,Heloniopsis orientalis var. breviscapa,6,196
55,Heloniopsis orientalis var. breviscapa,3,85
56,Heloniopsis orientalis var. breviscapa,4,138
57,Heloniopsis orientalis var. breviscapa,4,150
58,Heloniopsis orientalis var. breviscapa,4,138
59,Heloniopsis orientalis var. breviscapa,5,155
60,Heloniopsis orientalis var. breviscapa,7,264
61,Heloniopsis orientalis var. breviscapa,4,152
62,Heloniopsis orientalis var. breviscapa,3,98
63,Heloniopsis orientalis var. breviscapa,5,179
64,Heloniopsis orientalis var. breviscapa,5,179
65,Heloniopsis orientalis var. breviscapa,5,184
66,Heloniopsis orientalis var. breviscapa,3,80
67,Heloniopsis orientalis var. breviscapa,3,104
68,Heloniopsis orientalis var. breviscapa,4,149
69,Heloniopsis orientalis var. breviscapa,5,161
70,Heloniopsis orientalis var. breviscapa,3,91
71,Heloniopsis orientalis var. breviscapa,3,84
72,Heloniopsis orientalis var. breviscapa,3,107
73,Heloniopsis orientalis var. breviscapa,3,87
74,Heloniopsis orientalis var. breviscapa,4,146
75,Heloniopsis orientalis var. breviscapa,4,151
76,Heloniopsis orientalis var. breviscapa,4,140
77,Heloniopsis orientalis var. breviscapa,3,99
78,Heloniopsis orientalis var. breviscapa,5,159
79,Heloniopsis orientalis var. breviscapa,5,159
80,Heloniopsis orientalis var. breviscapa,3,87
81,Heloniopsis orientalis var. breviscapa,3,87
82,Heloniopsis orientalis var. breviscapa,3,87
83,Heloniopsis orientalis var. breviscapa,4,132
84,Heloniopsis orientalis var. breviscapa,4,132
85,Heloniopsis orientalis var. breviscapa,8,213
86,Heloniopsis orientalis var. breviscapa,3,84
87,Heloniopsis orientalis var. breviscapa,5,167
88,Heloniopsis orientalis var. breviscapa,5,167
89,Heloniopsis orientalis var. breviscapa,5,172
90,Heloniopsis orientalis var. breviscapa,4,132
91,Heloniopsis orientalis var. breviscapa,4,127
92,Heloniopsis orientalis var. breviscapa,4,127
93,Heloniopsis orientalis var. breviscapa,4,132
94,Heloniopsis orientalis var. breviscapa,4,132
95,Heloniopsis orientalis var. breviscapa,4,135
96,Heloniopsis orientalis var. breviscapa,6,149
97,Heloniopsis orientalis var. breviscapa,3,86
98,Heloniopsis orientalis var. breviscapa,4,135
