"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"2",107,50,319,3579,181,25,156,144,57,152,57,3264,501,88,56,1427,292,1404,292
"3",107,50,319,3579,181,25,156,144,57,152,57,3264,501,88,56,1427,292,1404,292
"4",140,42,311,3113,199,65,134,177,95,177,95,2612,570,37,86,1592,127,1592,127
"5",179,46,259,4432,265,87,178,223,117,235,117,2143,327,77,45,917,249,719,249
"6",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"7",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"8",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"9",122,48,273,4296,208,34,174,144,64,178,63,2712,394,140,33,1072,438,665,543
"10",122,48,273,4296,208,34,174,144,64,178,63,2712,394,140,33,1072,438,665,543
"11",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"12",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"13",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"14",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"15",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"16",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"17",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"18",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"19",138,55,327,3803,214,45,169,184,102,184,83,3315,705,46,88,1953,142,1953,184
"20",99,50,292,4114,181,11,170,135,63,151,42,2236,458,42,77,1206,132,1172,240
"21",99,52,321,3708,176,14,162,136,47,145,47,2903,431,80,53,1274,272,1145,272
"22",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"23",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"24",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"25",71,52,315,3839,152,-13,165,106,19,120,18,2411,396,61,57,1072,207,1039,285
"26",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"27",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"28",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"29",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"30",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"31",136,44,252,4463,221,47,174,174,97,193,73,2373,293,101,33,855,324,690,495
"32",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"33",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"34",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"35",105,55,340,3617,180,17,163,150,72,150,54,3308,589,72,69,1642,217,1642,272
"36",108,56,337,3667,184,19,165,153,74,153,56,3617,644,69,70,1798,213,1798,276
"37",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"38",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"39",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
