"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"2",138,55,327,3803,214,45,169,184,102,184,83,3315,705,46,88,1953,142,1953,184
"3",172,46,262,4395,259,82,177,217,111,228,111,2130,324,76,45,910,246,716,246
"4",179,46,259,4432,265,87,178,223,117,235,117,2143,327,77,45,917,249,719,249
"5",59,52,318,3784,139,-24,163,93,8,108,7,2561,372,77,49,1034,259,993,349
"6",63,55,355,3369,135,-20,155,105,32,105,16,2973,555,62,72,1537,192,1537,228
"7",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"8",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"9",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"10",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"11",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"12",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"13",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"14",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"15",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"16",-10,95,315,7401,120,-183,303,90,-37,90,-109,1858,389,39,71,1103,141,1103,475
"17",-6,95,316,7384,123,-179,302,93,-74,93,-106,1781,377,38,72,1069,134,1069,442
"18",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"19",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"20",67,52,320,3767,147,-16,163,101,16,115,15,2641,393,71,53,1094,239,1064,324
"21",63,47,291,3941,144,-18,162,104,12,115,9,2801,358,114,37,1049,356,960,461
"22",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"23",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"24",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"25",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"26",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"27",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"28",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
