"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"2",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"3",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"4",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"5",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"7",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"8",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"9",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"10",124,47,269,4325,210,36,174,169,65,180,64,2993,424,150,32,1151,464,817,575
"11",62,47,293,3870,143,-17,160,82,12,113,10,2719,404,142,36,1124,434,667,512
"12",108,48,279,4208,194,22,172,152,52,163,50,2816,375,128,34,1052,402,844,507
"13",161,53,286,4428,250,65,185,201,121,217,99,1858,315,48,57,854,164,791,166
"14",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"15",60,47,297,3842,140,-20,160,100,10,110,8,2463,322,108,38,931,336,807,398
"16",150,52,326,3616,222,62,161,194,116,194,98,2703,579,46,83,1582,146,1582,168
"17",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"18",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"19",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"20",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"21",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"22",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"23",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"24",51,52,360,3121,117,-27,144,90,23,90,8,3147,564,69,68,1574,221,1574,249
"25",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"26",87,52,344,3314,156,6,150,128,56,128,40,2916,564,55,76,1589,178,1589,195
"27",87,52,344,3314,156,6,150,128,56,128,40,2916,564,55,76,1589,178,1589,195
"28",118,50,291,4152,204,30,173,161,62,172,61,2142,308,70,45,887,230,747,300
"29",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"35",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"36",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"37",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"38",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"39",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"40",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"41",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"42",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"43",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"44",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"45",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
