"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",88,49,293,4063,170,2,168,124,53,140,32,2184,429,48,71,1134,150,1086,263
"2",61,52,322,3741,141,-22,163,95,11,109,10,2472,369,72,51,1014,246,979,325
"3",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"4",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"5",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"6",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"7",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"8",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"9",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"10",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"11",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"12",85,53,327,3641,162,2,161,122,35,131,35,2974,442,78,55,1288,266,1226,342
"13",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"14",102,44,264,4237,184,17,167,139,66,157,43,2691,376,97,41,1095,311,944,488
"15",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"16",91,48,286,4073,175,7,168,112,37,144,35,2578,339,126,33,957,396,766,477
"17",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"18",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"19",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"20",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"21",123,48,275,4302,210,35,175,168,65,179,64,2578,337,120,33,948,378,768,473
"22",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"23",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"24",82,51,345,3276,150,1,149,122,52,122,36,2912,569,51,77,1603,167,1603,181
"25",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"26",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
