"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"2",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"3",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"4",78,55,349,3438,150,-7,157,120,46,120,30,2866,567,52,79,1573,161,1573,192
"5",93,52,343,3347,163,11,152,134,62,134,46,2664,445,68,61,1235,216,1235,244
"6",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"7",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"8",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"9",67,46,285,3993,148,-14,163,109,15,119,13,2562,335,114,32,948,362,754,480
"10",73,47,287,4013,155,-9,164,115,21,126,19,2674,349,118,33,1006,372,843,483
"11",65,50,312,3717,143,-16,159,103,15,113,14,2764,409,93,46,1162,307,956,383
"12",57,51,318,3729,137,-24,161,96,8,105,7,2630,369,84,46,1084,280,964,364
"13",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"14",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"15",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"16",72,51,313,3827,153,-12,164,111,20,121,19,2310,325,73,47,946,245,851,320
"17",69,48,292,3978,151,-13,164,111,17,121,15,2525,326,99,37,971,317,868,423
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"20",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",116,49,284,4237,200,27,174,154,79,170,57,2040,399,43,71,1057,135,1013,246
"23",222,35,188,5108,312,128,184,248,153,289,150,2472,309,153,22,861,465,567,559
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"33",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"34",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"35",126,56,332,3747,202,35,168,171,90,171,72,2933,468,71,60,1296,216,1296,267
"36",175,56,315,4058,256,79,178,224,137,224,116,2379,418,49,69,1164,148,1164,185
"37",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"38",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
