"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",122,51,741,382,155,86,69,125,116,126,115,2747,339,112,33,1000,348,855,352
"2",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"3",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"4",115,48,277,4227,200,27,172,136,57,169,56,2469,336,132,32,974,414,653,497
"5",57,47,749,365,90,28,63,51,59,61,51,3879,454,243,19,1264,762,998,1264
"6",41,47,753,358,74,11,63,36,44,45,34,3590,402,224,16,1124,706,945,1114
"7",77,47,749,373,110,48,62,70,79,81,70,3877,449,244,18,1249,761,994,1249
"8",77,46,747,372,110,48,62,72,78,80,70,4202,471,246,17,1315,774,1056,1309
"9",77,46,747,372,110,48,62,72,78,80,70,4202,471,246,17,1315,774,1056,1309
"10",47,116,516,3603,135,-89,224,82,-11,86,-11,911,213,2,104,589,10,589,10
"11",118,53,581,1046,161,69,92,125,102,130,100,2547,527,10,82,1498,35,872,72
"12",122,53,580,1057,166,74,92,129,107,135,105,2589,520,11,80,1486,38,898,76
"13",122,51,741,382,155,86,69,125,116,126,115,2747,339,112,33,1000,348,855,352
"14",65,45,764,296,95,36,60,67,61,67,60,3155,376,150,28,1115,464,983,553
"15",109,78,328,5304,211,-27,238,174,28,176,28,815,165,6,88,494,18,429,18
"16",90,76,315,5625,194,-48,242,143,9,163,9,397,78,2,79,207,8,171,8
"17",109,78,328,5304,211,-27,238,174,28,176,28,815,165,6,88,494,18,429,18
"18",65,76,312,5842,171,-73,244,137,-17,139,-17,276,84,0,129,248,1,206,1
"19",65,76,312,5842,171,-73,244,137,-17,139,-17,276,84,0,129,248,1,206,1
"20",38,48,772,317,70,8,62,41,39,42,32,2955,321,208,14,948,647,835,687
"21",38,48,772,317,70,8,62,41,39,42,32,2955,321,208,14,948,647,835,687
"22",109,78,328,5304,211,-27,238,174,28,176,28,815,165,6,88,494,18,429,18
"23",93,85,343,5487,198,-50,249,163,14,163,14,369,80,1,98,238,3,238,3
"24",93,85,343,5487,198,-50,249,163,14,163,14,369,80,1,98,238,3,238,3
"25",93,85,343,5487,198,-50,249,163,14,163,14,369,80,1,98,238,3,238,3
"26",35,86,323,6053,150,-115,265,111,-51,113,-51,477,123,1,111,343,3,336,3
"27",91,45,750,350,122,62,59,93,86,94,84,4021,437,232,18,1278,711,1122,762
"28",91,45,750,350,122,62,59,93,86,94,84,4021,437,232,18,1278,711,1122,762
"29",124,74,337,5239,217,-3,220,187,67,187,49,550,87,7,56,258,27,225,35
"30",133,86,374,5059,228,-3,231,189,57,193,57,509,140,1,117,392,3,368,3
"31",133,86,374,5059,228,-3,231,189,57,193,57,509,140,1,117,392,3,368,3
"32",85,80,342,5215,183,-50,234,151,9,151,9,475,105,1,100,309,3,309,3
"33",85,80,342,5215,183,-50,234,151,9,151,9,475,105,1,100,309,3,309,3
"34",85,80,342,5215,183,-50,234,151,9,151,9,475,105,1,100,309,3,309,3
"35",85,80,342,5215,183,-50,234,151,9,151,9,475,105,1,100,309,3,309,3
"36",75,88,343,5704,187,-70,257,148,-7,148,-7,369,80,1,94,214,3,179,3
