"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",115,57,220,6971,244,-13,258,198,53,216,23,3486,666,94,62,1959,311,1322,422
"2",93,70,259,7059,226,-45,271,178,27,193,-1,3802,697,93,60,2001,316,1440,333
"3",97,70,258,7074,231,-41,272,183,32,198,3,3814,713,91,62,2045,309,1468,325
"4",98,48,197,6902,225,-22,246,144,10,198,6,2506,369,67,46,983,229,799,299
"5",98,48,197,6902,225,-22,246,144,10,198,6,2506,369,67,46,983,229,799,299
"6",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"7",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"10",67,51,312,3859,149,-16,165,107,16,117,15,2435,347,79,46,968,265,896,355
"11",87,52,344,3325,157,5,151,128,57,128,41,2707,518,55,73,1448,177,1448,197
"12",87,52,344,3325,157,5,151,128,57,128,41,2707,518,55,73,1448,177,1448,197
"13",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"14",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"15",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"16",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"17",113,55,334,3663,189,25,164,158,79,158,61,2500,392,66,58,1087,206,1087,240
"18",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"19",155,71,250,7456,296,11,285,245,86,261,55,2101,379,60,58,1113,200,783,216
"20",150,52,326,3616,222,62,161,194,116,194,98,2703,579,46,83,1582,146,1582,168
"21",148,65,236,7327,283,8,275,236,50,252,50,2274,348,59,48,1000,215,758,215
"22",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"23",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"24",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"25",95,66,243,7173,230,-40,270,182,30,198,0,3151,619,68,68,1805,236,1297,250
"26",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"27",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"28",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"29",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"30",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"31",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"32",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"33",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"34",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"35",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"36",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"37",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"38",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"39",141,65,235,7379,279,3,276,230,74,247,43,2029,322,62,48,965,219,688,232
"40",150,57,215,7288,283,16,267,237,84,254,52,1906,392,33,70,1018,121,785,170
"41",113,57,219,7153,245,-17,262,199,49,216,18,2537,439,61,56,1239,221,912,305
"42",95,47,192,6822,220,-23,242,140,8,194,4,2533,383,65,48,1017,223,795,291
"43",165,18,107,5230,246,76,170,196,123,238,94,4143,618,208,33,1685,672,1001,716
"44",149,70,248,7451,290,7,283,239,80,255,49,2076,416,48,70,1232,164,860,174
"45",143,71,251,7422,284,0,283,232,74,249,44,2818,590,62,75,1749,202,1208,220
"46",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"47",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"48",107,57,219,7124,239,-23,261,193,43,210,13,2644,489,56,61,1369,206,1008,285
"49",99,64,238,7163,233,-35,268,185,34,202,4,2764,490,70,55,1316,249,1003,260
"50",99,51,202,6995,228,-23,251,183,9,200,5,2667,399,68,46,1059,238,823,319
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"53",104,70,254,7230,242,-35,276,192,37,208,8,3588,658,93,61,1942,316,1380,333
"54",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"55",99,51,202,6988,227,-23,251,183,9,200,5,2704,404,62,50,1080,216,901,291
"56",106,18,111,5004,184,23,162,137,67,177,39,5506,855,295,32,2290,930,1208,1043
"57",130,58,230,6676,251,1,250,210,40,224,40,3094,665,57,73,1743,191,1261,191
"58",89,64,242,7036,220,-44,264,174,25,189,-4,3457,594,82,56,1680,291,1279,300
"59",115,57,220,6971,244,-13,258,198,53,216,23,3486,666,94,62,1959,311,1322,422
"60",89,64,242,7036,220,-44,264,174,25,189,-4,3457,594,82,56,1680,291,1279,300
"61",89,64,242,7036,220,-44,264,174,25,189,-4,3457,594,82,56,1680,291,1279,300
"62",89,64,242,7036,220,-44,264,174,25,189,-4,3457,594,82,56,1680,291,1279,300
"63",166,30,149,5904,263,61,202,203,117,249,87,3252,597,117,48,1559,384,962,462
"64",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"65",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"66",67,47,286,3990,149,-14,163,103,15,119,13,2530,337,104,36,950,332,835,444
"67",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"68",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"69",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"70",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"71",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"72",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"73",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"74",67,47,287,3985,148,-15,163,102,15,119,13,2330,316,94,37,888,300,783,401
"75",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"76",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"77",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"78",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"79",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"80",67,47,286,3990,149,-14,163,103,15,119,13,2530,337,104,36,950,332,835,444
"81",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"82",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"83",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"84",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"85",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"86",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"87",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"88",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"89",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"90",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"91",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"92",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"93",71,46,284,4021,153,-11,164,107,19,124,16,2412,340,98,38,937,316,837,429
"94",58,47,296,3815,138,-21,159,77,8,108,6,2882,409,140,36,1151,430,826,501
"95",67,47,286,3990,149,-14,163,103,15,119,13,2530,337,104,36,950,332,835,444
"96",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"97",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"98",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"99",63,46,286,3974,144,-18,162,99,12,115,9,2582,336,109,35,954,347,824,467
"100",63,46,286,3974,144,-18,162,99,12,115,9,2582,336,109,35,954,347,824,467
"101",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"102",71,46,284,4021,153,-11,164,107,19,124,16,2412,340,98,38,937,316,837,429
"103",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"104",206,54,300,4209,286,106,179,256,166,256,144,2295,448,32,78,1224,108,1224,148
"105",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"106",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"107",63,46,286,3974,144,-18,162,99,12,115,9,2582,336,109,35,954,347,824,467
"108",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"109",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"110",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"111",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"112",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"113",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"114",48,47,301,3759,127,-30,157,88,0,98,-2,2760,377,122,37,1069,378,875,448
"115",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"116",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"117",50,47,298,3792,130,-28,157,70,1,100,-1,2731,396,138,35,1102,424,712,499
"118",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"119",71,46,284,4021,153,-11,164,107,19,124,16,2412,340,98,38,937,316,837,429
"120",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"121",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"122",59,47,296,3844,139,-21,160,78,9,109,7,2622,358,126,35,1002,388,760,459
"123",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"124",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"125",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"126",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"127",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"128",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"129",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"130",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"131",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"132",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"133",65,48,294,3955,146,-17,163,100,13,116,11,2164,298,85,38,830,279,756,381
"134",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"135",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"136",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"137",83,46,280,4095,165,-1,166,119,28,136,26,2278,327,94,38,889,304,799,413
"138",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"139",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"140",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"141",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"142",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"143",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"144",65,48,294,3955,146,-17,163,100,13,116,11,2164,298,85,38,830,279,756,381
"145",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"146",56,48,299,3896,137,-25,162,91,6,107,3,2218,357,74,50,964,244,898,335
"147",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"148",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"149",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"150",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"151",204,54,301,4211,284,104,180,254,164,254,142,2142,435,28,83,1200,94,1200,129
"152",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"153",85,46,278,4113,167,1,166,121,31,138,28,2296,304,99,34,849,319,740,432
"154",85,46,278,4113,167,1,166,121,31,138,28,2296,304,99,34,849,319,740,432
"155",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"156",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"157",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"158",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"159",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"160",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"161",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"162",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"163",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"164",83,46,280,4095,165,-1,166,119,28,136,26,2278,327,94,38,889,304,799,413
"165",61,47,289,3947,142,-20,162,102,9,112,7,2609,339,114,33,976,362,806,478
"166",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"167",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"168",238,37,250,3736,305,157,148,275,183,283,183,2358,365,78,53,1067,238,966,238
"169",55,47,292,3907,135,-25,160,96,4,106,1,2528,316,105,35,933,333,830,444
"170",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"171",81,55,348,3482,154,-5,159,124,49,124,32,3269,598,72,70,1654,220,1654,268
