"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",112,56,336,3696,188,22,166,158,78,158,60,3625,663,66,73,1846,204,1846,265
"2",116,53,337,3485,187,30,157,159,83,159,66,3034,545,73,65,1483,230,1483,267
"3",141,56,321,3952,220,46,174,176,104,189,84,3243,545,60,66,1537,194,1492,259
"4",176,33,275,2958,229,109,120,211,133,211,133,2585,560,39,87,1581,123,1581,123
"5",216,28,245,2960,266,151,115,251,172,251,172,2604,527,47,82,1510,145,1356,145
"6",145,44,252,4503,231,54,176,184,106,203,82,1991,338,60,54,932,187,799,326
"7",135,53,295,4257,222,42,179,174,96,189,76,2208,399,56,63,1046,191,1021,264
"8",120,44,256,4351,203,32,170,157,82,176,59,2539,351,93,40,1027,295,843,486
"9",144,41,308,3111,203,70,133,181,99,181,99,2387,522,32,89,1490,104,1490,104
"10",128,41,314,3053,187,56,132,165,85,165,85,2547,512,44,79,1451,144,1451,144
"11",136,41,241,4438,221,50,171,158,115,194,74,3817,505,221,28,1439,678,967,767
"12",149,39,301,3056,206,77,129,186,105,186,105,2212,535,24,97,1480,80,1480,80
"13",125,44,259,4277,210,40,170,147,106,181,66,3451,509,182,36,1498,560,789,708
"14",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"15",141,45,255,4475,226,50,176,180,102,198,78,2130,400,61,59,1055,194,914,315
"16",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"17",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"18",81,53,319,3825,162,-4,166,116,29,130,29,2590,408,67,55,1113,227,1078,310
"19",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"20",141,39,304,3031,198,70,129,178,97,178,97,2225,514,29,91,1419,95,1419,95
"21",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
