"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",98.298611,27.693611,"1426082971",136,68,314,5254,224,8,216,198,77,199,59,1965,299,20,56,889,72,793,124
"2",103.609444,22.405833,"1257697772",122,60,372,3636,190,27,162,165,67,165,67,3034,628,47,79,1800,147,1800,147
"3",98.784444,27.163056,"1426165204",116,73,337,5060,205,-11,216,177,60,177,43,1152,147,16,48,439,60,439,84
"4",121.71,24.38,"1085987442",154,41,244,4254,236,69,166,175,136,209,95,4083,649,191,42,1878,581,930,772
"5",110.11,24.15,"1085989430",165,67,280,5915,265,27,238,219,106,237,78,1836,327,53,60,948,176,660,187
"6",105.088889,20.476945,"1260122926",164,60,349,3891,243,70,173,207,105,212,105,2539,480,20,82,1398,70,1250,70
"7",121.46,24.7,"1085985678",134,41,240,4433,219,48,171,156,75,192,73,3901,518,228,28,1462,703,982,790
"8",121.43,24.8,"1085987703",174,39,217,4742,262,84,178,198,234,236,108,3195,410,180,26,1194,630,678,743
"9",121.566944,24.756389,"891590333",192,39,216,4773,280,101,179,241,171,254,125,2702,367,149,30,1010,455,742,514
"10",107.957979,22.097768,"1030946914",220,61,290,5252,304,93,211,280,166,280,140,1610,289,29,70,837,110,829,113
"11",121.39,24.48,"1085986791",145,46,258,4472,233,55,178,191,85,203,83,3225,440,164,31,1210,496,904,606
"12",121.56,24.88,"1085982331",187,36,204,4775,274,98,176,212,166,250,121,3460,456,198,28,1344,638,736,776
"13",121.6,24.77,"1085997429",180,38,216,4677,267,92,175,229,131,242,115,3505,473,179,32,1329,573,1039,614
"14",121.53,24.83,"1086035864",204,37,206,4904,294,112,182,229,184,269,136,2765,360,153,28,1070,500,595,646
"15",117.47,26.72,"2417501396",203,76,258,7227,341,47,294,264,127,297,98,1345,228,38,58,678,117,305,148
"16",117.47,26.72,"2417501953",203,76,258,7227,341,47,294,264,127,297,98,1345,228,38,58,678,117,305,148
"17",117.47,26.72,"2417503246",203,76,258,7227,341,47,294,264,127,297,98,1345,228,38,58,678,117,305,148
"18",117.47,26.72,"2417505209",203,76,258,7227,341,47,294,264,127,297,98,1345,228,38,58,678,117,305,148
"19",116.55,6.083333,"2513671659",46,50,740,376,83,15,68,44,45,53,41,3016,328,132,26,977,416,778,532
"20",116.55,6.083333,"2513670140",46,50,740,376,83,15,68,44,45,53,41,3016,328,132,26,977,416,778,532
"21",110.85,26.43,"2417617480",181,66,221,7869,318,21,298,252,102,284,67,1114,165,38,44,485,136,316,146
"22",116.6,6.033333,"2516833131",160,52,727,463,198,126,72,165,158,167,153,2977,338,118,32,978,360,860,570
"23",116.333333,5.833333,"2517058102",170,52,726,448,208,137,71,169,168,177,164,3146,335,152,25,991,456,852,687
"24",101.8,16.891667,"2513669993",220,65,428,2205,280,127,153,232,181,242,181,1274,253,6,75,680,20,483,20
"25",115.783333,4.133333,"2513672630",177,61,803,307,216,141,75,176,173,181,172,3398,335,186,15,987,609,918,758
"26",120.3,-1.266667,"2513660198",137,47,740,202,170,107,63,140,135,140,135,1879,210,124,17,612,379,612,379
"27",120,-1,"2513662515",231,41,769,215,259,206,53,230,232,233,228,1243,126,89,13,367,268,352,292
"28",120.5,-1.5,"2513672043",181,50,716,226,218,148,70,181,181,184,178,2111,270,109,27,783,333,413,452
"29",97.666667,3.416667,"2513661848",176,55,784,328,212,142,70,173,175,181,172,3833,434,210,22,1235,662,1026,1066
"30",114.9,4.083333,"2517075360",211,59,788,383,252,177,75,206,215,216,206,3661,451,241,20,1267,731,781,1267
"31",116.566667,6.066667,"2513660491",42,51,743,370,79,11,69,40,41,48,37,3097,337,139,25,996,435,836,545
"32",116.566667,6.066667,"2513660710",42,51,743,370,79,11,69,40,41,48,37,3097,337,139,25,996,435,836,545
"33",116.566667,6.066667,"2513661333",42,51,743,370,79,11,69,40,41,48,37,3097,337,139,25,996,435,836,545
"34",116.545833,6.091667,"2513670653",79,50,734,395,115,47,68,77,77,85,73,2739,309,110,29,916,350,674,455
"35",120.13,-1.22,"1675855410",197,46,754,207,229,168,61,195,198,199,194,1376,157,78,19,435,238,400,358
"36",97.216667,3.935,"2513660474",111,57,784,313,149,76,73,108,112,116,108,3838,435,207,23,1215,637,1037,1130
"37",97.216667,3.935,"2513660952",111,57,784,313,149,76,73,108,112,116,108,3838,435,207,23,1215,637,1037,1130
"38",112.033333,1.483333,"2513659730",220,57,758,306,259,184,75,215,222,224,215,4746,509,259,16,1449,816,1146,1449
"39",111.966667,1.466667,"2513661404",208,57,757,297,247,172,75,205,210,213,203,5041,583,265,20,1638,832,1196,1611
"40",101.383333,-2.083333,"2513662029",200,50,749,286,235,168,67,197,200,205,197,2246,275,101,31,813,312,534,813
"41",97.67,4.41,"2513660580",217,50,750,434,253,187,66,211,217,223,211,3533,437,178,30,1297,586,720,1297
"42",116.33,5.83,"1675957179",176,52,726,452,214,143,71,176,175,183,170,3071,343,127,31,1017,382,849,600
"43",116.333333,5.833333,"2513661515",170,52,726,448,208,137,71,169,168,177,164,3146,335,152,25,991,456,852,687
"44",116.545833,6.091667,"2513661872",79,50,734,395,115,47,68,77,77,85,73,2739,309,110,29,916,350,674,455
"45",117.216666,5.816666,"2513660073",266,55,736,560,305,230,75,257,270,272,257,2575,301,110,24,877,370,444,877
"46",117.216666,5.816666,"2513660611",266,55,736,560,305,230,75,257,270,272,257,2575,301,110,24,877,370,444,877
"47",116.316667,5.55,"2513662009",231,55,738,469,270,195,75,237,229,237,224,2064,243,132,17,638,399,638,483
"48",116.6,6.083333,"2513660294",110,51,731,421,148,78,70,106,108,117,104,2441,265,135,20,769,430,669,726
"49",116.6,6.083333,"2513659561",110,51,731,421,148,78,70,106,108,117,104,2441,265,135,20,769,430,669,726
"50",101.67,16.83,"912411788",237,65,421,2195,297,143,154,248,197,259,197,966,180,5,74,501,17,342,17
"51",98.48,18.58,"912411747",138,69,376,2393,223,39,183,151,108,165,97,1433,262,10,81,774,30,488,36
