"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",102,51,297,4061,186,16,171,139,47,155,46,2142,315,63,50,882,207,818,274
"2",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"3",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"4",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"5",97,55,342,3566,172,10,162,141,64,141,47,3419,640,67,75,1798,203,1798,251
"6",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"7",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"8",115,45,261,4325,199,28,171,153,78,171,55,2603,353,99,38,1021,322,883,483
"9",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"10",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"11",115,56,336,3689,191,25,166,160,81,160,63,3084,554,66,68,1513,200,1513,248
"12",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"13",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"14",82,51,345,3276,150,1,149,122,52,122,36,2912,569,51,77,1603,167,1603,181
"15",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"16",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"17",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"18",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"19",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"20",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"21",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"22",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"23",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"24",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"25",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"26",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"27",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"28",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"29",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"30",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"31",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"32",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"33",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"34",65,52,352,3197,133,-14,147,105,36,105,20,3022,567,59,73,1591,193,1591,209
"35",65,52,352,3202,133,-14,147,105,36,105,21,3126,556,68,68,1560,222,1560,240
"36",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"37",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
"38",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
"39",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"40",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"41",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"42",67,46,285,3993,148,-14,163,109,15,119,13,2562,335,114,32,948,362,754,480
"43",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"44",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"45",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"46",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"47",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"48",161,51,296,4066,242,70,172,201,103,211,103,2763,464,88,48,1260,294,914,294
"49",191,54,309,3990,268,95,173,238,153,238,132,2882,644,35,93,1779,111,1779,146
"50",51,52,360,3121,117,-27,144,90,23,90,8,3147,564,69,68,1574,221,1574,249
"51",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"52",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"53",69,48,290,3982,151,-13,164,111,17,121,15,2508,330,96,39,948,306,906,405
"54",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"55",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"56",111,56,336,3676,187,22,165,156,77,156,59,3666,686,65,75,1918,199,1918,257
"57",111,56,336,3676,187,22,165,156,77,156,59,3666,686,65,75,1918,199,1918,257
"58",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"59",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"60",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"61",92,44,267,4169,173,8,165,129,57,146,34,2674,406,88,47,1155,281,1009,458
"62",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"63",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"64",115,55,336,3671,190,25,165,160,81,160,63,3570,655,69,72,1825,209,1825,268
"65",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"66",109,55,324,3819,189,21,168,157,74,157,56,2777,508,55,72,1428,182,1428,191
"67",109,55,324,3819,189,21,168,157,74,157,56,2777,508,55,72,1428,182,1428,191
"68",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"69",84,51,308,3913,166,-1,167,125,31,134,31,2245,314,74,46,913,248,812,323
