"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",51,52,360,3121,117,-27,144,90,23,90,8,3147,564,69,68,1574,221,1574,249
"2",88,48,287,4096,171,2,168,124,53,141,31,2034,278,76,40,785,249,751,361
"3",102,55,341,3597,177,14,163,147,69,147,51,3481,650,70,74,1821,211,1821,264
"4",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"7",91,48,283,4124,174,6,168,128,56,144,34,2295,338,77,44,960,251,834,390
"8",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"9",147,56,325,3849,225,54,171,194,110,194,91,2655,428,66,61,1196,200,1196,244
"10",147,56,325,3849,225,54,171,194,110,194,91,2655,428,66,61,1196,200,1196,244
"11",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"12",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"13",111,55,337,3623,186,23,163,156,77,156,60,2856,576,51,81,1592,157,1592,189
"14",111,55,337,3623,186,23,163,156,77,156,60,2856,576,51,81,1592,157,1592,189
"15",127,50,322,3553,199,43,156,163,94,171,76,2846,435,78,54,1292,263,1157,268
"16",164,56,319,3958,243,69,174,212,126,212,107,2472,426,54,67,1190,164,1190,202
"17",81,55,348,3482,154,-5,159,124,49,124,32,3269,598,72,70,1654,220,1654,268
"18",59,55,355,3349,131,-23,154,101,28,101,13,3054,480,75,60,1359,235,1359,273
"19",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"20",115,50,286,4218,199,25,174,153,78,169,56,2250,453,45,75,1188,139,1163,260
"21",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"22",118,48,330,3238,182,38,144,157,87,157,71,2639,565,38,85,1589,132,1589,132
"23",124,48,329,3281,189,44,146,164,93,164,77,2401,495,40,80,1375,137,1375,140
"24",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"25",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"26",104,55,340,3605,178,15,163,148,70,148,52,3645,667,71,73,1872,215,1872,274
"27",71,52,351,3226,139,-9,148,111,42,111,26,2942,493,67,65,1402,215,1402,239
"28",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"29",111,56,336,3676,187,22,165,156,77,156,59,3666,686,65,75,1918,199,1918,257
"30",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"31",217,54,287,4515,303,114,189,272,174,272,151,2318,466,28,82,1267,96,1267,134
