"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"2",85,53,327,3641,162,2,161,122,35,131,35,2974,442,78,55,1288,266,1226,342
"3",2,57,150,11287,186,-194,380,131,-156,152,-156,749,107,32,39,307,97,261,97
"4",30,17,90,5676,124,-61,185,44,42,115,-46,1517,181,84,26,542,276,457,304
"5",32,33,109,9260,186,-120,306,95,-62,162,-97,816,99,42,28,293,132,249,139
"6",-2,71,167,12581,206,-218,424,133,-173,164,-178,626,88,33,36,254,100,220,112
"7",24,35,111,9712,183,-137,320,145,-115,158,-115,664,100,26,40,280,82,233,82
"8",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"9",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"10",67,46,285,3993,148,-14,163,109,15,119,13,2562,335,114,32,948,362,754,480
"11",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"12",108,45,269,4179,191,24,168,129,88,162,50,3206,461,183,35,1355,553,762,639
"13",68,52,337,3422,142,-11,153,112,22,112,21,2952,455,78,57,1275,264,1275,325
"14",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"15",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"16",124,49,277,4305,211,35,176,163,66,180,65,2334,338,90,41,906,286,834,372
"17",68,52,315,3830,149,-15,165,103,17,117,16,2613,387,75,51,1073,251,1030,342
"18",58,48,298,3832,138,-21,160,98,8,108,6,2403,309,100,40,914,312,830,372
"19",-51,79,156,14932,191,-317,508,136,-242,138,-268,686,138,8,79,392,28,375,38
"20",-53,77,138,17185,232,-329,562,161,-267,176,-293,582,89,21,48,255,69,222,84
"21",-66,76,140,16547,210,-333,543,141,-271,156,-297,607,98,18,56,280,59,278,72
"22",-31,95,213,12221,182,-263,444,124,-189,130,-203,443,109,7,95,307,23,286,29
"23",-30,80,154,15230,231,-291,522,167,-223,176,-244,347,76,5,86,218,17,204,24
"24",6,82,172,13657,235,-240,476,177,-109,183,-189,471,100,9,73,266,31,263,56
"25",-10,64,144,13115,205,-240,445,161,-121,161,-196,375,72,5,67,200,16,200,63
"26",-91,75,162,13230,139,-322,461,88,-205,88,-276,470,109,6,79,284,20,284,55
"27",-72,78,146,15999,197,-335,532,143,-192,143,-298,464,97,8,79,270,26,270,42
"28",-26,75,154,14123,217,-272,489,155,-145,163,-226,326,65,6,73,195,21,172,43
