"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",105,68,305,5463,228,4,224,182,85,182,33,773,74,46,13,219,152,219,176
"2",104,68,303,5496,227,3,224,49,84,181,32,826,80,51,12,232,168,229,189
"3",100,68,309,5351,221,1,220,47,80,176,30,899,84,58,10,251,190,241,205
"4",104,68,302,5548,228,2,226,176,84,181,30,815,78,52,11,228,170,228,186
"5",102,68,301,5560,226,0,226,180,82,180,29,763,73,49,10,213,158,213,177
"6",104,68,301,5557,228,2,226,177,84,182,30,785,75,50,12,225,163,223,178
"7",104,68,301,5553,228,2,226,177,84,182,30,811,78,51,11,227,167,226,186
"8",102,68,301,5549,226,1,226,47,83,180,29,871,85,54,12,244,178,243,199
"9",102,68,301,5535,226,1,225,180,83,180,29,727,70,45,11,204,147,204,166
"10",103,68,301,5563,228,1,227,176,84,181,30,804,77,51,12,230,166,229,184
"11",99,30,202,4162,181,30,151,93,54,161,45,697,75,45,17,217,137,195,154
"12",82,53,314,4072,177,9,168,31,61,141,31,811,81,51,13,235,161,212,235
"13",96,55,313,4222,195,19,176,56,55,158,43,654,63,44,10,182,140,177,147
"14",83,55,320,4046,178,7,171,46,115,142,32,1698,209,98,26,602,298,347,469
"15",93,63,328,4493,201,9,192,49,50,159,36,665,62,45,10,184,137,176,146
"16",92,71,296,5931,224,-16,240,15,113,176,15,936,107,59,19,317,183,211,239
"17",102,68,304,5483,225,2,224,48,83,179,30,833,81,51,12,235,169,230,189
"18",102,68,303,5487,226,2,224,48,83,179,30,825,80,51,12,232,169,227,188
"19",102,68,304,5485,225,2,224,48,83,179,30,845,82,52,12,238,172,233,192
"20",58,43,158,7619,200,-71,270,166,-28,166,-46,647,82,30,33,239,90,239,103
"21",61,44,292,3805,144,-8,152,28,89,117,13,1697,198,101,25,591,303,367,434
"22",107,55,311,4231,204,28,176,68,163,169,53,703,79,39,22,234,125,141,179
"23",76,59,326,4281,179,-3,182,35,81,139,23,1140,115,73,14,344,231,288,270
"24",73,39,270,3720,153,9,143,62,52,128,28,794,78,48,14,234,154,223,181
"25",78,59,326,4282,181,-1,182,37,83,141,25,1192,124,73,16,368,228,302,285
"26",78,46,302,3842,163,10,154,31,85,134,31,1706,202,83,30,593,259,328,593
"27",80,56,319,4181,179,3,176,40,84,141,28,1366,142,88,17,422,266,353,327
"28",80,56,319,4181,179,3,176,40,84,141,28,1366,142,88,17,422,266,353,327
"29",78,56,319,4183,177,1,176,39,83,140,26,1339,139,86,17,413,262,345,319
"30",80,56,319,4181,179,3,176,40,84,141,28,1366,142,88,17,422,266,353,327
"31",76,59,326,4281,179,-3,182,35,81,139,23,1140,115,73,14,344,231,288,270
"32",61,44,292,3805,144,-8,152,28,89,117,13,1697,198,101,25,591,303,367,434
"33",78,59,326,4282,181,-1,182,37,83,141,25,1192,124,73,16,368,228,302,285
"34",78,46,302,3842,163,10,154,31,85,134,31,1706,202,83,30,593,259,328,593
"35",78,56,319,4183,177,1,176,39,83,140,26,1339,139,86,17,413,262,345,319
"36",78,54,318,4097,174,4,170,27,58,138,27,860,102,44,23,294,161,192,294
"37",79,45,292,3807,162,10,153,46,108,135,31,1229,143,74,25,427,223,265,315
