"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",64,55,354,3353,136,-19,154,106,33,106,18,3097,599,56,77,1680,174,1680,204
"2",119,48,274,4279,205,31,174,163,61,174,60,2792,395,137,32,1059,427,742,533
"3",68,49,298,3956,150,-15,165,104,16,119,14,2444,333,80,44,965,262,916,369
"4",174,53,281,4514,263,76,187,214,132,230,110,1888,309,50,56,846,171,806,172
"5",110,44,260,4282,194,25,169,155,53,166,51,3092,378,155,30,1107,467,968,565
"6",130,49,278,4328,217,40,177,169,71,186,70,2258,326,78,45,901,252,851,335
"7",175,51,281,4388,262,80,182,219,113,230,113,2008,309,59,49,874,199,703,199
"8",103,52,300,4089,187,15,173,140,47,155,47,2144,388,59,60,997,199,970,270
"9",103,52,305,3983,186,16,170,140,49,154,48,2532,375,63,55,1064,211,1042,286
"10",135,53,296,4240,221,42,179,173,76,188,76,2207,424,49,68,1106,167,1054,233
"11",127,51,294,4107,211,38,173,179,70,179,70,2323,376,56,60,1042,188,1042,244
"12",123,55,332,3728,199,32,167,169,88,169,70,3433,687,55,81,1901,169,1901,219
"13",134,47,272,4277,220,46,174,178,76,189,75,2464,340,97,41,993,303,863,359
"14",92,52,312,3907,174,6,168,128,39,142,38,2451,363,57,56,1042,193,997,272
"15",62,48,297,3850,142,-18,160,102,11,112,9,2360,307,94,41,912,294,832,352
"16",130,48,276,4222,215,42,172,173,72,184,71,3099,439,131,40,1229,413,980,485
"17",107,46,275,4140,191,23,168,128,52,161,50,2953,456,165,39,1308,501,657,574
"18",133,53,299,4179,218,41,178,171,75,186,75,2091,372,49,64,986,167,973,167
"19",147,56,324,3908,226,54,173,195,110,195,91,2698,479,57,67,1301,172,1301,217
"20",149,52,291,4240,235,57,178,192,90,203,90,2307,344,59,52,1001,199,863,199
"21",117,51,291,4212,203,27,176,155,60,171,59,2502,390,85,47,1026,287,971,393
"22",93,54,343,3475,166,8,158,136,61,136,44,2975,609,47,84,1702,148,1702,173
"23",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"24",66,50,307,3851,147,-16,163,106,15,116,14,2567,356,89,43,1033,291,891,375
"25",114,49,285,4204,199,26,174,157,57,168,56,2156,305,94,35,843,306,638,388
"26",109,48,277,4230,195,23,172,147,53,164,51,2586,352,98,41,977,306,944,398
"27",111,52,302,4085,195,22,174,148,55,163,54,2113,384,50,64,1009,170,975,232
