"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",132,41,240,4473,217,45,172,179,72,190,70,3456,420,180,27,1205,544,1002,682
"2",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"3",149,41,236,4586,236,60,176,189,88,209,85,3265,404,161,30,1148,489,1009,614
"4",120,48,276,4276,207,32,174,142,63,176,61,2244,291,111,32,825,351,652,432
"5",137,44,255,4358,223,50,173,159,118,194,77,3349,499,178,37,1468,551,737,698
"6",122,43,259,4236,205,37,168,143,102,177,63,3309,444,164,33,1318,494,915,623
"7",137,44,255,4358,223,50,173,159,118,194,77,3349,499,178,37,1468,551,737,698
"8",148,42,241,4520,234,60,175,195,87,207,85,3031,374,149,33,1121,455,1018,519
"9",128,41,314,3053,187,56,132,165,85,165,85,2547,512,44,79,1451,144,1451,144
"10",164,53,716,358,204,129,74,162,164,170,160,2293,259,98,28,756,317,641,416
"11",164,53,716,358,204,129,74,162,164,170,160,2293,259,98,28,756,317,641,416
"12",185,56,549,1363,234,132,102,195,166,201,162,2222,368,21,65,1067,80,787,167
"13",129,56,572,1238,177,79,98,139,112,144,109,2961,528,27,68,1517,102,1055,206
"14",120,53,302,4144,205,29,176,157,82,172,62,2503,472,53,69,1251,181,1218,262
"15",89,48,284,4094,173,5,168,132,35,142,33,2966,385,127,35,1118,399,965,506
"16",177,33,273,2956,230,110,120,212,134,212,134,2648,566,37,88,1619,117,1619,117
"17",110,45,269,4195,195,26,169,132,91,165,53,2903,404,160,34,1176,484,762,555
"18",91,39,321,2807,145,24,121,125,52,125,52,2380,518,33,87,1459,109,1459,109
"19",108,45,269,4179,191,24,168,129,88,162,50,3206,461,183,35,1355,553,762,639
"20",68,52,337,3422,142,-11,153,112,22,112,21,2952,455,78,57,1275,264,1275,325
"21",227,35,196,4846,314,136,178,251,207,290,159,3242,457,161,35,1346,500,695,687
"22",118,53,581,1046,161,69,92,125,102,130,100,2547,527,10,82,1498,35,872,72
"23",133,49,275,4356,220,43,178,172,73,189,72,2226,339,83,43,898,267,809,346
"24",114,44,270,4022,194,32,163,134,95,166,58,3347,521,158,42,1539,494,825,595
"25",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"26",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"27",134,54,299,4234,220,41,179,172,96,188,75,2854,489,74,59,1313,244,1256,373
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",169,54,288,4451,257,71,186,209,128,225,106,2047,346,48,60,964,152,891,174
"30",75,52,349,3270,144,-6,149,116,45,116,29,2953,536,71,66,1487,228,1487,253
"31",75,52,349,3270,144,-6,149,116,45,116,29,2953,536,71,66,1487,228,1487,253
"32",121,56,333,3740,198,31,168,167,86,167,68,3039,518,67,64,1409,203,1409,253
"33",133,49,275,4356,220,43,178,172,73,189,72,2226,339,83,43,898,267,809,346
"34",126,56,332,3743,203,35,167,172,91,172,72,2928,467,72,60,1298,219,1298,268
"35",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"36",99,51,296,4069,183,12,171,141,44,151,43,1880,261,66,42,757,220,646,287
"37",225,45,243,4734,310,126,184,266,221,284,157,1663,331,18,80,902,57,882,193
"38",149,56,319,3981,229,55,174,198,112,198,92,3161,594,51,74,1620,167,1620,226
"39",165,49,318,3552,233,78,156,207,131,207,113,2663,594,39,88,1636,127,1636,145
"40",103,52,304,4047,187,15,172,140,48,155,47,2239,425,50,68,1104,170,1088,234
"41",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"42",162,65,284,5551,259,31,228,228,103,233,82,740,132,6,65,356,26,284,26
"43",162,65,284,5551,259,31,228,228,103,233,82,740,132,6,65,356,26,284,26
"44",167,50,738,446,199,132,67,171,160,171,159,2036,253,86,34,745,302,668,310
"45",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"46",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"47",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"48",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"49",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"50",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"51",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"52",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"53",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"54",126,55,331,3749,202,35,167,172,91,172,72,3320,697,46,87,1933,144,1933,189
"55",128,56,331,3772,204,36,168,174,92,174,74,3453,668,58,78,1853,180,1853,233
"56",126,56,332,3743,203,35,167,172,91,172,72,2928,467,72,60,1298,219,1298,268
"57",221,66,288,5734,313,83,230,286,161,287,133,1273,230,25,70,658,90,604,95
"58",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"59",169,54,288,4451,257,71,186,209,128,225,106,2047,346,48,60,964,152,891,174
"60",170,49,550,971,212,124,88,175,156,182,154,3310,746,11,92,2144,35,690,59
"61",126,56,332,3743,203,35,167,172,91,172,72,2928,467,72,60,1298,219,1298,268
"62",29,48,815,188,58,-2,59,30,26,31,26,3515,410,157,28,1210,491,895,517
"63",118,55,334,3709,194,28,166,163,83,163,65,2808,497,66,65,1343,203,1343,244
