"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.271301,24.133265,"2283203360",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"2",121.284608,24.152265,"2283203628",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"3",121.41667,24.36667,"1587341779",69,47,293,3913,151,-11,162,110,18,120,16,2326,302,104,37,867,322,746,383
"4",121.28333,24.11667,"1587341815",86,52,309,3931,168,0,168,121,33,136,32,2483,381,71,52,1038,237,999,317
"5",121.26667,24.13333,"1587341835",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",121.28333,24.13333,"1587341876",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"7",121.3,24.11667,"1587341879",76,52,311,3867,157,-8,166,116,24,126,23,2400,346,76,47,968,254,908,333
"8",121.26667,24.13333,"1019619984",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"9",121.26667,24.13333,"1019620001",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"10",120.98333,23.48333,"1019619303",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"11",120.98333,23.48333,"1019619321",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"12",121.42,24.39,"1085969711",73,47,290,3947,155,-8,163,93,21,124,19,2440,333,123,34,943,383,674,450
"13",121.28333,24.16667,"1019617510",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"14",121.26667,24.13333,"1019617545",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"15",98.444664,27.772921,"1426118148",62,67,313,5331,153,-62,215,128,4,128,-12,2342,318,35,49,953,124,836,177
"16",121.2775,24.055833,"891682427",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"17",121.2775,24.055833,"891682542",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"18",121.209167,23.601667,"891682150",68,52,337,3422,142,-11,153,112,22,112,21,2952,455,78,57,1275,264,1275,325
"19",121.253056,23.991667,"891683103",81,53,319,3825,162,-4,166,116,29,130,29,2590,408,67,55,1113,227,1078,310
"20",120.98,23.83,"2417370015",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
