"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"2",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"3",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"4",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"5",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"6",69,47,293,3913,151,-11,162,110,18,120,16,2326,302,104,37,867,322,746,383
"7",75,52,309,3902,157,-9,167,111,23,126,22,2326,348,70,49,964,236,884,319
"8",75,52,309,3902,157,-9,167,111,23,126,22,2326,348,70,49,964,236,884,319
"9",75,52,309,3902,157,-9,167,111,23,126,22,2326,348,70,49,964,236,884,319
"10",32,68,319,5346,125,-89,214,99,-25,99,-41,1615,219,24,47,629,89,629,126
"11",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"12",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"13",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"14",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"15",103,52,305,3983,186,16,170,140,49,154,48,2532,375,63,55,1064,211,1042,286
"16",59,47,296,3844,139,-21,160,78,9,109,7,2622,358,126,35,1002,388,760,459
"17",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"18",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"19",64,67,314,5320,154,-60,215,130,6,130,-11,2273,313,36,48,915,126,769,182
"20",75,67,313,5328,166,-50,215,140,17,141,0,2205,303,34,48,891,120,752,174
"21",75,67,313,5328,166,-50,215,140,17,141,0,2205,303,34,48,891,120,752,174
"22",59,47,296,3844,139,-21,160,78,9,109,7,2622,358,126,35,1002,388,760,459
"23",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"24",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"25",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"26",56,54,352,3327,127,-25,152,97,26,97,10,3062,500,74,61,1402,240,1402,334
"27",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"28",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"29",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"30",73,47,287,4013,155,-9,164,115,21,126,19,2674,349,118,33,1006,372,843,483
"31",73,47,287,4013,155,-9,164,115,21,126,19,2674,349,118,33,1006,372,843,483
"32",64,67,313,5331,154,-60,215,130,5,130,-11,2129,290,33,48,860,116,735,167
"33",62,67,313,5331,153,-62,215,128,4,128,-12,2342,318,35,49,953,124,836,177
"34",59,51,317,3732,138,-23,161,97,9,107,8,2657,382,88,45,1102,292,940,376
"35",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"36",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"37",68,52,315,3830,149,-15,165,103,17,117,16,2613,387,75,51,1073,251,1030,342
"38",68,52,315,3830,149,-15,165,103,17,117,16,2613,387,75,51,1073,251,1030,342
"39",82,54,343,3477,156,-2,157,125,50,125,34,2650,468,60,66,1294,193,1294,214
"40",122,56,332,3754,199,31,168,168,86,168,68,2856,539,57,73,1489,176,1489,211
"41",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"42",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"43",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"44",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"45",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"46",62,47,292,3933,143,-19,162,103,10,113,8,2716,340,111,37,1017,351,929,456
