"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",134,69,405,3606,234,62,171,96,187,187,90,1342,259,5,78,711,27,27,703
"2",69,60,225,7139,213,-54,267,88,-23,168,-23,908,115,48,27,327,163,216,163
"3",70,57,218,7021,210,-50,260,89,41,167,-21,854,105,47,26,299,150,239,159
"4",70,57,219,7032,210,-50,261,42,41,167,-21,850,105,47,26,299,150,236,159
"5",63,64,233,7317,212,-65,277,81,-32,164,-32,888,110,46,27,313,155,230,155
"6",69,56,218,7012,209,-51,259,88,40,166,-22,913,113,50,26,321,160,256,169
"7",143,70,440,3038,229,69,160,100,179,183,100,1073,220,1,88,621,11,11,621
"8",89,59,293,5027,209,7,202,32,164,164,25,1704,252,55,51,756,165,165,700
"9",110,74,310,5741,250,11,239,43,195,195,35,2475,400,56,57,1150,182,182,1070
"10",108,70,308,5458,241,15,226,45,189,189,37,1905,281,66,46,825,204,204,771
"11",108,70,308,5458,241,15,226,45,189,189,37,1905,281,66,46,825,204,204,771
"12",106,75,309,5805,248,6,242,38,192,192,30,2382,398,53,60,1137,165,165,1058
"13",121,91,386,4996,264,28,235,65,195,195,56,870,144,12,61,417,50,50,416
"14",111,69,309,5358,243,20,222,49,190,190,42,1631,253,48,52,740,152,152,695
"15",33,34,163,6164,146,-65,211,52,86,123,-44,1087,138,52,28,386,166,235,305
"16",112,72,310,5584,248,16,232,47,194,194,39,2206,354,59,54,1020,185,185,954
"17",118,87,363,5312,263,25,238,58,197,197,50,982,150,21,54,448,75,75,423
"18",106,58,336,4066,211,38,173,62,158,167,55,2695,438,46,63,1281,161,162,1268
"19",125,58,398,3107,208,63,145,86,170,170,86,1778,282,15,65,830,73,73,830
"20",112,58,335,4057,216,44,172,68,164,172,61,2610,425,45,64,1241,157,157,1231
"21",61,68,241,7282,215,-66,281,161,-13,163,-34,690,81,37,25,235,111,221,121
"22",66,60,225,7003,212,-55,266,165,-8,165,-25,577,67,30,25,195,92,195,103
"23",38,51,224,6300,164,-66,230,56,57,128,-40,1168,128,51,24,374,176,290,352
"24",64,45,219,5782,178,-30,208,82,79,148,-7,1215,133,60,21,383,191,310,298
"25",37,52,178,8284,196,-98,295,152,2,155,-72,568,70,31,27,201,95,164,104
"26",104,69,307,5394,236,13,223,42,184,184,35,2266,326,71,48,970,225,225,896
"27",109,58,290,5037,228,27,202,52,184,184,45,1382,205,45,50,609,135,135,562
"28",115,66,398,3521,212,46,165,72,159,168,72,2216,370,11,70,1096,68,69,1096
"29",106,70,313,5348,238,15,223,44,185,185,37,1945,299,59,51,874,185,185,819
"30",102,64,301,5205,228,15,213,43,179,179,35,2097,319,55,55,954,175,175,875
"31",106,71,307,5588,242,11,231,42,189,189,34,2046,315,48,56,929,156,156,875
"32",73,48,201,6656,204,-36,240,49,42,167,-12,1033,129,57,28,377,184,291,198
"33",119,60,371,3553,214,54,160,82,172,172,74,2861,458,46,61,1348,146,146,1318
"34",62,65,233,7334,212,-66,278,80,-33,164,-33,884,108,47,26,310,157,227,157
"35",94,72,312,5569,231,-1,232,29,176,176,21,2500,354,84,45,1046,260,260,970
"36",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"37",110,71,313,5391,244,19,225,48,190,190,40,1718,271,46,53,788,148,148,739
"38",112,73,313,5602,250,16,234,47,195,195,39,1805,279,60,49,803,182,182,745
"39",112,73,313,5602,250,16,234,47,195,195,39,1805,279,60,49,803,182,182,745
"40",112,73,313,5602,250,16,234,47,195,195,39,1805,279,60,49,803,182,182,745
"41",116,55,372,3267,200,53,147,82,164,164,75,2323,377,24,65,1108,88,88,1091
"42",108,70,309,5439,241,16,225,45,188,188,38,1990,313,59,53,910,183,183,859
"43",108,70,309,5439,241,16,225,45,188,188,38,1990,313,59,53,910,183,183,859
"44",101,70,309,5449,235,9,226,38,182,182,31,2208,340,68,51,997,210,210,928
"45",112,58,335,4057,216,44,172,68,164,172,61,2610,425,45,64,1241,157,157,1231
"46",68,84,208,10676,260,-141,401,168,-84,205,-84,1004,94,64,10,282,205,268,205
"47",9,83,300,6830,165,-112,277,-71,98,109,-81,1305,189,49,48,567,161,169,525
"48",73,23,164,4126,148,8,139,96,123,134,24,2629,423,98,42,1155,326,480,612
"49",111,69,309,5358,243,20,222,49,190,190,42,1631,253,48,52,740,152,152,695
"50",111,69,309,5358,243,20,222,49,190,190,42,1631,253,48,52,740,152,152,695
"51",113,72,324,5268,247,23,223,52,191,191,45,994,140,34,44,417,106,106,396
"52",131,70,406,3632,232,59,173,93,185,185,86,1371,257,5,76,710,29,29,697
"53",68,71,316,5419,202,-24,226,6,149,149,-1,2932,441,90,50,1294,280,280,1205
"54",112,74,313,5610,251,16,235,47,195,195,39,1805,279,59,49,803,181,181,745
"55",112,70,317,5237,243,23,220,51,189,189,44,1220,175,42,45,519,134,134,489
"56",112,70,317,5237,243,23,220,51,189,189,44,1220,175,42,45,519,134,134,489
"57",110,87,351,5614,259,12,247,46,194,194,38,1467,202,37,45,604,127,127,596
"58",109,73,310,5652,248,13,235,44,193,193,36,2492,398,63,54,1148,201,201,1066
"59",112,73,310,5649,251,15,235,46,196,196,39,2275,358,61,53,1035,193,193,960
"60",117,83,363,5103,256,27,229,59,192,192,51,784,123,24,47,351,78,78,333
"61",116,89,386,4909,257,27,230,61,190,190,53,1238,178,24,47,522,106,106,512
"62",145,80,479,2880,234,67,167,103,183,183,103,645,137,2,93,389,6,6,389
"63",120,87,370,5203,264,28,236,61,198,198,53,979,153,19,57,453,67,67,447
"64",118,85,365,5184,260,27,233,59,195,195,51,1031,181,20,63,516,68,68,493
"65",111,71,317,5315,244,21,223,50,190,190,42,1235,174,48,41,511,150,150,484
"66",113,66,382,3781,217,44,174,72,169,169,65,2440,402,34,64,1167,122,122,1160
"67",109,65,308,5205,235,23,212,51,187,187,44,1423,239,35,61,701,115,115,651
"68",112,71,312,5494,248,19,229,49,194,194,41,1666,268,48,53,769,148,148,724
"69",110,71,312,5421,244,18,226,47,190,190,39,1859,303,47,57,877,149,149,821
"70",120,87,370,5203,264,28,236,61,198,198,53,979,153,19,57,453,67,67,447
"71",109,71,312,5428,243,17,227,46,190,190,39,1847,296,48,55,859,152,152,806
"72",54,54,209,7375,189,-70,259,76,128,152,-44,1686,253,72,35,695,236,359,465
"73",106,70,313,5348,238,15,223,44,185,185,37,1945,299,59,51,874,185,185,819
"74",109,71,312,5428,243,17,227,46,190,190,39,1847,296,48,55,859,152,152,806
"75",114,89,358,5562,264,16,248,51,196,196,42,1196,183,25,55,545,83,83,521
"76",106,65,303,5192,233,20,213,47,183,183,40,2026,303,60,51,902,192,192,833
"77",103,60,317,4570,218,29,190,53,171,171,46,1237,204,30,59,596,104,104,584
"78",108,72,315,5439,243,15,228,45,189,189,38,1845,282,59,49,819,183,183,766
