"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"2",78,55,349,3423,150,-6,157,120,46,120,30,2944,609,46,85,1703,142,1703,172
"3",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"4",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"5",113,50,287,4204,196,23,173,150,76,166,54,2228,455,43,77,1192,134,1165,248
"6",73,47,288,4005,154,-10,164,114,20,125,18,2715,350,119,33,1017,375,871,484
"7",73,47,288,4005,154,-10,164,114,20,125,18,2715,350,119,33,1017,375,871,484
"8",59,47,293,3916,139,-22,161,100,8,110,5,2685,338,110,36,1008,348,913,457
"9",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"10",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"11",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"12",98,50,293,4119,182,11,171,135,43,151,41,2291,394,51,64,1105,173,1055,255
"13",121,44,257,4373,207,35,172,167,63,178,61,2837,386,149,28,1044,459,722,587
"14",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"25",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"26",112,56,336,3682,187,22,165,157,77,157,59,3658,680,65,74,1897,201,1897,260
"27",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"28",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"29",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"30",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"31",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"32",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"33",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"34",113,50,287,4204,196,23,173,150,76,166,54,2228,455,43,77,1192,134,1165,248
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",175,53,308,3979,251,80,172,223,137,223,117,3091,671,34,92,1875,112,1875,155
"37",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"38",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"39",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"40",180,46,306,3463,246,97,149,221,129,221,129,1907,366,35,76,1054,119,1054,119
"41",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"42",55,49,300,3881,135,-26,162,90,4,105,2,2478,361,83,46,1013,269,959,367
"43",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"44",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"45",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"46",220,34,189,5034,309,127,182,246,199,286,150,2615,326,151,25,972,494,584,613
"47",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"48",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"49",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"50",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"51",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"52",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"53",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"54",128,55,330,3767,204,36,168,174,93,174,74,3321,669,51,82,1859,159,1859,206
"55",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"56",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"57",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"58",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"59",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"60",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"61",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"62",48,47,301,3759,127,-30,157,88,0,98,-2,2760,377,122,37,1069,378,875,448
"63",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"64",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"65",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"66",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"67",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"68",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"69",59,47,296,3844,139,-21,160,78,9,109,7,2622,358,126,35,1002,388,760,459
"70",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"71",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"72",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"73",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"74",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"75",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"76",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"77",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"78",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"79",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"80",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"81",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"82",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"83",50,47,298,3792,130,-28,157,70,1,100,-1,2731,396,138,35,1102,424,712,499
"84",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"85",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"86",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"87",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"88",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"89",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"90",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"91",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"92",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"93",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"94",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"95",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"96",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"97",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"98",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"99",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"100",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"101",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"102",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"103",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"104",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"105",180,46,306,3463,246,97,149,221,129,221,129,1907,366,35,76,1054,119,1054,119
"106",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",112,56,336,3682,187,22,165,157,77,157,59,3658,680,65,74,1897,201,1897,260
"109",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"110",220,34,189,5034,309,127,182,246,199,286,150,2615,326,151,25,972,494,584,613
"111",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"112",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"113",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"114",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"115",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"116",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"117",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"118",220,55,291,4491,306,117,189,260,178,275,155,2015,365,30,73,1023,100,1003,137
"119",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"120",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"121",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"122",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"123",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"124",55,49,300,3881,135,-26,162,90,4,105,2,2478,361,83,46,1013,269,959,367
"125",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"126",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"127",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"128",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"129",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"130",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"131",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"132",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"133",128,55,330,3767,204,36,168,174,93,174,74,3321,669,51,82,1859,159,1859,206
"134",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"135",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"136",121,44,257,4373,207,35,172,167,63,178,61,2837,386,149,28,1044,459,722,587
"137",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"138",118,53,336,3499,189,32,157,154,85,161,68,2679,433,72,58,1207,228,1182,262
"139",63,55,355,3369,135,-20,155,105,32,105,16,2973,555,62,72,1537,192,1537,228
"140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",113,50,287,4204,196,23,173,150,76,166,54,2228,455,43,77,1192,134,1165,248
"142",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"143",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"144",225,38,208,4860,314,132,182,249,286,288,157,3405,527,142,43,1542,486,594,752
"145",225,38,208,4860,314,132,182,249,286,288,157,3405,527,142,43,1542,486,594,752
"146",225,38,208,4860,314,132,182,249,286,288,157,3405,527,142,43,1542,486,594,752
"147",225,38,208,4860,314,132,182,249,286,288,157,3405,527,142,43,1542,486,594,752
"148",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"149",46,47,302,3752,125,-32,157,86,-2,96,-4,2622,350,113,38,1010,349,864,416
"150",84,51,308,3913,166,-1,167,125,31,134,31,2245,314,74,46,913,248,812,323
"151",220,55,291,4491,306,117,189,260,178,275,155,2015,365,30,73,1023,100,1003,137
"152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"154",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"155",63,55,355,3369,135,-20,155,105,32,105,16,2973,555,62,72,1537,192,1537,228
"156",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"157",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
