"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",123,49,279,4282,209,34,175,161,65,178,63,2048,319,76,44,840,246,747,315
"2",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"3",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"4",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"5",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"6",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"7",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"8",86,51,303,3963,168,1,168,121,32,137,31,2143,308,64,49,868,210,819,279
"9",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"10",85,53,327,3641,162,2,161,122,35,131,35,2974,442,78,55,1288,266,1226,342
"11",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"12",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"13",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"14",59,52,318,3784,139,-24,163,93,8,108,7,2561,372,77,49,1034,259,993,349
"15",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"16",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"17",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"18",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"19",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"20",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"21",114,56,334,3751,191,23,168,160,79,160,60,3120,649,50,84,1781,152,1781,186
