"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",10.740707,59.309961,"2544221743",73,56,217,7013,212,-47,259,92,43,169,-18,847,107,45,27,303,145,245,153
"2",10.833673,59.310644,"2544305763",70,57,218,7022,210,-50,260,89,41,167,-21,869,107,48,26,305,155,241,162
"3",17.606728,59.834442,"2548620521",62,58,211,7280,210,-64,274,164,-14,164,-34,549,72,27,32,210,83,210,91
"4",17.274711,59.054612,"2548661463",67,53,203,6997,208,-51,259,167,-7,167,-24,537,66,28,28,186,84,186,94
"5",13.575412,59.282444,"2548666424",65,67,241,7258,218,-61,279,165,-8,166,-30,638,72,32,25,208,106,181,108
"6",17.171674,59.012879,"2548673294",66,53,204,6987,207,-52,259,166,-8,166,-25,560,68,30,27,192,90,192,100
"7",16.390032,58.926905,"2548682497",66,64,232,7130,216,-58,274,166,-8,166,-27,553,66,29,26,190,88,184,97
"8",17.173614,59.065378,"2548738504",66,54,208,7031,209,-53,262,167,-7,167,-25,530,65,28,27,181,86,181,93
"9",17.54832,59.855822,"2548855488",61,59,214,7311,211,-65,276,165,-15,165,-34,561,74,28,32,214,86,214,94
"10",16.682829,56.745815,"2548880632",78,24,121,6133,186,-12,198,171,11,171,2,479,52,28,21,152,86,152,95
"11",17.949157,59.223599,"2548899516",64,46,186,6893,200,-50,250,164,-9,164,-25,540,64,28,27,186,88,186,96
"12",16.265382,58.966617,"2548987622",65,65,236,7168,217,-60,277,165,-9,165,-29,622,76,33,27,220,99,210,107
"13",16.305159,58.953189,"2548995522",66,65,235,7158,217,-59,276,166,-9,166,-28,578,70,31,26,202,93,194,100
"14",10.75322,59.862079,"2549610417",68,67,236,7490,221,-63,284,85,-4,172,-29,786,94,41,26,270,137,212,139
"15",10.829918,59.613859,"2556503844",64,64,231,7288,213,-63,275,82,-31,165,-31,863,108,44,27,306,149,221,149
"16",10.832586,59.627692,"2556665107",64,64,232,7302,213,-63,276,82,-31,165,-31,859,106,45,26,302,151,219,151
"17",17.323417,59.032756,"2558339752",66,51,199,6956,205,-51,256,166,-8,166,-24,550,66,29,27,188,87,188,97
"18",16.355267,58.874714,"2558409796",65,63,232,7095,214,-58,273,164,-9,164,-27,585,69,31,25,199,94,199,103
"19",17.173614,59.065378,"2558410714",66,54,208,7031,209,-53,262,167,-7,167,-25,530,65,28,27,181,86,181,93
"20",17.332733,58.984613,"2558474717",66,50,195,6924,205,-49,253,166,-7,166,-23,527,63,28,26,179,84,179,93
"21",17.314749,59.029672,"2558481005",65,51,200,6959,205,-52,256,165,-8,165,-25,559,67,29,27,191,88,191,99
"22",17.200474,59.061665,"2558495756",66,54,206,7018,208,-53,261,166,-8,166,-25,561,69,30,27,193,90,193,100
"23",14.836692,59.264126,"2558534796",59,68,241,7254,212,-68,280,158,-15,160,-36,699,81,37,26,239,113,219,122
"24",17.244842,59.085871,"2558559928",66,54,207,7026,208,-53,261,166,-8,166,-25,573,72,29,28,200,91,200,98
"25",17.224468,59.034812,"2558560002",66,53,204,6994,207,-52,259,166,-8,166,-25,565,69,30,27,193,90,193,100
"26",18.371832,57.621402,"2558645849",72,16,86,6096,175,-14,190,58,69,166,-3,549,62,29,26,179,91,158,116
"27",17.635393,59.754121,"2558677088",64,57,211,7257,212,-61,273,166,-12,166,-31,556,75,27,33,211,83,211,92
"28",16.512005,58.766207,"2558681016",67,59,224,6997,212,-53,266,166,-7,166,-24,567,66,30,25,192,91,192,100
"29",17.567031,59.846208,"2558816102",62,59,213,7299,211,-64,275,165,-14,165,-34,541,71,27,32,205,81,205,91
"30",14.837123,56.648436,"2561644825",70,61,245,6479,208,-42,251,159,39,162,-14,667,79,37,23,219,113,211,126
"31",17.151156,59.069718,"2561686827",67,55,209,7042,210,-53,263,167,-7,167,-24,535,66,28,27,184,86,184,93
"32",17.310724,59.028299,"2561693921",65,51,200,6959,205,-52,256,165,-8,165,-25,559,67,29,27,191,88,191,99
"33",17.272043,59.044383,"2561724888",66,52,202,6986,207,-51,258,166,-7,166,-24,535,65,28,27,183,84,183,94
"34",16.412867,56.213978,"2561993852",81,25,127,6059,188,-9,197,172,42,172,5,486,54,27,24,156,81,156,92
"35",16.314843,58.957275,"2562011831",66,65,235,7159,217,-59,276,166,-8,166,-27,566,68,30,26,198,90,189,97
"36",16.302599,58.958271,"2564655010",65,65,235,7157,216,-60,276,164,-10,165,-29,613,74,33,26,214,99,206,106
"37",17.593685,59.965042,"2564331102",61,57,209,7292,209,-64,274,164,-15,164,-35,586,77,30,32,225,90,225,100
"38",17.621928,59.888881,"2564355040",62,57,209,7278,210,-63,273,165,-14,165,-33,558,73,28,32,213,84,213,94
"39",17.606728,59.834442,"2564368156",62,58,211,7280,210,-64,274,164,-14,164,-34,549,72,27,32,210,83,210,91
