"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",167,28,174,4686,248,84,164,193,106,230,102,4104,509,253,22,1429,798,1022,888
"2",167,28,174,4686,248,84,164,193,106,230,102,4104,509,253,22,1429,798,1022,888
"3",167,28,174,4686,248,84,164,193,106,230,102,4104,509,253,22,1429,798,1022,888
"4",142,56,312,4127,226,47,179,179,104,193,83,3152,537,69,64,1497,213,1440,253
"5",167,28,174,4686,248,84,164,193,106,230,102,4104,509,253,22,1429,798,1022,888
"6",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"7",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"8",109,48,279,4219,194,21,172,152,52,163,50,2678,340,107,37,1017,337,933,439
"9",128,42,252,4235,211,45,167,150,109,184,70,4062,592,201,37,1739,605,1000,769
"10",116,44,262,4211,200,32,168,137,96,171,58,3551,496,189,34,1480,568,904,685
"11",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"12",91,51,340,3308,160,10,149,132,60,132,44,2854,562,51,78,1589,168,1589,177
"13",108,56,337,3667,184,19,165,153,74,153,56,3617,644,69,70,1798,213,1798,276
"14",153,43,244,4531,240,63,177,199,91,212,90,3758,499,195,31,1383,600,1051,691
"15",178,55,315,3972,256,82,174,226,140,226,120,2445,486,41,78,1327,127,1327,167
"16",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"17",85,53,327,3641,162,2,161,122,35,131,35,2974,442,78,55,1288,266,1226,342
"18",132,42,252,4267,215,48,168,153,113,188,73,3968,568,196,36,1675,592,1010,739
"19",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"20",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"21",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"22",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"23",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"24",108,56,337,3667,184,19,165,153,74,153,56,3617,644,69,70,1798,213,1798,276
"25",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"26",116,44,262,4211,200,32,168,137,96,171,58,3551,496,189,34,1480,568,904,685
"27",116,44,262,4211,200,32,168,137,96,171,58,3551,496,189,34,1480,568,904,685
"28",116,45,262,4324,199,28,171,153,79,171,55,2666,371,98,40,1070,318,929,483
"29",127,42,253,4249,211,43,167,149,108,183,69,4010,587,205,37,1733,617,947,778
"30",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"31",102,48,279,4193,187,16,171,157,46,157,45,2448,336,89,43,934,279,934,363
"32",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"33",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"34",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"35",105,45,266,4254,188,19,169,142,69,160,46,2699,396,96,43,1119,311,987,472
"36",127,42,253,4249,211,43,167,149,108,183,69,4010,587,205,37,1733,617,947,778
"37",127,42,253,4249,211,43,167,149,108,183,69,4010,587,205,37,1733,617,947,778
"38",120,48,276,4274,206,32,174,141,62,175,61,2461,328,122,32,918,384,684,475
"39",120,48,276,4276,207,32,174,142,63,176,61,2244,291,111,32,825,351,652,432
"40",88,48,287,4051,171,4,167,130,34,141,33,2396,307,116,34,875,366,731,437
"41",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"42",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"43",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"44",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"45",65,52,352,3202,133,-14,147,105,36,105,21,3126,556,68,68,1560,222,1560,240
"46",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"47",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"48",132,44,253,4415,218,45,174,178,73,190,71,3454,461,180,30,1290,547,996,646
"49",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"50",125,43,257,4241,208,40,168,146,105,180,66,3340,448,155,36,1294,503,998,561
"51",141,56,322,3931,220,47,173,176,104,189,85,3139,549,56,70,1541,180,1518,238
"52",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"53",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"54",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"55",118,41,245,4336,202,34,168,140,61,175,58,3801,483,211,27,1355,650,1051,737
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"58",88,48,287,4051,171,4,167,130,34,141,33,2396,307,116,34,875,366,731,437
"59",87,46,278,4121,169,3,167,130,32,140,30,2429,326,114,31,901,360,671,477
"60",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
"61",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"62",101,48,280,4179,185,15,171,144,45,155,43,2459,318,92,40,952,290,867,387
"63",94,50,292,4090,176,6,169,130,58,146,37,2189,437,44,74,1155,137,1115,251
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",92,44,267,4169,173,8,165,129,57,146,34,2674,406,88,47,1155,281,1009,458
"66",116,45,262,4324,199,28,171,153,79,171,55,2666,371,98,40,1070,318,929,483
"67",114,45,263,4316,198,27,171,152,77,170,54,2659,405,92,45,1131,297,996,458
"68",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"69",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"70",87,52,344,3325,157,5,151,128,57,128,41,2707,518,55,73,1448,177,1448,197
"71",115,48,277,4227,200,27,172,136,57,169,56,2469,336,132,32,974,414,653,497
"72",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",149,41,236,4586,236,60,176,189,88,209,85,3265,404,161,30,1148,489,1009,614
"76",77,47,283,4056,159,-6,165,113,24,130,22,2425,336,97,38,934,311,832,417
"77",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"78",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"79",158,39,224,4627,244,70,174,181,96,218,93,3457,445,211,25,1239,650,848,751
"80",143,51,327,3529,213,56,157,185,109,185,92,2924,647,43,88,1787,137,1787,157
"81",90,51,345,3270,158,9,149,131,60,131,44,2798,536,58,72,1476,187,1476,208
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"84",71,51,311,3872,153,-12,165,112,20,121,18,2481,350,78,47,998,260,914,349
"85",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"86",204,40,222,4798,289,109,180,245,200,265,136,1955,320,38,60,945,116,769,340
"87",192,43,235,4799,280,96,184,234,150,253,124,1609,277,43,57,777,132,656,260
"88",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"89",190,51,273,4625,279,90,189,231,148,248,125,1857,334,40,66,924,121,861,144
"90",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"91",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"92",85,48,287,4023,167,2,166,126,31,137,30,2251,289,109,35,819,343,683,405
"93",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"94",157,55,315,4047,237,61,176,193,119,206,98,3359,601,55,71,1680,181,1644,247
"95",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"96",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"97",136,43,249,4447,222,48,174,158,76,194,74,3279,441,188,28,1227,571,845,670
"98",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"99",102,48,279,4193,187,16,171,157,46,157,45,2448,336,89,43,934,279,934,363
"100",67,46,285,3993,148,-14,163,109,15,119,13,2562,335,114,32,948,362,754,480
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",69,53,320,3789,150,-15,164,104,18,118,17,2358,396,61,59,1065,207,1040,273
"103",121,48,330,3257,186,41,145,161,91,161,75,2576,571,34,89,1602,118,1602,120
"104",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"105",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"106",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"107",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"108",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"109",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"110",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"111",111,44,262,4297,195,25,170,149,75,167,52,2656,402,91,45,1132,292,995,460
"112",88,49,293,4063,170,2,168,124,53,140,32,2184,429,48,71,1134,150,1086,263
"113",133,49,275,4356,220,43,178,172,73,189,72,2226,339,83,43,898,267,809,346
"114",133,49,275,4356,220,43,178,172,73,189,72,2226,339,83,43,898,267,809,346
"115",120,53,301,4149,205,28,176,157,82,172,62,2403,456,52,69,1203,178,1175,255
"116",110,53,306,4034,194,21,172,147,54,161,54,2065,377,47,65,995,161,954,219
"117",120,53,301,4149,205,28,176,157,82,172,62,2403,456,52,69,1203,178,1175,255
"118",92,49,291,4093,174,5,169,128,57,145,35,2268,422,57,64,1121,177,1059,312
"119",92,49,291,4093,174,5,169,128,57,145,35,2268,422,57,64,1121,177,1059,312
"120",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"121",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"122",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"123",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"124",181,28,170,4786,262,96,166,207,118,245,114,3925,485,238,23,1343,730,1022,820
"125",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",115,44,263,4203,199,31,168,136,95,170,57,3566,488,184,34,1444,564,966,658
"129",175,56,315,4058,256,79,178,224,137,224,116,2379,418,49,69,1164,148,1164,185
"130",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"131",116,45,262,4324,199,28,171,153,79,171,55,2666,371,98,40,1070,318,929,483
"132",116,45,262,4324,199,28,171,153,79,171,55,2666,371,98,40,1070,318,929,483
"133",116,45,262,4324,199,28,171,153,79,171,55,2666,371,98,40,1070,318,929,483
"134",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"135",85,46,278,4113,167,1,166,121,31,138,28,2296,304,99,34,849,319,740,432
"136",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"137",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"138",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"139",112,53,303,4107,197,22,175,150,56,165,56,2363,451,52,70,1181,178,1174,247
"140",99,52,306,4019,182,11,171,135,44,150,43,2227,418,50,67,1088,170,1073,234
"141",99,52,306,4019,182,11,171,135,44,150,43,2227,418,50,67,1088,170,1073,234
"142",129,53,301,4169,214,37,177,167,71,182,71,2263,433,49,69,1122,169,1110,234
"143",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"144",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"145",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"146",120,53,302,4144,205,29,176,157,82,172,62,2503,472,53,69,1251,181,1218,262
"147",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"148",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"149",188,29,170,4829,270,102,168,239,124,252,120,3500,409,209,23,1169,645,979,720
"150",176,29,172,4768,257,91,166,227,113,239,110,3546,415,213,23,1193,651,1006,738
"151",176,29,172,4768,257,91,166,227,113,239,110,3546,415,213,23,1193,651,1006,738
"152",149,47,264,4470,238,58,180,171,88,207,87,2262,305,120,31,849,380,623,452
"153",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
