"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"2",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"3",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"4",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"5",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"6",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"7",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"8",70,48,296,3900,151,-11,163,111,19,121,17,2431,335,103,38,952,325,782,393
"9",86,51,303,3986,169,0,169,127,32,137,31,2153,303,80,40,861,268,697,352
"10",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"11",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"12",66,51,313,3776,146,-16,162,105,16,115,15,2665,391,90,44,1110,300,911,385
"13",68,52,313,3847,149,-16,165,108,16,117,15,2457,339,78,46,998,260,884,351
"14",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"15",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"16",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"17",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"18",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"19",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"20",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"21",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"22",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"23",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"24",112,49,283,4222,196,23,173,150,76,166,54,2208,410,56,63,1088,175,1001,314
"25",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"26",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"27",61,48,298,3835,141,-19,160,101,11,111,9,2533,345,98,41,1005,304,875,369
"28",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"29",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"30",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"31",84,51,308,3913,166,-1,167,125,31,134,31,2245,314,74,46,913,248,812,323
