"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",191,29,171,4799,273,105,168,217,168,255,125,4061,513,243,24,1453,774,982,885
"2",166,56,312,4098,247,69,178,203,128,216,107,3083,524,54,67,1486,178,1442,242
"3",96,48,357,2830,167,32,135,87,61,137,56,1506,144,102,11,425,324,342,334
"4",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"5",53,49,304,3860,132,-29,161,87,20,103,0,2261,391,61,59,1061,200,1004,312
"6",78,52,313,3888,160,-7,167,113,26,128,25,2290,399,55,61,1058,185,1045,255
"7",89,52,309,3965,172,2,170,125,35,140,34,2191,404,51,65,1051,173,1048,239
"8",101,52,305,4043,185,13,172,138,46,153,45,2209,403,52,64,1052,178,1045,247
"9",115,53,302,4126,200,25,175,152,78,168,58,2340,438,54,67,1149,185,1137,258
"10",89,52,330,3538,163,6,157,125,40,133,40,2753,411,77,55,1197,261,1152,261
"11",118,44,259,4343,202,31,171,156,81,174,58,2608,352,99,38,1028,320,858,492
"12",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"13",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"14",111,46,269,4285,196,24,172,149,54,167,52,2113,272,91,33,771,297,674,409
"15",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"16",89,48,286,4107,172,4,168,126,54,142,33,2112,295,77,40,835,252,729,384
"17",63,55,355,3369,135,-20,155,105,32,105,16,2973,555,62,72,1537,192,1537,228
"18",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"19",102,45,266,4238,185,16,169,139,66,157,43,2655,383,102,39,1070,335,913,481
"20",120,53,301,4149,205,28,176,157,82,172,62,2403,456,52,69,1203,178,1175,255
"21",218,25,149,5046,301,130,171,246,281,286,148,3022,399,141,27,1127,494,569,734
"22",100,53,310,3952,183,13,170,140,46,150,45,2165,314,55,54,920,187,837,260
"23",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"24",95,48,285,4134,179,10,170,138,40,149,38,2583,341,92,42,989,292,942,392
"25",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"26",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"27",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"28",110,53,306,4034,194,21,172,147,54,161,54,2065,377,47,65,995,161,954,219
"29",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"30",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"31",157,49,310,3610,228,72,156,200,104,200,104,2609,436,60,63,1228,202,1228,202
"32",205,40,220,4808,290,110,180,246,201,266,137,1944,322,38,61,946,115,763,338
