"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.36677,24.400573,"2611374745",137,47,268,4392,225,48,177,159,78,194,77,2526,352,139,31,998,437,633,525
"2",120.722114,23.491433,"2619890696",151,54,321,3861,227,58,170,197,114,197,95,3637,737,50,84,2060,160,2060,215
"3",120.721044,23.492329,"2619897132",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"4",121.368822,24.398762,"2237452621",124,48,272,4305,211,36,175,146,66,180,65,2549,361,140,32,1021,436,625,526
"5",120.799542,23.507287,"2238946797",120,55,333,3720,196,29,166,165,85,165,67,3417,696,51,84,1930,159,1930,206
"6",120.827904,23.482829,"2451590590",108,55,338,3634,183,19,164,152,74,152,56,3550,631,72,69,1761,220,1761,280
"7",120.743974,23.645003,"2460062258",188,55,305,4193,270,89,180,239,148,239,127,2344,453,32,79,1255,106,1255,147
"8",121.36064,24.403831,"1978460853",141,48,267,4418,229,51,178,163,81,198,80,2697,388,147,32,1086,457,646,559
"9",120.818645,23.477319,"1946200708",115,55,336,3671,190,25,165,160,81,160,63,3570,655,69,72,1825,209,1825,268
"10",121.285704,24.163747,"1901073969",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"11",120.901078,23.476017,"1946199010",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"12",120.810283,23.517371,"1913166521",117,56,334,3715,193,26,166,162,82,162,64,3614,669,65,74,1862,201,1862,260
"13",120.664746,23.434094,"1932351259",168,53,313,3898,244,74,169,215,131,215,111,3280,671,45,83,1863,147,1863,197
"14",121.620552,24.504999,"1946273458",128,42,252,4235,211,45,167,150,109,184,70,4062,592,201,37,1739,605,1000,769
"15",120.813102,23.515171,"1946368473",112,56,336,3682,187,22,165,157,77,157,59,3658,680,65,74,1897,201,1897,260
"16",121.356853,24.37855,"1945419353",112,48,278,4223,198,25,172,134,55,167,54,2495,342,128,32,964,402,657,495
"17",121.72,24.38,"1085989616",154,40,243,4246,235,70,166,175,136,209,95,4131,662,194,43,1915,590,926,785
"18",121.47,24.48,"1085983927",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"19",121.42,24.08,"1085993328",65,50,312,3717,143,-16,159,103,15,113,14,2764,409,93,46,1162,307,956,383
"20",120.900376,22.736424,"622287230",128,41,312,3050,187,55,132,165,84,165,84,2587,474,50,73,1373,162,1373,162
"21",121.47,24.46,"1085995079",110,45,269,4195,195,26,169,132,91,165,53,2903,404,160,34,1176,484,762,555
"22",121.237306,24.122697,"622287228",89,52,309,3965,172,2,170,125,35,140,34,2191,404,51,65,1051,173,1048,239
"23",121.27,24.15,"1085991598",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"24",121.28,24.57,"1085982361",119,44,257,4357,204,32,172,164,61,175,58,2787,379,148,28,1018,456,692,586
"25",121.283333,24.566667,"891591459",121,44,257,4373,207,35,172,167,63,178,61,2837,386,149,28,1044,459,722,587
"26",120.797714,23.549405,"622287229",119,56,332,3749,195,28,167,165,84,165,65,3442,643,59,74,1783,187,1783,244
"27",121.35,23.74,"1086000573",168,49,289,4069,249,78,171,209,110,218,110,2699,440,79,51,1225,261,967,261
"28",120.9,23.26,"1085981721",83,53,348,3308,152,1,151,124,52,124,36,2973,528,72,63,1432,229,1432,262
"29",121.38,24.55,"1086007330",130,45,256,4402,217,43,174,176,71,187,69,2891,390,149,30,1084,449,822,541
"30",0,0,"1830549092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,0,"1830538732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",121.61,24.51,"1086027887",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"33",120.916667,23.283333,"574660156",136,53,330,3593,209,48,160,180,102,180,84,2447,417,60,62,1150,190,1150,218
"34",120.916667,23.283333,"575258673",136,53,330,3593,209,48,160,180,102,180,84,2447,417,60,62,1150,190,1150,218
"35",121.2975,24.364722,"891602693",122,49,277,4293,208,33,175,166,64,177,63,2618,339,102,38,990,324,907,425
"36",121.086111,24.492222,"891602661",111,44,262,4297,195,25,170,149,75,167,52,2656,402,91,45,1132,292,995,460
"37",121.3025,24.221111,"891613875",99,51,296,4069,183,12,171,141,44,151,43,1880,261,66,42,757,220,646,287
"38",120.98,23.83,"2417368599",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"39",0,0,"1830538761",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",0,0,"1830549080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",0,0,"1830538723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",0,0,"1830549068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",121.2475,24.255556,"891623446",122,51,287,4249,208,32,176,166,64,176,63,2255,309,92,36,872,306,700,409
"44",121.261944,24.134167,"891623464",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"45",120.814722,23.110833,"891623449",143,51,326,3489,212,57,155,185,110,185,92,2500,492,49,73,1335,159,1335,177
"46",121.443333,24.361667,"891634089",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"47",121.300556,24.175278,"891665862",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
