"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"2",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"3",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"4",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"5",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"7",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"8",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"9",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"10",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"11",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"12",83,52,328,3612,159,0,159,120,33,128,33,3031,468,77,57,1302,261,1300,334
"13",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"14",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"15",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"16",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"17",105,55,340,3617,180,17,163,150,72,150,54,3308,589,72,69,1642,217,1642,272
"18",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"19",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"20",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"21",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"22",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"23",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"24",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"25",97,55,342,3566,172,10,162,141,64,141,47,3419,640,67,75,1798,203,1798,251
"26",83,47,285,4067,166,-1,167,119,29,136,27,2659,356,100,41,1008,314,968,409
"27",100,56,341,3603,175,12,163,145,67,145,49,3166,534,73,63,1476,222,1476,273
"28",122,48,273,4296,208,34,174,144,64,178,63,2712,394,140,33,1072,438,665,543
"29",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"30",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"31",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"32",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"33",88,48,284,4102,171,4,168,131,34,141,32,2354,315,87,41,905,277,859,367
"34",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"35",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"36",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"37",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"38",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"39",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"40",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"41",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"42",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"43",57,52,355,3163,124,-21,146,96,28,96,13,3139,562,70,67,1572,227,1572,248
"44",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"45",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"46",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"47",77,48,287,4029,160,-6,165,113,24,130,22,2585,346,96,42,986,302,955,395
"48",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"49",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"50",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"51",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"52",88,52,314,3881,169,2,167,123,35,137,34,2293,357,51,58,1014,173,961,245
"53",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"54",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"55",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"56",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"57",85,53,328,3676,163,1,162,123,34,131,34,2957,445,76,56,1267,260,1232,340
"58",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"59",106,55,338,3633,181,18,164,151,72,151,54,2768,489,66,64,1322,203,1322,244
"60",232,49,273,4420,312,132,181,285,190,285,167,2024,401,22,82,1114,78,1114,112
"61",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"62",60,47,296,3854,141,-19,160,101,10,111,8,2537,338,117,36,954,361,783,428
"63",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"64",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
