"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",95,81,232,9038,270,-79,350,71,-29,217,-29,925,82,63,7,242,196,241,196
"2",65,64,231,7291,214,-62,275,83,-29,166,-29,836,104,43,27,295,145,218,145
"3",56,71,241,7591,217,-77,293,159,-20,163,-43,664,80,33,27,230,105,222,113
"4",63,64,236,7014,211,-60,271,161,-11,161,-29,635,76,34,25,216,104,216,112
"5",75,54,231,6258,202,-33,235,164,-7,164,-7,832,91,41,23,259,147,259,147
"6",56,71,241,7591,217,-77,293,159,-20,163,-43,664,80,33,27,230,105,222,113
"7",59,64,232,7235,208,-66,273,77,-34,160,-34,965,117,52,26,340,174,241,174
"8",111,75,308,5844,253,10,243,43,198,198,35,2180,338,54,55,981,168,168,912
"9",92,80,228,9150,265,-85,350,211,-35,213,-35,782,77,46,14,229,145,223,145
"10",64,64,231,7293,213,-63,276,82,-30,165,-30,834,104,44,27,296,147,213,147
"11",64,64,231,7293,213,-63,276,82,-30,165,-30,834,104,44,27,296,147,213,147
"12",70,57,218,7012,210,-50,260,43,41,167,-21,805,98,46,24,278,145,226,154
"13",68,57,218,7000,208,-52,259,41,39,165,-23,873,106,50,25,300,155,246,167
"14",64,64,231,7293,213,-63,276,82,-30,165,-30,834,104,44,27,296,147,213,147
"15",72,55,215,6976,210,-47,257,45,43,168,-19,785,96,44,25,270,137,226,148
"16",44,66,192,9765,229,-117,345,168,-50,179,-87,656,85,31,32,245,94,242,105
"17",93,81,233,8992,268,-80,348,214,-30,214,-30,1202,107,82,7,317,255,317,255
"18",79,81,229,9178,256,-99,355,55,-47,202,-47,1436,136,102,8,402,311,358,311
"19",96,81,232,9031,271,-78,349,217,-28,217,-28,933,83,63,7,244,196,244,196
"20",104,80,231,9009,278,-69,347,79,-20,225,-20,1154,103,80,6,303,249,302,249
"21",94,81,232,9030,269,-80,349,69,-30,215,-30,1472,134,102,6,393,317,382,317
"22",57,71,241,7583,218,-76,293,161,-19,164,-42,636,76,31,28,220,101,212,106
"23",71,56,231,6442,204,-40,244,49,42,162,-13,926,102,48,23,301,153,254,185
