"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",99,66,286,5875,226,-6,233,176,80,181,21,832,83,54,12,245,175,231,180
"2",174,10,142,2078,209,141,67,167,191,204,148,400,69,1,79,207,4,24,167
"3",66,53,205,7010,208,-52,260,166,-8,166,-25,570,70,30,27,196,90,196,101
"4",78,24,121,6131,186,-12,198,171,11,171,2,479,52,28,21,152,86,152,95
"5",78,24,121,6133,186,-12,198,171,11,171,2,479,52,28,21,152,86,152,95
"6",75,16,84,6063,177,-11,189,61,71,168,0,544,61,29,25,176,93,157,114
"7",62,58,212,7276,211,-63,274,165,-14,165,-33,534,71,26,32,203,80,203,88
"8",61,59,214,7304,211,-65,276,164,-15,164,-34,566,74,28,32,214,86,214,94
"9",78,24,123,6130,186,-12,198,170,11,170,1,492,53,29,20,157,89,157,98
"10",68,67,236,7490,221,-63,284,85,-4,172,-29,786,94,41,26,270,137,212,139
"11",32,97,234,11206,235,-179,414,179,-117,179,-124,480,81,13,59,230,40,230,46
"12",28,97,234,11176,231,-182,413,174,-120,174,-128,439,75,11,62,215,33,215,37
"13",88,63,369,3546,177,6,171,79,45,138,37,751,73,48,13,208,156,164,170
"14",62,58,212,7276,211,-63,274,165,-14,165,-33,534,71,26,32,203,80,203,88
"15",63,56,206,7240,210,-61,271,166,-13,166,-31,536,72,27,33,206,81,206,90
"16",183,10,142,2078,217,150,68,162,199,213,157,464,80,1,77,230,5,30,186
"17",157,10,140,2097,191,124,68,149,174,187,130,407,70,1,79,210,4,24,169
"18",94,66,275,6223,226,-14,241,176,13,181,13,624,69,37,19,201,120,198,120
"19",10,80,183,12650,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"20",10,80,183,12647,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"21",10,80,183,12647,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"22",10,80,183,12647,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"23",11,80,182,12658,232,-206,439,165,-99,179,-165,448,72,13,53,214,40,202,63
"24",11,80,182,12656,232,-206,439,165,-99,178,-165,448,72,13,53,214,40,202,63
"25",10,80,182,12647,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"26",65,42,172,6823,196,-47,243,165,-8,165,-23,579,71,29,27,199,95,199,100
"27",29,109,284,9178,212,-171,383,71,-105,148,-105,848,155,30,54,437,96,189,96
"28",61,57,209,7297,210,-64,274,164,-15,164,-34,576,76,29,32,222,88,222,99
"29",68,67,236,7498,222,-63,285,85,40,172,-29,801,96,42,27,276,137,217,142
"30",75,50,212,6444,203,-34,236,53,95,166,-9,888,100,48,23,292,152,237,188
"31",66,65,243,6916,215,-54,269,163,-6,163,-24,562,69,29,26,197,91,197,97
"32",65,53,203,6997,206,-53,259,165,-9,165,-25,583,73,29,29,205,91,205,99
"33",75,50,212,6444,203,-34,236,53,95,166,-9,888,100,48,23,292,152,237,188
"34",65,53,203,6997,206,-53,259,165,-9,165,-25,583,73,29,29,205,91,205,99
"35",65,64,230,7230,216,-61,277,166,-10,166,-30,578,74,29,28,204,91,203,97
"36",73,16,87,6091,176,-14,190,58,69,167,-2,553,62,29,26,179,93,160,115
"37",75,51,214,6472,204,-34,238,53,96,166,-10,800,88,44,22,262,138,210,172
"38",10,80,183,12646,232,-207,439,164,-100,177,-166,454,74,13,54,216,40,208,65
"39",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"40",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"41",10,80,182,12647,232,-207,439,164,-100,178,-166,444,73,13,54,213,39,205,62
"42",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"43",95,68,280,6164,226,-16,242,176,77,181,13,635,63,41,14,184,128,178,140
"44",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"45",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"46",83,65,368,3708,175,-3,177,74,135,135,30,547,55,34,14,155,117,117,123
"47",62,67,238,7445,217,-66,283,78,-8,167,-33,862,103,40,30,301,134,255,137
"48",105,70,315,5339,227,5,222,175,85,181,35,754,73,51,11,211,164,201,165
"49",70,45,184,6791,203,-41,244,168,-2,168,-17,544,62,29,25,184,88,184,100
"50",62,58,212,7276,211,-63,274,165,-14,165,-33,534,71,26,32,203,80,203,88
"51",73,16,87,6091,176,-14,190,58,69,167,-2,553,62,29,26,179,93,160,115
"52",11,79,181,12634,232,-206,438,165,-98,178,-165,452,73,13,54,217,39,206,62
"53",127,32,131,7365,254,13,241,65,139,235,31,422,52,26,20,148,80,97,113
"54",11,79,181,12634,232,-206,438,165,-98,178,-165,452,73,13,54,217,39,206,62
"55",11,81,183,12690,233,-207,440,165,-99,179,-165,437,73,13,54,211,39,202,62
"56",104,70,283,6346,239,-8,248,164,87,192,21,661,66,44,13,188,135,181,168
"57",114,35,144,7395,244,-1,245,51,75,223,18,598,74,35,20,208,113,142,158
"58",11,80,182,12674,233,-206,439,165,-99,179,-165,445,71,13,53,211,40,199,63
"59",134,86,292,7389,278,-15,294,31,155,232,31,1794,190,97,19,562,328,393,562
