"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",-36.510429,-54.282025,"2244207333",11,18,251,1753,46,-24,70,11,19,36,-12,1398,156,76,20,449,233,352,362
"2",8.112299,61.179149,"2247875256",7,57,219,7080,151,-109,260,71,31,106,-84,544,62,22,28,183,78,161,135
"3",20.136938,42.674606,"2273209015",13,87,308,6787,163,-119,282,-55,108,108,-77,1547,195,91,22,529,274,274,461
"4",-53.540211,69.247221,"2397475668",-39,37,130,8135,101,-181,282,41,-106,71,-154,369,58,15,44,153,47,121,49
"5",10.123932,61.452782,"2252361551",16,61,226,7259,166,-102,268,117,-74,119,-75,666,88,28,37,261,97,249,123
"6",15.044814,63.644118,"2272971148",23,61,212,7731,181,-106,287,133,-50,133,-76,631,100,30,37,267,91,267,100
"7",14.175173,62.76863,"2273016473",24,63,224,7567,180,-103,282,128,-47,131,-72,641,91,29,37,255,93,252,95
"8",14.225002,62.75607,"2273016917",26,63,224,7585,181,-102,283,130,-72,132,-72,636,91,28,37,255,92,251,92
"9",-135.206005,57.985833,"2273246488",20,49,223,6177,135,-84,219,43,78,105,-59,2584,428,96,42,1176,335,516,683
"10",7.787082,59.758818,"2273479258",13,61,239,6800,156,-100,256,30,-14,109,-72,983,114,42,26,332,149,249,200
"11",15.031779,67.320684,"2273486606",47,34,165,6045,162,-46,207,66,99,136,-27,1267,168,62,31,484,189,270,330
"12",16.50913,68.676796,"2273496670",35,43,183,6725,163,-72,235,55,96,133,-48,860,113,40,31,306,120,184,248
"13",12.797337,64.143734,"2273519321",23,57,217,7075,167,-95,262,43,44,122,-67,815,88,40,23,263,125,212,202
"14",19.102612,69.718629,"2273521517",30,34,162,6098,142,-67,209,49,83,120,-46,1109,143,54,27,398,178,245,298
"15",10.110997,59.81629,"2273522857",40,66,240,7213,191,-84,275,58,-28,142,-52,974,117,50,28,339,164,270,168
"16",19.098911,69.717499,"2273546441",34,34,162,6091,146,-63,209,53,86,124,-42,1033,133,50,27,370,164,228,279
"17",9.630326,62.295913,"2273546920",-6,59,229,6961,137,-120,258,92,-30,92,-93,561,81,24,36,223,80,222,122
