"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"2",137,44,252,4439,224,49,175,183,77,195,76,3569,482,184,30,1340,560,1023,658
"3",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"4",105,44,261,4246,189,21,168,150,49,161,47,3413,442,178,29,1248,538,993,640
"5",159,42,237,4583,247,70,177,206,97,219,96,3239,429,152,35,1246,467,1054,532
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"9",76,54,348,3419,149,-7,156,119,45,119,29,3075,504,71,63,1434,223,1434,259
"10",115,56,336,3675,191,26,165,161,81,161,63,3036,542,66,68,1500,199,1500,248
"11",132,44,253,4415,218,45,174,178,73,190,71,3454,461,180,30,1290,547,996,646
"12",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"13",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"14",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"15",209,30,177,4823,293,122,171,235,270,273,142,3285,461,156,32,1303,543,632,739
"16",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"17",92,44,267,4169,173,8,165,129,57,146,34,2674,406,88,47,1155,281,1009,458
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",132,41,243,4410,217,46,171,154,111,189,71,3818,495,218,28,1417,666,1011,753
"20",132,41,243,4410,217,46,171,154,111,189,71,3818,495,218,28,1417,666,1011,753
"21",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",77,47,283,4056,159,-6,165,113,24,130,22,2425,336,97,38,934,311,832,417
"24",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"25",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"26",52,47,295,3879,132,-28,160,93,2,103,-1,2583,329,107,35,976,339,867,450
"27",84,48,285,4074,167,0,167,120,30,137,28,2544,341,95,42,967,299,941,392
"28",132,44,253,4415,218,45,174,178,73,190,71,3454,461,180,30,1290,547,996,646
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",217,30,168,5044,303,127,176,271,150,284,146,2470,316,135,29,824,413,796,467
"31",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"32",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"33",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
