"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",119,50,315,3636,193,35,158,156,68,164,68,3299,511,88,57,1437,292,1432,292
"2",119,50,315,3636,193,35,158,156,68,164,68,3299,511,88,57,1437,292,1432,292
"3",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"4",216,42,237,4652,297,119,178,255,211,273,149,1988,384,22,78,1066,68,1016,243
"5",113,48,279,4226,199,26,173,135,56,168,55,2351,311,119,32,889,377,661,461
"6",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"7",123,49,279,4282,209,34,175,161,65,178,63,2048,319,76,44,840,246,747,315
"8",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"9",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"10",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"11",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"12",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"13",94,48,284,4092,178,10,168,115,75,147,38,2258,291,115,33,835,359,660,428
"14",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"15",100,48,283,4136,185,15,170,121,45,154,44,2535,340,127,32,962,399,716,486
"16",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"17",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"18",217,29,167,5042,303,127,176,258,150,284,146,2506,327,135,29,844,414,817,469
"19",100,49,290,4138,183,12,171,137,64,153,43,2135,426,43,74,1128,135,1078,243
"20",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"21",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"22",83,51,306,3917,165,-1,166,123,30,133,29,2371,369,88,41,1001,292,719,378
"23",99,50,292,4114,181,11,170,135,63,151,42,2236,458,42,77,1206,132,1172,240
"24",228,42,275,3735,297,143,154,273,172,273,172,1841,322,49,64,908,153,908,153
"25",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"26",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"27",100,48,283,4136,185,15,170,121,45,154,44,2535,340,127,32,962,399,716,486
"28",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"29",189,54,282,4581,279,89,190,230,146,246,124,1819,318,41,63,877,130,828,147
"30",59,47,293,3916,139,-22,161,100,8,110,5,2685,338,110,36,1008,348,913,457
"31",123,49,279,4282,209,34,175,161,65,178,63,2048,319,76,44,840,246,747,315
"32",166,88,305,7177,306,17,289,109,186,260,65,1235,137,76,15,390,243,310,338
"33",82,51,345,3276,150,1,149,122,52,122,36,2912,569,51,77,1603,167,1603,181
"34",123,49,279,4282,209,34,175,161,65,178,63,2048,319,76,44,840,246,747,315
"35",101,56,338,3685,178,12,166,134,67,146,49,3197,550,70,67,1524,214,1522,258
"36",94,53,308,3991,177,6,170,130,39,145,39,2287,432,51,68,1125,175,1110,242
"37",182,49,308,3682,254,94,159,219,147,226,128,2264,367,57,59,1039,193,1020,197
"38",182,49,308,3682,254,94,159,219,147,226,128,2264,367,57,59,1039,193,1020,197
"39",96,56,339,3640,172,8,164,141,62,141,45,3208,532,74,63,1478,228,1478,272
"40",96,56,339,3640,172,8,164,141,62,141,45,3208,532,74,63,1478,228,1478,272
"41",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"42",133,49,277,4353,220,42,178,172,73,189,72,2218,328,74,47,903,238,871,318
"43",111,53,306,4053,196,22,173,148,56,163,55,2292,427,53,66,1109,181,1100,244
"44",118,44,258,4326,203,32,171,163,60,174,58,3257,424,163,31,1209,493,983,589
"45",115,45,261,4325,199,28,171,153,78,171,55,2603,353,99,38,1021,322,883,483
"46",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"47",201,48,299,3758,273,113,161,246,146,246,146,2072,360,48,64,1007,164,1007,164
"48",92,52,342,3324,161,10,151,133,61,133,45,2813,556,49,79,1577,159,1577,173
"49",182,49,308,3682,254,94,159,219,147,226,128,2264,367,57,59,1039,193,1020,197
"50",122,75,243,8034,271,-37,308,189,42,232,10,2040,333,51,51,911,177,765,189
"51",108,51,294,4123,193,20,173,150,52,161,51,1816,249,60,44,732,200,647,264
"52",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"53",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"54",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"55",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"56",109,53,307,4047,193,19,173,145,53,160,53,2384,445,56,66,1148,194,1148,263
"57",96,51,300,4025,180,10,170,138,42,148,41,2225,316,63,49,932,209,828,285
"58",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"59",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"60",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"61",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"62",71,52,313,3848,153,-12,165,111,20,121,19,2642,381,79,49,1069,265,1013,357
"63",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"64",186,41,223,4836,277,93,183,237,121,249,119,2214,276,123,25,778,369,613,453
"65",94,50,292,4090,176,6,169,130,58,146,37,2189,437,44,74,1155,137,1115,251
"66",65,50,312,3717,143,-16,159,103,15,113,14,2764,409,93,46,1162,307,956,383
"67",135,49,276,4365,222,44,178,174,75,191,74,2156,326,74,46,882,238,832,314
"68",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"69",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"70",124,51,287,4257,210,33,176,167,65,178,65,2128,288,85,37,825,285,687,376
"71",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"72",122,50,333,3377,190,39,151,163,90,163,74,2917,610,50,82,1691,163,1691,182
"73",86,51,303,3986,169,0,169,127,32,137,31,2153,303,80,40,861,268,697,352
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
