"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",89,52,309,3965,172,2,170,125,35,140,34,2191,404,51,65,1051,173,1048,239
"2",136,44,252,4463,221,47,174,174,97,193,73,2373,293,101,33,855,324,690,495
"3",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"4",125,42,253,4224,208,42,167,146,106,181,67,4072,593,205,37,1748,615,988,777
"5",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"6",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"7",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"8",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"9",62,52,316,3802,143,-21,164,102,11,111,10,2629,365,82,47,1064,274,984,368
"10",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"11",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"12",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"13",80,48,289,4045,163,-3,166,123,27,133,25,2671,341,103,38,1018,329,923,439
"14",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"15",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"16",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"17",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"18",38,48,304,3782,117,-41,158,72,-11,88,-13,2626,350,98,40,1001,320,929,437
"19",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"20",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"21",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"22",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"23",83,52,315,3860,164,-2,167,118,31,132,30,2365,392,52,61,1084,176,1043,246
"24",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"25",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"26",119,44,256,4329,204,33,171,164,61,175,59,3480,459,182,29,1288,554,1005,652
"27",116,53,337,3485,187,30,157,159,83,159,66,3034,545,73,65,1483,230,1483,267
"28",137,43,254,4319,222,51,171,182,92,194,78,3004,396,133,37,1144,434,968,483
