"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",176,29,172,4768,257,91,166,227,113,239,110,3546,415,213,23,1193,651,1006,738
"2",220,35,197,4932,303,125,178,261,215,282,149,1615,294,28,65,827,84,682,266
"3",212,30,169,5069,298,121,177,239,275,279,141,2986,375,161,23,1045,560,633,709
"4",216,42,216,5321,306,110,196,260,171,284,141,1195,181,29,53,523,98,423,191
"5",109,50,319,3592,183,26,157,154,59,154,59,3170,511,79,60,1433,263,1433,263
"6",156,69,228,8183,309,6,304,252,49,272,45,1721,243,52,45,721,172,549,210
"7",166,46,180,7144,291,37,254,213,72,267,67,1936,259,58,41,711,184,613,227
"8",132,64,208,8519,281,-25,306,252,15,252,15,1400,272,38,64,742,124,742,124
"9",123,83,239,9514,289,-57,346,252,-12,252,-12,1454,336,34,78,900,104,900,104
"10",105,55,340,3617,180,17,163,150,72,150,54,3308,589,72,69,1642,217,1642,272
"11",131,83,392,4454,239,27,212,175,73,191,67,626,59,41,11,175,133,172,136
"12",98,83,382,4484,220,4,217,85,163,163,37,728,75,48,15,221,145,145,191
"13",220,35,197,4932,303,125,178,261,215,282,149,1615,294,28,65,827,84,682,266
"14",220,35,197,4932,303,125,178,261,215,282,149,1615,294,28,65,827,84,682,266
"15",90,85,371,4966,213,-15,229,27,160,160,22,861,87,51,17,258,165,165,248
"16",222,34,190,4994,306,128,179,264,218,286,151,1603,255,36,55,735,109,542,317
"17",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"18",128,64,224,7587,267,-17,284,218,28,235,24,2047,316,44,57,914,148,817,178
"19",117,64,225,7578,257,-27,284,207,18,225,15,2081,326,44,56,936,150,818,181
"20",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"21",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"22",71,52,313,3871,153,-13,166,106,19,121,18,2243,380,60,59,1009,202,1008,273
"23",130,80,423,3882,218,29,189,180,102,180,73,1352,217,46,50,605,146,605,181
"24",184,59,369,3575,258,98,160,230,157,230,131,1189,187,39,49,523,130,523,149
"25",189,53,351,3439,259,108,151,234,163,234,138,1168,159,43,41,473,142,473,170
"26",118,48,275,4280,204,30,174,162,60,173,59,2332,316,88,41,886,274,878,357
"27",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"28",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"29",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"30",160,54,201,7478,294,24,271,210,62,266,57,2104,275,69,39,772,213,630,262
"31",102,68,222,8349,259,-48,307,222,-5,222,-10,1774,243,60,43,719,192,719,216
"32",104,66,216,8375,261,-44,305,224,-3,224,-9,1394,209,51,49,597,159,597,164
"33",147,97,407,5097,261,22,239,212,164,212,73,820,107,51,21,281,163,279,192
"34",141,98,408,5076,256,17,239,206,158,207,68,930,134,53,28,354,176,340,197
"35",145,97,408,5077,259,20,239,210,162,210,71,942,139,52,30,368,175,351,191
"36",145,97,408,5077,259,20,239,210,162,210,71,942,139,52,30,368,175,351,191
"37",139,97,409,5056,253,15,238,204,156,204,66,968,139,54,28,368,180,351,204
