"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"2",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"3",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"4",108,48,279,4208,194,22,172,152,52,163,50,2816,375,128,34,1052,402,844,507
"5",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"6",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"7",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"8",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"9",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"10",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"11",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"12",241,33,231,3719,302,160,142,285,207,285,186,1623,390,13,100,1085,44,1085,53
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",69,48,292,3978,151,-13,164,111,17,121,15,2525,326,99,37,971,317,868,423
"15",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"16",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"17",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"18",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"19",63,55,355,3369,135,-20,155,105,32,105,16,2973,555,62,72,1537,192,1537,228
"20",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",69,47,293,3913,151,-11,162,110,18,120,16,2326,302,104,37,867,322,746,383
"23",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"24",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"25",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"26",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"27",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"28",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"29",177,54,291,4450,266,79,187,217,136,233,114,1945,355,43,65,957,142,892,153
"30",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"31",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"32",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"33",56,54,353,3325,128,-25,152,98,26,98,10,2838,501,66,67,1392,210,1392,234
"34",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"35",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"36",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"37",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"38",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"39",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"40",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
"41",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"42",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"43",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"44",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"45",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"46",65,47,286,3982,146,-16,162,101,13,117,11,2445,342,97,38,951,313,850,426
"47",107,55,336,3620,182,20,163,144,73,152,56,2507,385,68,56,1087,214,1072,248
"48",106,54,336,3608,181,19,162,150,72,150,55,2352,388,59,62,1086,187,1086,213
"49",106,54,336,3608,181,19,162,150,72,150,55,2352,388,59,62,1086,187,1086,213
"50",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"51",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"52",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"53",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"54",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"55",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"56",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"57",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"58",55,47,292,3907,135,-25,160,96,4,106,1,2528,316,105,35,933,333,830,444
"59",79,53,318,3819,160,-6,166,118,27,128,27,2422,353,67,50,1033,227,895,310
"60",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"61",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"62",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"63",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"64",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"65",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"66",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"67",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"68",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"69",90,53,313,3890,172,4,168,130,37,140,37,2326,341,59,53,1002,199,876,280
"70",81,53,319,3825,162,-4,166,116,29,130,29,2590,408,67,55,1113,227,1078,310
"71",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"72",77,52,313,3844,158,-7,165,117,25,127,25,2246,330,62,52,922,208,913,277
"73",223,40,226,4619,309,131,178,245,207,282,158,3294,533,150,44,1551,470,776,572
"74",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"75",127,53,299,4199,213,35,178,165,89,180,68,2242,416,54,65,1092,183,1054,258
"76",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"77",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"78",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"79",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"80",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"81",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"82",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"83",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"84",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"85",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"86",55,47,292,3907,135,-25,160,96,4,106,1,2528,316,105,35,933,333,830,444
"87",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
"88",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"89",123,52,332,3482,194,38,156,165,90,165,73,2671,508,47,78,1468,153,1468,167
"90",115,53,308,4008,198,26,172,152,60,166,60,2306,417,54,63,1086,184,1051,184
"91",115,53,308,4008,198,26,172,152,60,166,60,2306,417,54,63,1086,184,1051,184
"92",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"93",115,53,308,4008,198,26,172,152,60,166,60,2306,417,54,63,1086,184,1051,184
"94",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"95",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"96",157,49,310,3610,228,72,156,200,104,200,104,2609,436,60,63,1228,202,1228,202
"97",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
