"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",46,48,303,3829,126,-34,160,81,-3,96,-6,2456,363,82,46,1014,266,959,368
"2",57,51,318,3729,137,-24,161,96,8,105,7,2630,369,84,46,1084,280,964,364
"3",60,47,297,3842,140,-20,160,100,10,110,8,2463,322,108,38,931,336,807,398
"4",82,52,315,3870,163,-3,167,117,29,131,29,2290,364,67,53,978,229,939,297
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"7",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"12",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"13",66,48,299,3861,146,-15,162,106,15,116,13,2538,341,94,42,1006,296,902,365
"14",232,44,244,4552,318,138,180,254,166,289,166,2172,346,81,47,958,259,681,259
"15",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"16",79,53,318,3819,160,-6,166,118,27,128,27,2422,353,67,50,1033,227,895,310
"17",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"18",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"19",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"20",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
