"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",-123.2,49.3,"1988078617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",121.22,24.11,"1085974029",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"3",121.250833,24.118611,"622292545",84,52,310,3931,167,-2,168,120,31,135,30,2219,402,51,64,1052,173,1048,241
"4",120.82,23.52,"1085964735",112,56,336,3693,188,22,166,157,78,157,60,3569,629,69,69,1755,213,1755,276
"5",120.91,23.47,"1085983203",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"6",121.63,24.5,"1086003680",135,42,250,4272,218,51,168,156,116,191,76,4123,611,204,38,1790,614,981,792
"7",121.25,23.56,"1086010371",107,50,319,3579,181,25,156,144,57,152,57,3264,501,88,56,1427,292,1404,292
"8",121.4,24.57,"1086009574",127,44,255,4381,213,40,173,173,69,184,67,3446,464,181,30,1292,550,983,649
"9",121.43,24.73,"1086007881",128,41,239,4418,213,43,170,151,70,187,68,3684,476,211,27,1324,648,944,745
"10",121.285804,24.134126,"622292548",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"11",121.285804,24.134126,"622292549",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"12",121.29,24.99,"2417651217",216,33,181,5107,305,123,182,270,148,283,145,2165,251,115,24,725,351,608,452
"13",121.29,24.99,"2417654773",216,33,181,5107,305,123,182,270,148,283,145,2165,251,115,24,725,351,608,452
"14",121.393611,24.57,"891594879",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"15",121.393611,24.57,"891594891",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"16",120.74,22.61,"1086012263",149,39,300,3045,205,77,129,185,104,185,104,2212,536,23,98,1487,77,1487,77
"17",121.393611,24.57,"891595252",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"18",121.237728,24.047174,"622292547",111,53,306,4053,196,22,173,148,56,163,55,2292,427,53,66,1109,181,1100,244
"19",121.47,27.12,"1086011116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",121.23,24.11,"1085997706",94,53,308,3991,177,6,170,130,39,145,39,2287,432,51,68,1125,175,1110,242
"21",121.03,23.5,"1086027857",96,54,339,3551,170,10,160,140,63,140,46,2313,389,57,63,1088,181,1088,205
"22",121,23.5,"1086030031",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"23",121.05,23.51,"1086030711",82,54,343,3477,156,-2,157,125,50,125,34,2650,468,60,66,1294,193,1294,214
"24",121.083333,24.25,"574721640",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"25",121.083333,24.25,"575352633",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"26",121.083333,24.25,"574738240",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"27",120.915833,23.471389,"891597990",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"28",120.892778,23.470556,"891598116",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"29",120.892778,23.470556,"891598128",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"30",120.892778,23.470556,"891598172",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"31",120.892778,23.470556,"891598266",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
