"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",120.90344,23.454819,"2238898326",135,55,330,3743,211,44,167,180,99,180,81,2716,553,47,81,1521,144,1521,175
"2",120.903742,23.455379,"2238952825",135,55,330,3743,211,44,167,180,99,180,81,2716,553,47,81,1521,144,1521,175
"3",120.903259,23.454708,"2242844534",135,55,330,3743,211,44,167,180,99,180,81,2716,553,47,81,1521,144,1521,175
"4",121.283433,24.146763,"2429202128",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"5",120.885628,23.482866,"2252014925",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"6",120.887358,23.479381,"2273320390",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"7",121.27177,24.134815,"2283198229",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"8",121.271551,24.134105,"2283198707",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"9",121.021105,23.293469,"2465109286",60,51,353,3181,128,-18,146,100,31,100,16,3014,532,70,66,1489,229,1489,246
"10",120.890298,23.487378,"2294604260",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"11",121.296822,24.166044,"2311328429",87,51,305,3966,170,1,168,128,33,138,32,2458,363,82,43,1023,274,815,368
"12",121.272873,24.122231,"2311342022",71,52,315,3839,152,-13,165,106,19,120,18,2411,396,61,57,1072,207,1039,285
"13",121.287863,24.138583,"2311387667",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"14",121.271751,24.429768,"2331912244",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"15",121.272031,24.38875,"2350338254",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"16",121.283916,24.151844,"2429222823",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"17",121.280587,24.156681,"2429371297",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"18",121.284164,24.146944,"2311420250",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"19",120.873639,23.468405,"2331876405",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"20",121.271118,24.132883,"2331915793",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"21",121.271103,24.133144,"2331919005",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"22",121.283906,24.143726,"2423099820",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"23",121.287526,24.172107,"2423115910",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"24",121.284632,24.144634,"2423115963",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"25",120.930011,23.464534,"2423145588",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"26",121.280981,24.135401,"2429251746",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"27",121.228904,24.466986,"2451755273",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"28",120.899118,23.476675,"2460059655",94,55,343,3556,169,7,161,138,61,138,44,3411,616,72,71,1723,219,1723,270
"29",121.286836,24.161149,"1901027407",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"30",121.286836,24.161149,"2429186015",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"31",121.290352,24.135414,"1850965963",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"32",121.287293,24.139753,"1850969023",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"33",120.912017,23.471083,"1883470610",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"34",121.286837,24.161156,"1901028194",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"35",121.272308,24.123207,"1901028484",71,52,315,3839,152,-13,165,106,19,120,18,2411,396,61,57,1072,207,1039,285
"36",121.287515,24.1625,"2429187218",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"37",121.284205,24.146239,"2596065240",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"38",121.28886,24.165394,"2596275242",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"39",121.287177,24.173308,"2596293250",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"40",121.025298,24.278965,"1890669022",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"41",121.245003,24.469444,"1890669475",57,46,289,3929,137,-23,161,98,6,108,3,2594,327,112,34,946,354,802,473
"42",121.287156,24.162191,"1901074022",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"43",121.286422,24.161505,"1901074309",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"44",121.286422,24.161505,"1931477676",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"45",120.91227,23.471138,"1931478074",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"46",121.248863,24.11886,"2429188596",85,52,310,3936,167,-1,169,120,31,135,31,2200,404,51,65,1053,171,1051,238
"47",121.271693,24.13643,"1933593093",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"48",120.88715,23.481082,"1839278372",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"49",120.887177,23.481067,"1898847191",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"50",120.880867,23.467712,"1901091121",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"51",121.271942,24.139836,"1805411051",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"52",120.91,23.47,"1086047151",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"53",120.89,23.48,"1086047160",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"54",121.296891,24.431919,"2597828963",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"55",121.296891,24.431919,"2597846968",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"56",121.424065,24.381942,"1899761732",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"57",121.272057,24.04454,"1901029961",76,53,318,3824,157,-9,165,111,24,125,23,2286,404,51,64,1087,175,1056,236
"58",121.279642,24.045209,"1901029964",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"59",121.280244,24.034113,"1901029965",83,52,315,3860,164,-2,167,118,31,132,30,2365,392,52,61,1084,176,1043,246
"60",121.250806,24.118472,"574814372",84,52,310,3931,167,-2,168,120,31,135,30,2219,402,51,64,1052,173,1048,241
"61",121.281557,24.181507,"1899800813",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"62",121.283667,24.14596,"1901049342",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"63",121.271834,24.14026,"1901029972",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"64",121.273541,24.388808,"2579227118",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"65",121.205947,23.769386,"2563565724",89,53,327,3702,168,4,163,136,38,136,38,2928,482,68,62,1333,234,1333,309
"66",121.26,24.12,"1085968358",78,52,313,3888,160,-7,167,113,26,128,25,2290,399,55,61,1058,185,1045,255
"67",120.75,22.62,"1085988126",91,39,321,2807,145,24,121,125,52,125,52,2380,518,33,87,1459,109,1459,109
"68",120.87,23.47,"1086025191",91,55,345,3536,165,5,161,135,59,135,42,3523,642,73,71,1797,220,1797,275
"69",121.21,24.11,"1085985034",97,53,307,4013,180,9,171,133,42,148,41,2341,437,54,67,1140,184,1136,253
"70",121.33,24.19,"1085993236",99,51,298,4041,182,12,170,135,44,150,43,2187,326,62,51,917,204,843,273
"71",121.29,24.18,"1085995859",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"72",121.233333,23.75,"891591136",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"73",121.21,24.11,"1086002449",97,53,307,4013,180,9,171,133,42,148,41,2341,437,54,67,1140,184,1136,253
"74",121.22,24.04,"1086000999",145,53,296,4256,231,51,180,183,85,198,85,2077,369,49,63,979,167,956,167
"75",120.9,23.22,"1086005341",68,52,353,3199,135,-12,147,107,38,107,23,2998,577,57,75,1610,183,1610,205
"76",121.19,24.47,"1085989421",111,46,269,4285,196,24,172,149,54,167,52,2113,272,91,33,771,297,674,409
"77",121.28,24.15,"1086001670",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"78",121.03,24.3,"1086003604",89,49,291,4079,171,3,168,126,54,142,33,2300,405,63,58,1089,196,1002,348
"79",121.14,22.76,"2417381676",243,37,260,3520,305,164,141,284,190,284,190,1951,322,50,64,936,156,936,156
"80",121.04,24.33,"1085997005",130,48,274,4346,215,39,176,169,92,186,70,1774,287,50,54,804,157,741,273
"81",120.18,23,"2417385158",241,33,231,3719,302,160,142,285,207,285,186,1623,390,13,100,1085,44,1085,53
"82",121.528056,24.489722,"891596680",115,44,263,4203,199,31,168,136,95,170,57,3566,488,184,34,1444,564,966,658
"83",121.3,24.03,"1086030515",103,52,307,3966,185,16,170,143,48,153,48,2561,364,66,53,1088,222,1001,304
"84",121.64,24.24,"1086034555",149,44,259,4215,232,64,168,170,132,204,91,3024,439,130,41,1303,422,883,493
"85",120.95,23.56,"1086027196",118,56,333,3741,195,28,167,164,83,164,65,2961,581,55,78,1602,169,1602,203
"86",120.99,23.497222,"891596232",95,55,341,3552,169,9,161,131,62,139,45,2659,398,74,55,1146,231,1112,270
"87",121.083333,24.25,"574746767",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"88",121.283333,24.153611,"574835187",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"89",121.283333,24.153611,"574875280",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"90",121.083333,24.25,"574958977",149,51,278,4432,236,55,182,188,109,205,87,2049,347,51,59,966,167,897,278
"91",121.086111,24.492222,"891602672",111,44,262,4297,195,25,170,149,75,167,52,2656,402,91,45,1132,292,995,460
"92",121.345,24.385556,"891607520",122,48,275,4288,208,33,174,143,64,177,62,2690,370,132,32,1008,414,730,515
