"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",108,50,337,3301,175,27,148,149,77,149,61,2913,581,51,78,1626,169,1626,185
"2",60,47,297,3842,140,-20,160,100,10,110,8,2463,322,108,38,931,336,807,398
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"5",119,50,315,3636,193,35,158,156,68,164,68,3299,511,88,57,1437,292,1432,292
"6",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"7",62,48,295,3938,143,-19,163,97,11,114,9,2214,306,84,40,858,276,798,374
"8",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"9",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"10",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"11",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"12",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"13",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"14",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"15",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"16",107,50,319,3579,181,25,156,144,57,152,57,3264,501,88,56,1427,292,1404,292
"17",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"18",95,50,324,3523,168,14,155,139,46,139,46,3185,507,82,59,1419,272,1419,272
"19",157,49,310,3610,228,72,156,200,104,200,104,2609,436,60,63,1228,202,1228,202
"20",157,49,310,3610,228,72,156,200,104,200,104,2609,436,60,63,1228,202,1228,202
"21",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"22",88,47,282,4039,170,5,165,108,34,141,33,2811,428,154,37,1196,468,652,547
"23",81,55,346,3471,155,-3,158,124,49,124,33,2801,425,75,56,1200,235,1200,273
"24",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"25",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"26",110,52,302,4077,194,21,173,147,54,161,53,2091,375,51,62,986,173,948,235
"27",110,52,302,4077,194,21,173,147,54,161,53,2091,375,51,62,986,173,948,235
"28",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
