"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"2",63,53,351,3326,134,-18,152,104,33,104,17,3245,551,74,64,1547,240,1547,264
"3",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"4",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"5",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"6",59,52,318,3784,139,-24,163,93,8,108,7,2561,372,77,49,1034,259,993,349
"7",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"8",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"9",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"10",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"11",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"12",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"13",43,55,362,3254,114,-37,151,84,14,84,-2,3336,599,69,70,1673,215,1673,337
"14",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"15",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"16",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"17",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"18",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"19",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"20",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"21",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"22",65,52,352,3202,133,-14,147,105,36,105,21,3126,556,68,68,1560,222,1560,240
"23",82,51,345,3276,150,1,149,122,52,122,36,2912,569,51,77,1603,167,1603,181
"24",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"25",46,48,303,3829,126,-34,160,81,-3,96,-6,2456,363,82,46,1014,266,959,368
"26",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"27",55,51,317,3777,135,-27,162,94,5,104,4,2541,355,82,46,1016,274,933,366
"28",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"29",59,52,318,3784,139,-24,163,93,8,108,7,2561,372,77,49,1034,259,993,349
"30",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"31",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"32",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"33",77,52,313,3844,158,-7,165,117,25,127,25,2246,330,62,52,922,208,913,277
"34",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"35",51,51,321,3694,131,-29,160,90,2,99,1,2537,355,81,46,1044,271,929,353
"36",60,47,297,3842,140,-20,160,100,10,110,8,2463,322,108,38,931,336,807,398
"37",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"38",119,53,336,3501,190,32,158,154,86,161,68,2778,458,73,58,1248,231,1242,265
"39",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"40",51,51,321,3694,131,-29,160,90,2,99,1,2537,355,81,46,1044,271,929,353
"41",57,51,319,3728,137,-24,161,96,8,106,7,2571,356,79,48,1058,265,964,347
"42",111,49,291,4038,194,26,169,131,56,163,56,2498,384,104,42,1074,344,726,414
"43",61,47,289,3947,142,-20,162,102,9,112,7,2609,339,114,33,976,362,806,478
