"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",120.717636,23.49865,"2619888707",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"2",120.911903,23.470933,"2251862751",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"3",120.91323,23.47082,"2251899657",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"4",120.911971,23.470999,"2251903411",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"5",120.912553,23.471055,"2251903679",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"6",120.891275,23.478287,"2273209639",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"7",121.28727,24.429588,"2331911444",62,47,292,3933,143,-19,162,103,10,113,8,2716,340,111,37,1017,351,929,456
"8",121.410835,24.380133,"2429612141",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"9",120.910231,23.472458,"1880604268",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"10",120.910903,23.471453,"1880604360",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"11",120.9317,23.46517,"1883466775",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"12",121.280761,24.139995,"1850968202",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"13",120.912818,23.471017,"1883471852",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"14",120.913751,23.470436,"1883471904",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"15",120.94404,23.465693,"1883493575",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
"16",121.381912,24.367729,"1898787704",91,48,286,4073,175,7,168,112,37,144,35,2578,339,126,33,957,396,766,477
"17",120.920533,23.471705,"1901068117",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"18",120.922312,23.472338,"1901074219",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"19",120.92215,23.472242,"1901074228",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"20",120.907988,23.47327,"2013684733",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"21",120.73333,22.6,"1212580880",171,38,293,3135,229,98,131,209,125,209,125,2152,523,23,97,1444,77,1444,77
"22",120.73333,22.6,"1212580885",171,38,293,3135,229,98,131,209,125,209,125,2152,523,23,97,1444,77,1444,77
"23",121.36667,24.36667,"1019620006",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"24",121.36667,24.36667,"1019620027",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"25",121.4,24.38333,"1019619640",99,47,281,4123,183,14,169,120,80,153,43,2239,297,117,33,851,360,626,432
"26",121.33,24.15,"1085967986",104,51,298,4053,188,17,171,146,49,156,48,2161,334,79,41,910,261,665,343
"27",94.8653,29.9894,"1322501348",81,66,271,5985,190,-53,243,156,-2,162,-2,368,71,1,79,191,5,168,5
"28",120.9,23.46667,"1019618240",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"29",120.9,23.46667,"1019618258",105,55,340,3602,180,17,163,149,71,149,54,3198,630,59,79,1749,180,1749,221
"30",121.27,24.15,"1322527842",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
