"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",46,67,223,8150,201,-98,299,142,-57,164,-62,2234,308,86,43,914,272,886,291
"2",39,66,223,8124,193,-105,298,135,-64,157,-69,2244,313,89,42,919,281,871,300
"3",44,66,223,8136,198,-101,298,140,-60,161,-65,2192,327,83,45,950,263,868,282
"4",40,66,224,8061,192,-104,296,135,-62,156,-68,2087,288,83,37,831,261,740,293
"5",50,65,218,8191,205,-94,298,147,-59,168,-59,2106,302,99,42,880,305,827,305
"6",50,65,218,8191,205,-94,298,147,-59,168,-59,2106,302,99,42,880,305,827,305
"7",50,65,218,8191,205,-94,298,147,-59,168,-59,2106,302,99,42,880,305,827,305
"8",50,65,218,8191,205,-94,298,147,-59,168,-59,2106,302,99,42,880,305,827,305
"9",70,42,155,7691,205,-66,270,173,-39,176,-39,1005,145,33,39,411,111,347,111
"10",70,42,155,7691,205,-66,270,173,-39,176,-39,1005,145,33,39,411,111,347,111
"11",72,40,149,7585,204,-61,265,174,-35,177,-35,959,138,31,39,389,104,325,104
"12",71,37,144,7485,201,-58,259,173,-34,175,-34,955,135,32,37,378,108,311,108
"13",49,63,214,8159,203,-92,295,146,-59,167,-59,2396,302,132,31,882,415,866,415
"14",68,44,157,7844,205,-72,278,172,-44,176,-44,965,138,33,38,393,112,335,112
"15",71,37,144,7485,201,-58,259,173,-34,175,-34,955,135,32,37,378,108,311,108
"16",44,63,214,8140,197,-97,295,140,-64,162,-64,2363,309,129,33,900,405,858,405
"17",44,63,214,8140,197,-97,295,140,-64,162,-64,2363,309,129,33,900,405,858,405
"18",71,39,148,7560,203,-60,263,173,-35,176,-35,959,138,32,39,388,107,323,107
"19",69,43,157,7765,206,-68,274,173,-41,177,-41,992,146,31,41,414,105,350,105
"20",69,43,158,7773,206,-68,274,173,-40,177,-40,980,144,31,41,408,104,344,104
"21",25,67,226,8011,177,-118,295,120,-77,140,-82,2185,300,82,39,874,258,802,292
"22",51,70,206,9368,224,-116,340,161,-79,182,-79,790,113,36,37,337,119,300,119
"23",38,66,223,8068,190,-106,296,133,-65,154,-70,2179,293,87,39,863,269,817,291
"24",44,66,221,8105,197,-100,297,139,-59,161,-64,2211,315,88,44,934,270,895,281
"25",47,65,220,8105,201,-96,296,143,-55,164,-61,2164,282,95,38,842,289,829,299
"26",53,66,221,8118,207,-91,297,149,-50,170,-55,2013,249,92,32,728,282,700,299
"27",39,65,221,8062,192,-104,295,135,-63,155,-69,2211,317,89,42,931,273,864,290
"28",38,70,229,8256,194,-111,305,137,-67,156,-72,1658,227,54,45,675,184,613,203
"29",72,39,136,8543,221,-67,288,-38,81,195,-42,1568,169,73,25,506,245,337,441
"30",67,39,136,8537,215,-73,288,-43,75,190,-47,1578,169,74,24,506,247,343,443
"31",79,39,135,8552,228,-61,288,-31,88,202,-35,1490,163,68,25,488,226,322,427
"32",17,69,240,7566,160,-126,285,108,-80,125,-83,1973,313,43,55,903,149,788,183
"33",141,56,315,4096,225,47,178,179,103,192,83,3542,652,67,71,1792,206,1738,247
"34",-18,72,214,9203,158,-181,339,90,-141,115,-141,1583,228,78,34,644,253,613,253
"35",-18,72,214,9203,158,-181,339,90,-141,115,-141,1583,228,78,34,644,253,613,253
"36",34,65,220,8087,187,-109,295,129,-68,150,-74,2265,304,108,36,887,334,837,339
"37",45,64,218,8120,198,-98,296,141,-64,162,-64,2244,309,108,38,907,327,862,327
"38",47,66,220,8253,203,-99,302,144,-63,166,-63,1680,235,78,41,681,244,641,244
"39",80,67,220,8286,236,-67,303,177,-25,199,-31,1952,257,79,41,768,249,764,265
"40",47,70,229,8293,204,-102,306,147,-59,166,-64,1633,233,49,49,694,165,629,184
"41",69,42,144,8734,223,-72,295,58,27,194,-51,1340,160,70,32,477,218,367,271
"42",57,63,191,9268,228,-101,329,165,-39,188,-70,1335,194,63,36,532,193,529,229
"43",70,63,190,9305,241,-88,329,179,29,202,-57,1020,136,51,33,382,155,370,183
"44",102,38,136,8121,246,-31,276,206,15,220,-7,1199,150,68,25,439,207,392,242
"45",71,42,143,8735,224,-71,295,59,28,195,-50,1306,154,68,31,460,212,362,265
"46",51,64,217,8148,205,-91,296,148,-57,169,-57,2256,288,118,32,844,359,814,359
"47",50,63,214,8151,204,-91,295,147,-59,168,-59,2254,305,123,34,883,383,822,383
"48",91,37,132,8382,237,-45,283,81,142,212,-21,1289,145,67,27,428,205,337,314
"49",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"50",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"51",66,36,125,8543,213,-70,283,175,23,188,-51,1127,134,54,31,398,165,369,205
"52",62,34,122,8509,208,-74,282,170,19,183,-55,1370,160,68,30,467,208,416,260
"53",24,51,180,7972,174,-107,281,-42,29,142,-81,2706,342,144,27,993,443,717,668
"54",24,51,180,7972,174,-107,281,-42,29,142,-81,2706,342,144,27,993,443,717,668
"55",57,39,135,8612,207,-81,288,47,14,180,-61,1541,187,82,32,557,254,413,297
"56",56,40,137,8631,207,-83,290,45,13,179,-63,1554,188,82,32,562,255,420,301
"57",148,75,261,7447,285,-4,289,243,41,248,41,914,192,4,80,504,16,480,16
"58",148,75,261,7447,285,-4,289,243,41,248,41,914,192,4,80,504,16,480,16
"59",33,58,204,7911,182,-103,285,128,-51,149,-72,3176,362,194,21,1032,629,850,786
"60",61,37,139,7717,195,-70,266,163,-44,171,-44,1823,252,59,40,734,192,695,192
"61",61,39,136,8633,212,-77,289,51,114,185,-57,1486,185,76,33,551,237,375,299
"62",100,59,198,8378,255,-45,300,199,60,221,-13,1453,189,78,28,516,243,446,318
"63",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"64",62,42,142,8694,215,-79,293,119,-30,186,-58,1498,185,76,34,553,246,428,265
"65",33,58,204,7911,182,-103,285,128,-51,149,-72,3176,362,194,21,1032,629,850,786
"66",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"67",33,58,204,7911,182,-103,285,128,-51,149,-72,3176,362,194,21,1032,629,850,786
"68",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"69",33,58,204,7911,182,-103,285,128,-51,149,-72,3176,362,194,21,1032,629,850,786
"70",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"71",166,50,191,7301,295,33,263,214,70,269,65,1984,277,59,43,761,189,676,229
"72",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"73",84,57,220,7095,216,-44,259,169,-7,186,-11,3358,504,96,47,1430,346,1256,427
"74",169,65,229,7488,302,18,284,236,61,269,61,882,148,18,60,432,56,307,56
"75",169,65,229,7488,302,18,284,236,61,269,61,882,148,18,60,432,56,307,56
"76",169,65,229,7488,302,18,284,236,61,269,61,882,148,18,60,432,56,307,56
"77",168,65,228,7583,302,15,287,236,59,269,59,1241,196,30,53,560,100,405,100
"78",168,65,228,7583,302,15,287,236,59,269,59,1241,196,30,53,560,100,405,100
"79",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"80",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"81",81,68,203,9079,247,-87,334,190,-44,207,-44,1002,141,42,38,422,136,378,136
"82",56,40,137,8631,207,-83,290,45,13,179,-63,1554,188,82,32,562,255,420,301
"83",45,38,134,8574,195,-92,287,102,2,168,-73,1604,187,82,30,553,256,459,312
"84",65,35,124,8528,212,-71,283,173,22,187,-52,1216,146,60,31,434,181,401,217
"85",46,59,189,8686,204,-110,315,154,-77,167,-77,1048,141,46,33,407,160,397,160
"86",147,41,152,7925,288,16,273,48,155,263,39,2607,317,150,26,951,450,599,715
"87",68,58,188,8533,223,-87,310,175,-53,186,-53,840,116,30,39,344,103,318,103
"88",64,58,188,8527,218,-91,309,171,-58,182,-58,1025,145,36,39,426,126,382,126
"89",68,39,135,8635,218,-71,289,58,121,191,-51,1369,170,71,33,502,222,353,273
"90",3,73,245,7874,153,-143,296,96,-98,115,-102,1729,261,44,48,725,154,620,195
"91",64,57,185,8561,218,-92,310,171,-58,182,-58,786,106,34,31,308,119,268,119
"92",68,46,153,8829,225,-76,301,56,26,194,-54,1282,152,63,32,448,201,396,227
"93",59,45,151,8776,214,-84,298,167,-34,184,-62,1344,170,66,32,498,208,439,229
"94",70,46,153,8830,226,-74,301,178,27,195,-52,1088,134,53,32,401,166,371,184
"95",47,40,137,8612,198,-91,289,104,5,171,-71,1603,189,81,30,551,252,482,301
"96",58,40,137,8640,209,-81,290,48,15,182,-61,1552,187,81,32,559,253,419,304
"97",3,58,202,8003,153,-134,287,-97,12,120,-103,2314,256,124,22,752,384,589,624
"98",58,40,137,8635,209,-81,290,47,111,181,-61,1510,186,78,33,556,242,387,303
"99",3,73,245,7874,153,-143,296,96,-98,115,-102,1729,261,44,48,725,154,620,195
