"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"2",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"3",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"4",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"5",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"6",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"7",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"8",57,46,289,3929,137,-23,161,98,6,108,3,2594,327,112,34,946,354,802,473
"9",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"10",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"11",90,53,313,3890,172,4,168,130,37,140,37,2326,341,59,53,1002,199,876,280
"12",83,47,284,4010,165,1,164,103,30,135,28,2748,416,152,37,1168,462,625,541
"13",124,45,323,3169,186,47,139,162,79,162,79,2589,528,43,80,1493,145,1493,145
"14",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"15",110,53,306,4034,194,21,172,147,54,161,54,2065,377,47,65,995,161,954,219
"16",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"17",184,42,228,4807,275,91,183,234,119,247,117,2230,279,118,27,791,357,636,436
"18",76,53,324,3714,155,-7,162,114,26,123,25,2865,415,77,54,1221,259,1156,341
"19",76,53,324,3714,155,-7,162,114,26,123,25,2865,415,77,54,1221,259,1156,341
"20",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"21",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"22",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"23",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"24",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"25",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"26",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"27",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"28",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"29",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"30",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
"31",111,64,305,5093,236,26,209,53,186,186,46,1663,240,53,48,718,169,169,661
