"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"2",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"3",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"4",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"5",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"6",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"7",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
"8",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"9",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"10",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"11",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"12",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"13",85,52,310,3936,167,-1,169,120,31,135,31,2200,404,51,65,1053,171,1051,238
"14",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"15",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"16",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"17",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"18",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"19",51,51,321,3694,131,-29,160,90,2,99,1,2537,355,81,46,1044,271,929,353
"20",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"21",64,49,301,3922,145,-19,164,99,12,115,10,2582,377,84,46,1064,274,993,387
"22",55,51,354,3150,122,-22,144,95,27,95,12,3141,546,74,65,1526,243,1526,258
"23",73,48,292,3997,156,-10,165,115,21,125,19,2805,362,108,39,1060,342,980,453
"24",90,48,286,4099,173,5,168,132,35,143,33,2826,358,111,38,1070,351,980,462
"25",70,77,313,5562,180,-65,245,141,-12,142,-12,1251,254,12,84,747,36,652,36
"26",79,84,373,5029,173,-52,225,139,5,141,5,865,228,2,117,674,7,604,7
"27",98,82,361,5251,195,-33,228,159,23,163,23,765,229,2,124,666,6,520,6
"28",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"29",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
