"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",71,52,313,3871,153,-13,166,106,19,121,18,2243,380,60,59,1009,202,1008,273
"2",127,42,253,4249,211,43,167,149,108,183,69,4010,587,205,37,1733,617,947,778
"3",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"4",63,55,355,3374,135,-20,155,105,32,105,16,3082,590,63,75,1642,193,1642,233
"5",118,44,258,4326,203,32,171,163,60,174,58,3257,424,163,31,1209,493,983,589
"6",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"7",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"8",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"9",161,69,234,7832,299,2,296,261,50,266,50,1584,291,31,66,823,99,612,99
"10",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"11",67,55,353,3371,139,-16,155,109,36,109,20,2972,603,49,83,1687,151,1687,181
"12",91,50,294,4074,173,4,169,127,56,143,34,2306,446,45,73,1208,144,1147,257
"13",72,51,313,3827,153,-12,164,111,20,121,19,2310,325,73,47,946,245,851,320
"14",252,43,351,2617,309,186,123,241,235,283,210,2993,831,37,97,2137,127,377,629
"15",128,41,314,3053,187,56,132,165,85,165,85,2547,512,44,79,1451,144,1451,144
"16",137,41,238,4471,223,51,172,160,78,196,75,3694,470,209,27,1322,643,984,733
"17",134,41,240,4433,219,48,171,156,75,192,73,3901,518,228,28,1462,703,982,790
"18",121,45,264,4277,206,35,171,143,102,177,62,3000,425,166,35,1271,511,696,615
"19",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
"20",149,39,301,3056,206,77,129,186,105,186,105,2212,535,24,97,1480,80,1480,80
"21",83,55,347,3485,156,-2,159,126,51,126,34,3125,606,61,77,1687,187,1687,227
"22",77,47,283,4056,159,-6,165,113,24,130,22,2425,336,97,38,934,311,832,417
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",72,50,311,3800,152,-10,162,111,21,121,20,2725,398,92,45,1135,306,943,387
"25",94,49,289,4108,176,7,169,131,59,147,37,2239,385,62,57,1045,194,972,339
"26",72,52,312,3870,154,-12,166,112,20,122,19,2448,352,75,48,985,251,920,340
"27",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"28",65,52,354,3198,133,-14,147,105,36,105,21,3068,543,71,66,1503,227,1503,255
"29",181,66,221,7869,318,21,298,252,102,284,67,1114,165,38,44,485,136,316,146
"30",191,75,249,7561,334,34,300,255,113,292,83,1453,301,43,61,812,140,363,157
"31",118,44,258,4326,203,32,171,163,60,174,58,3257,424,163,31,1209,493,983,589
"32",168,73,232,8300,316,0,316,241,83,279,49,1564,322,35,67,880,124,453,139
"33",127,44,255,4381,213,40,173,173,69,184,67,3446,464,181,30,1292,550,983,649
"34",130,44,254,4395,216,43,173,176,71,187,69,3551,477,186,30,1327,566,1013,666
"35",63,52,315,3814,144,-20,164,102,12,112,11,2544,350,81,46,1033,271,922,365
"36",195,67,234,7371,325,39,287,263,120,289,88,1466,227,43,52,667,142,407,165
"37",181,66,221,7869,318,21,298,252,102,284,67,1114,165,38,44,485,136,316,146
"38",181,66,221,7869,318,21,298,252,102,284,67,1114,165,38,44,485,136,316,146
"39",181,66,221,7869,318,21,298,252,102,284,67,1114,165,38,44,485,136,316,146
"40",149,39,300,3045,205,77,129,185,104,185,104,2212,536,23,98,1487,77,1487,77
"41",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"42",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"43",165,75,237,8293,312,-4,316,237,79,276,46,1734,233,58,38,689,207,524,210
"44",161,72,230,8186,308,-4,312,234,78,271,45,1823,271,57,47,804,198,440,233
"45",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"46",103,52,307,3966,185,16,170,143,48,153,48,2561,364,66,53,1088,222,1001,304
"47",132,44,254,4417,219,45,174,178,73,190,71,3259,441,168,30,1230,509,935,606
"48",65,47,290,3955,146,-16,163,106,13,116,11,2773,354,120,34,1036,376,904,482
"49",92,47,279,4136,176,7,168,135,37,146,35,2553,339,121,30,956,381,758,488
"50",92,47,279,4136,176,7,168,135,37,146,35,2553,339,121,30,956,381,758,488
