"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"2",51,55,358,3322,123,-31,154,92,21,92,5,3046,539,68,67,1482,211,1482,332
"3",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"4",78,55,349,3423,150,-6,157,120,46,120,30,2944,609,46,85,1703,142,1703,172
"5",68,51,315,3798,149,-15,163,107,17,117,16,2362,337,72,49,966,240,902,314
"6",136,45,260,4375,222,48,174,157,116,192,75,2723,382,146,33,1131,454,648,564
"7",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"8",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"9",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"10",144,47,263,4450,232,54,178,166,83,201,82,2872,401,154,30,1103,478,743,584
"11",68,51,315,3798,149,-15,163,107,17,117,16,2362,337,72,49,966,240,902,314
"12",112,53,303,4107,197,22,175,150,56,165,56,2363,451,52,70,1181,178,1174,247
"13",112,53,303,4107,197,22,175,150,56,165,56,2363,451,52,70,1181,178,1174,247
"14",55,47,291,3908,135,-25,160,96,4,106,1,2608,328,111,34,960,351,832,466
"15",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"16",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"17",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"18",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"19",72,47,291,3940,154,-9,163,113,20,124,19,2308,298,109,36,845,341,707,404
"20",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"21",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"22",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"23",111,55,337,3623,186,23,163,156,77,156,60,2856,576,51,81,1592,157,1592,189
"24",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"25",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"26",175,56,315,4058,256,79,178,224,137,224,116,2379,418,49,69,1164,148,1164,185
"27",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"28",119,52,297,4188,204,28,176,157,82,172,61,2596,499,57,70,1318,177,1293,313
"29",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"30",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"31",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"32",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"33",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"34",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"35",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"36",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"37",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"38",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"39",65,52,354,3195,133,-14,147,105,36,105,21,3049,571,64,71,1589,204,1589,230
"40",81,55,348,3482,154,-5,159,124,49,124,32,3269,598,72,70,1654,220,1654,268
"41",68,46,285,4002,150,-13,163,104,16,121,14,2519,326,107,34,925,341,808,461
"42",66,47,291,3962,148,-15,163,108,14,118,12,2753,350,112,37,1030,352,945,456
"43",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"44",115,49,281,4253,201,27,174,153,58,170,56,2086,313,63,51,881,205,864,283
"45",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"46",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"47",62,52,322,3743,142,-21,163,96,12,110,11,2531,395,67,55,1086,227,1058,304
"48",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"49",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"50",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"51",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"52",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"53",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"54",56,48,299,3896,137,-25,162,91,6,107,3,2218,357,74,50,964,244,898,335
"55",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"56",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"57",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"58",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"59",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"60",58,47,296,3815,138,-21,159,77,8,108,6,2882,409,140,36,1151,430,826,501
"61",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"62",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"63",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"64",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"65",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"66",50,47,298,3792,130,-28,157,70,1,100,-1,2731,396,138,35,1102,424,712,499
"67",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"68",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"69",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"70",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"71",62,48,295,3938,143,-19,163,97,11,114,9,2214,306,84,40,858,276,798,374
"72",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"73",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"74",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"75",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"76",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"77",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"78",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"79",48,47,301,3759,127,-30,157,88,0,98,-2,2760,377,122,37,1069,378,875,448
"80",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"81",62,48,295,3938,143,-19,163,97,11,114,9,2214,306,84,40,858,276,798,374
"82",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"83",48,47,301,3759,127,-30,157,88,0,98,-2,2760,377,122,37,1069,378,875,448
"84",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"85",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"86",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"87",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"88",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"89",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"90",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"91",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"92",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"93",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"94",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"95",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"96",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"97",50,48,300,3861,130,-30,161,85,0,100,-2,2308,341,85,43,933,281,869,382
"98",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"99",67,47,286,3990,149,-14,163,103,15,119,13,2530,337,104,36,950,332,835,444
"100",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"101",65,48,294,3955,146,-17,163,100,13,116,11,2164,298,85,38,830,279,756,381
"102",67,47,287,3985,148,-15,163,102,15,119,13,2330,316,94,37,888,300,783,401
"103",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"104",67,47,287,3985,148,-15,163,102,15,119,13,2330,316,94,37,888,300,783,401
"105",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"106",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"107",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"108",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"109",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"110",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"111",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"112",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"113",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"114",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"115",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"116",67,47,286,3990,149,-14,163,103,15,119,13,2530,337,104,36,950,332,835,444
"117",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"118",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"119",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"120",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"121",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"122",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"123",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"124",102,51,297,4061,186,16,171,139,47,155,46,2142,315,63,50,882,207,818,274
"125",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"126",46,47,302,3752,125,-32,157,86,-2,96,-4,2622,350,113,38,1010,349,864,416
"127",46,47,302,3752,125,-32,157,86,-2,96,-4,2622,350,113,38,1010,349,864,416
"128",46,47,302,3752,125,-32,157,86,-2,96,-4,2622,350,113,38,1010,349,864,416
"129",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"130",93,53,325,3711,172,8,163,131,42,140,42,2936,441,77,56,1263,263,1220,263
"131",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"132",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"133",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"134",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
