"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"2",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"3",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"4",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"5",66,48,294,3953,148,-16,164,108,14,118,12,2732,354,103,40,1034,329,967,439
"6",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"7",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"8",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"9",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"10",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"11",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"12",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"13",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"14",72,51,311,3871,153,-12,165,112,20,121,19,2522,359,83,44,1036,277,876,373
"15",76,55,349,3437,149,-8,157,119,45,119,28,2912,570,56,77,1581,172,1581,206
"16",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
"17",57,55,357,3335,128,-26,154,98,26,98,11,3050,578,60,74,1606,186,1606,222
"18",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"19",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"20",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"21",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"22",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"23",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"24",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"25",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"26",43,48,303,3809,123,-36,159,77,-6,93,-8,2670,353,100,40,1011,322,950,437
"27",87,55,346,3497,161,1,159,130,55,130,38,2879,573,54,79,1586,166,1586,200
"28",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"29",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"30",50,47,297,3861,130,-30,160,90,0,100,-3,2648,334,109,36,996,345,900,454
"31",33,48,307,3744,112,-45,157,67,-15,82,-18,2683,368,98,41,1044,318,970,436
"32",47,47,300,3763,126,-31,157,66,-2,96,-4,2743,387,133,35,1075,411,769,485
"33",78,52,316,3836,159,-7,166,113,26,127,25,2449,401,57,60,1103,193,1074,266
"34",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"35",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"36",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"37",67,52,314,3831,148,-16,164,107,16,117,15,2617,365,84,45,1068,282,939,377
"38",90,51,302,3993,173,4,169,131,36,141,35,2198,304,64,49,908,214,828,289
"39",90,51,302,3993,173,4,169,131,36,141,35,2198,304,64,49,908,214,828,289
"40",60,52,318,3785,140,-23,163,94,9,108,8,2550,382,73,51,1054,245,1025,334
"41",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"42",59,55,356,3353,131,-24,155,100,28,100,12,2989,567,63,74,1573,193,1573,231
"43",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"44",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"45",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"46",57,52,319,3769,138,-25,163,96,7,106,6,2654,379,80,48,1072,268,1020,362
"47",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"48",72,51,313,3827,153,-12,164,111,20,121,19,2310,325,73,47,946,245,851,320
"49",87,46,278,4121,169,3,167,130,32,140,30,2429,326,114,31,901,360,671,477
"50",68,51,315,3798,149,-15,163,107,17,117,16,2362,337,72,49,966,240,902,314
"51",64,51,315,3783,145,-18,163,104,14,113,13,2439,352,82,44,1009,274,846,356
"52",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"53",172,55,294,4413,260,73,186,212,131,227,109,2483,540,37,86,1407,116,1392,135
"54",117,52,335,3474,188,32,156,160,85,160,68,2427,413,63,62,1140,199,1140,223
