"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",139,56,327,3841,217,46,171,186,103,186,84,2937,477,67,62,1315,204,1315,253
"2",104,55,340,3608,179,16,163,148,70,148,53,3350,599,72,69,1672,217,1672,270
"3",120,50,285,4239,204,30,174,158,83,174,61,2272,459,42,77,1221,130,1175,250
"4",125,44,259,4277,210,40,170,147,106,181,66,3451,509,182,36,1498,560,789,708
"5",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"6",141,56,322,3939,221,47,173,177,105,189,85,3217,574,56,71,1591,180,1579,240
"7",135,55,330,3743,211,44,167,180,99,180,81,2716,553,47,81,1521,144,1521,175
"8",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"9",137,47,268,4392,225,48,177,159,78,194,77,2526,352,139,31,998,437,633,525
"10",125,44,259,4277,210,40,170,147,106,181,66,3451,509,182,36,1498,560,789,708
"11",137,47,268,4392,225,48,177,159,78,194,77,2526,352,139,31,998,437,633,525
"12",114,55,337,3654,189,24,165,158,80,158,62,3419,654,65,76,1819,197,1819,250
"13",119,50,315,3636,193,35,158,156,68,164,68,3299,511,88,57,1437,292,1432,292
"14",126,49,312,3652,200,42,158,163,74,171,74,3408,520,93,56,1488,307,1463,307
"15",113,56,336,3673,189,24,165,158,79,158,61,3389,586,73,66,1621,221,1621,282
"16",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"17",93,55,344,3546,167,6,161,136,60,136,43,3431,616,72,70,1727,218,1727,270
"18",108,55,338,3634,183,19,164,152,74,152,56,3550,631,72,69,1761,220,1761,280
"19",141,48,267,4418,229,51,178,163,81,198,80,2697,388,147,32,1086,457,646,559
"20",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"21",141,48,267,4418,229,51,178,163,81,198,80,2697,388,147,32,1086,457,646,559
"22",131,50,282,4304,216,39,176,169,93,186,71,2239,444,43,74,1185,133,1130,259
"23",141,48,267,4418,229,51,178,163,81,198,80,2697,388,147,32,1086,457,646,559
"24",120,55,333,3720,196,29,166,165,85,165,67,3417,696,51,84,1930,159,1930,206
"25",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"26",99,50,292,4114,181,11,170,135,63,151,42,2236,458,42,77,1206,132,1172,240
"27",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"28",30,48,308,3730,109,-48,156,64,-18,79,-20,2585,365,93,42,1026,303,956,415
"29",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"30",88,50,301,3979,171,3,168,124,34,139,33,2258,337,68,50,927,222,874,293
"31",96,51,300,4025,180,10,170,138,42,148,41,2225,316,63,49,932,209,828,285
"32",88,51,303,3973,170,2,168,129,34,139,33,2382,341,73,46,996,245,865,330
"33",160,43,240,4579,248,70,177,183,98,220,96,3785,507,204,30,1423,631,1016,714
"34",146,43,246,4494,233,58,175,193,86,205,84,3701,491,190,31,1369,583,1055,676
"35",144,44,248,4485,231,55,176,190,84,202,82,3484,467,170,32,1316,520,1040,612
"36",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"37",137,41,238,4471,223,51,172,160,78,196,75,3694,470,209,27,1322,643,984,733
"38",136,51,293,4170,221,46,176,174,78,189,78,2383,355,60,56,1009,202,989,202
"39",136,51,293,4170,221,46,176,174,78,189,78,2383,355,60,56,1009,202,989,202
"40",120,53,302,4144,205,29,176,157,82,172,62,2503,472,53,69,1251,181,1218,262
"41",112,50,289,4186,195,23,173,149,76,166,54,2438,479,47,74,1288,144,1224,279
"42",167,51,283,4351,255,74,181,207,106,222,106,2065,310,54,55,871,182,860,182
"43",133,44,250,4462,219,45,174,172,73,191,71,2112,339,78,45,916,254,775,354
"44",133,44,250,4462,219,45,174,172,73,191,71,2112,339,78,45,916,254,775,354
"45",119,51,291,4163,204,30,174,162,62,172,62,1976,276,61,47,810,201,714,264
"46",192,29,172,4818,274,106,169,218,168,256,125,4025,506,242,23,1428,769,993,866
"47",154,42,235,4621,241,64,177,202,92,214,89,2533,308,115,33,906,353,837,461
"48",129,44,252,4433,214,41,173,167,69,186,67,2528,369,103,38,1027,331,810,456
"49",126,55,330,3744,203,36,167,172,91,172,72,2460,403,63,60,1114,195,1114,229
"50",126,55,330,3744,203,36,167,172,91,172,72,2460,403,63,60,1114,195,1114,229
"51",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"52",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"53",140,40,234,4501,225,53,172,163,80,199,78,3637,483,212,27,1331,651,881,750
"54",175,39,293,3169,233,100,133,212,128,212,128,2330,577,24,101,1605,80,1605,80
"55",87,52,344,3325,157,5,151,128,57,128,41,2707,518,55,73,1448,177,1448,197
"56",96,55,343,3561,170,9,161,140,63,140,46,3324,607,72,70,1679,219,1679,268
"57",84,52,346,3315,154,3,151,125,54,125,38,2637,507,57,71,1400,182,1400,205
"58",67,52,314,3836,148,-16,164,107,16,117,15,2548,363,84,44,1047,282,886,377
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"61",100,49,296,3935,181,16,165,140,47,150,46,2718,397,93,45,1133,307,946,375
"62",121,56,332,3744,197,30,167,167,86,167,68,3588,682,60,77,1900,188,1900,246
"63",186,38,215,4716,273,96,177,235,122,248,121,3157,438,155,34,1236,494,969,528
"64",196,37,205,4845,284,105,179,220,257,259,128,3329,444,176,29,1306,602,690,756
"65",84,52,310,3931,167,-2,168,120,31,135,30,2219,402,51,64,1052,173,1048,241
"66",118,48,276,4263,203,30,174,139,60,173,59,2635,374,135,32,1032,423,664,524
"67",168,49,289,4069,249,78,171,209,110,218,110,2699,440,79,51,1225,261,967,261
"68",83,53,328,3637,160,0,160,120,33,129,33,2931,426,79,54,1277,269,1176,345
"69",122,51,287,4249,208,32,176,166,64,176,63,2255,309,92,36,872,306,700,409
"70",125,56,332,3768,202,34,168,171,90,171,71,2976,542,60,70,1474,181,1474,228
"71",97,53,307,4013,180,9,171,133,42,148,41,2341,437,54,67,1140,184,1136,253
"72",99,53,309,3988,183,12,171,136,45,150,44,2454,405,70,55,1063,238,1038,320
"73",130,44,254,4395,216,43,173,176,71,187,69,3551,477,186,30,1327,566,1013,666
"74",128,41,239,4418,213,43,170,151,70,187,68,3684,476,211,27,1324,648,944,745
"75",150,52,326,3616,222,62,161,194,116,194,98,2703,579,46,83,1582,146,1582,168
"76",150,52,326,3616,222,62,161,194,116,194,98,2703,579,46,83,1582,146,1582,168
"77",102,53,341,3403,172,18,154,143,70,143,53,2782,472,73,60,1279,232,1279,265
"78",205,34,192,4823,291,116,175,230,266,269,138,3093,424,154,33,1256,524,596,718
"79",210,39,209,5017,300,114,186,252,166,275,139,2097,251,97,29,723,310,558,470
"80",216,33,181,5107,305,123,182,270,148,283,145,2165,251,115,24,725,351,608,452
"81",146,43,245,4541,233,57,177,193,85,205,83,2542,316,128,30,882,390,807,485
"82",112,48,278,4223,198,25,172,134,55,167,54,2495,342,128,32,964,402,657,495
"83",99,52,341,3378,168,16,153,140,67,140,51,2427,429,57,66,1191,181,1191,203
"84",137,54,330,3659,211,48,163,182,103,182,85,3106,642,51,83,1789,155,1789,191
"85",124,56,333,3739,200,33,167,170,89,170,70,3326,557,73,64,1542,223,1542,285
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"88",135,44,251,4434,222,48,174,181,76,193,74,3470,463,177,30,1299,541,1012,635
"89",120,53,301,4149,205,28,176,157,82,172,62,2403,456,52,69,1203,178,1175,255
"90",100,53,310,3986,183,12,171,136,45,150,45,2446,440,61,63,1141,209,1141,282
"91",69,53,320,3789,150,-15,164,104,18,118,17,2358,396,61,59,1065,207,1040,273
"92",107,55,336,3622,183,20,163,152,74,152,56,2476,388,65,58,1084,205,1084,237
"93",150,56,324,3888,228,56,172,197,113,197,94,2596,489,51,72,1328,153,1328,193
"94",99,55,341,3574,174,12,162,144,66,144,49,3289,638,62,78,1779,188,1779,230
"95",121,48,330,3257,186,41,145,161,91,161,75,2576,571,34,89,1602,118,1602,120
"96",44,55,361,3272,115,-37,152,85,15,85,-1,3205,575,69,69,1597,214,1597,332
"97",101,51,339,3363,170,18,151,142,69,142,53,2841,566,48,80,1602,157,1602,170
"98",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"99",110,39,315,2895,165,41,125,145,68,145,68,2339,510,33,86,1425,111,1425,111
"100",120,53,301,4149,205,28,176,157,82,172,62,2403,456,52,69,1203,178,1175,255
"101",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"102",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"103",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"104",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"105",65,51,313,3836,147,-17,164,105,14,115,13,2570,355,83,45,1045,277,927,371
"106",196,48,259,4583,285,100,185,218,131,254,131,1890,296,77,42,796,251,541,251
"107",161,51,285,4313,248,68,180,205,100,215,100,2075,304,55,54,864,185,843,185
"108",68,48,294,3964,150,-14,164,109,16,120,14,2678,344,101,39,1014,323,949,433
"109",117,56,334,3715,193,26,166,162,82,162,64,3614,669,65,74,1862,201,1862,260
"110",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"111",109,52,306,4003,192,21,171,150,54,160,53,2363,353,59,52,1026,199,879,282
"112",100,53,310,3952,183,13,170,140,46,150,45,2165,314,55,54,920,187,837,260
"113",53,48,300,3874,133,-28,161,88,3,104,0,2332,358,76,49,989,248,946,342
"114",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"115",40,55,363,3247,111,-40,151,81,11,81,-5,3359,582,74,66,1625,231,1625,359
"116",96,52,325,3643,172,12,160,142,45,142,45,2756,445,66,61,1231,224,1231,224
"117",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"118",108,56,336,3693,184,18,166,154,74,154,56,3470,624,63,71,1736,197,1736,257
"119",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"120",108,56,336,3693,184,18,166,154,74,154,56,3470,624,63,71,1736,197,1736,257
"121",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"122",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"123",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"124",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"125",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"126",54,49,304,3865,135,-27,162,89,4,104,2,2572,371,84,46,1051,276,980,390
"127",117,55,333,3725,193,27,166,163,83,163,64,3409,702,48,85,1948,152,1948,200
"128",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"129",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"130",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"131",52,47,299,3776,131,-26,157,71,3,102,1,2892,403,135,37,1127,417,867,487
"132",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"133",51,47,299,3792,131,-27,158,91,2,101,0,2742,377,128,36,1048,396,818,470
"134",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"135",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"136",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"137",41,47,304,3718,119,-37,156,80,-7,89,-10,2711,366,122,37,1038,378,852,450
"138",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"139",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"140",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"141",42,47,303,3727,121,-35,156,61,-6,91,-8,2829,397,135,36,1101,415,823,490
"142",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"143",57,48,296,3908,138,-24,162,92,6,108,4,2165,289,82,39,826,268,759,365
"144",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"145",40,48,304,3797,119,-39,158,74,-9,90,-11,2440,333,91,40,944,297,875,405
"146",39,47,304,3705,118,-37,155,78,-8,88,-11,2851,393,131,36,1100,405,869,481
"147",65,47,294,3888,146,-15,161,85,14,116,12,2443,322,116,35,906,360,733,426
"148",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"149",54,49,304,3865,135,-27,162,89,4,104,2,2572,371,84,46,1051,276,980,390
"150",52,48,301,3785,132,-27,158,92,3,101,1,2539,339,103,40,991,319,871,382
"151",44,48,303,3814,123,-36,159,78,-6,93,-8,2411,350,87,43,970,285,912,389
"152",126,55,330,3744,203,36,167,172,91,172,72,2460,403,63,60,1114,195,1114,229
"153",88,52,344,3323,157,6,151,129,57,129,41,2856,558,54,77,1577,174,1577,192
"154",191,37,207,4882,279,99,180,216,252,255,122,3047,401,168,25,1109,588,634,708
"155",210,51,307,3855,283,116,167,255,172,255,152,2061,421,36,78,1157,115,1157,134
"156",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"157",80,52,310,3915,163,-5,167,116,28,131,27,2349,382,62,56,1027,208,1019,285
"158",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"159",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"160",190,46,304,3499,255,105,150,231,156,231,138,2278,536,31,91,1463,108,1463,111
"161",200,38,208,4950,290,107,183,252,133,265,131,2339,271,135,23,769,405,674,495
"162",181,39,216,4821,269,89,180,231,116,244,113,2966,392,160,25,1028,538,648,682
"163",102,51,297,4061,186,16,171,139,47,155,46,2142,315,63,50,882,207,818,274
"164",125,55,330,3762,201,34,168,171,90,171,71,3325,706,43,89,1958,137,1958,183
"165",223,40,226,4619,309,131,178,245,207,282,158,3294,533,150,44,1551,470,776,572
