"","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",45,48,303,3822,124,-35,159,79,-5,95,-7,2288,357,75,49,978,247,929,340
"2",55,49,300,3886,135,-26,162,90,4,106,2,2263,349,69,51,976,227,936,317
"3",112,56,336,3693,188,22,166,157,78,157,60,3569,629,69,69,1755,213,1755,276
"4",182,42,233,4712,271,90,182,205,117,243,116,3290,459,173,32,1269,537,864,607
"5",116,45,260,4332,200,29,171,154,79,172,56,2597,344,100,37,1010,324,853,490
"6",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"7",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"8",140,54,324,3810,216,47,168,186,104,186,85,3617,708,53,80,1975,171,1975,231
"9",55,51,316,3778,136,-26,162,95,5,104,4,2612,355,85,45,1055,283,957,377
"10",91,55,345,3531,164,4,161,134,58,134,41,3511,640,72,72,1797,218,1797,270
"11",57,47,296,3840,137,-22,159,77,7,107,5,2636,371,132,35,1039,408,708,482
"12",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"13",99,56,341,3592,174,11,163,144,66,144,48,3239,573,70,67,1587,213,1587,264
"14",135,42,250,4272,218,51,168,156,116,191,76,4123,611,204,38,1790,614,981,792
"15",117,43,254,4335,200,31,169,155,81,173,57,2723,413,88,47,1187,274,1000,487
"16",116,44,262,4211,200,32,168,137,96,171,58,3551,496,189,34,1480,568,904,685
"17",94,50,292,4090,176,6,169,130,58,146,37,2189,437,44,74,1155,137,1115,251
"18",91,48,286,4072,174,7,168,112,37,144,35,2634,354,129,33,990,403,766,491
"19",61,52,322,3741,141,-22,163,95,11,109,10,2472,369,72,51,1014,246,979,325
"20",41,55,363,3252,112,-39,151,82,12,82,-3,3300,594,69,70,1656,215,1656,335
"21",64,52,317,3807,145,-19,164,99,13,113,12,2501,389,68,54,1066,228,1037,312
"22",92,50,293,4083,174,5,169,128,57,144,35,2205,436,44,74,1164,139,1115,245
"23",63,52,316,3803,144,-19,164,103,13,113,12,2667,369,83,47,1083,279,989,374
