"","code","scientificname","WI"
"1",1,"Agrostis infirma",91.6
"2",1,"Agrostis infirma",49.9
"3",1,"Agrostis infirma",45.9
"4",1,"Agrostis infirma",0
"5",1,"Agrostis infirma",0
"6",1,"Agrostis infirma",0
"7",1,"Agrostis infirma",8.5
"8",1,"Agrostis infirma",0
"9",1,"Agrostis infirma",8.5
"10",1,"Agrostis infirma",0
"11",1,"Agrostis infirma",0
"12",1,"Agrostis infirma",0
"13",1,"Agrostis infirma",0
"14",1,"Agrostis infirma",0
"15",1,"Agrostis infirma",0
"16",1,"Agrostis infirma",0
"17",1,"Agrostis infirma",0
"18",1,"Agrostis infirma",75
"19",1,"Agrostis infirma",75
"20",1,"Agrostis infirma",115.5
"21",1,"Agrostis infirma",28.7
"22",1,"Agrostis infirma",34.8
"23",1,"Agrostis infirma",34.8
"24",1,"Agrostis infirma",99.4
"25",1,"Agrostis infirma",99.3
"26",1,"Agrostis infirma",99.3
"27",1,"Agrostis infirma",147.5
"28",1,"Agrostis infirma",154.7
"29",1,"Agrostis infirma",249.3
"30",1,"Agrostis infirma",249.3
"31",1,"Agrostis infirma",249.3
"32",1,"Agrostis infirma",249.3
"33",1,"Agrostis infirma",81.3
"34",1,"Agrostis infirma",81.3
"35",1,"Agrostis infirma",73.9
"36",1,"Agrostis infirma",73.9
"37",1,"Agrostis infirma",36.6
"38",1,"Agrostis infirma",36.6
"39",1,"Agrostis infirma",11.4
"40",1,"Agrostis infirma",81.2
"41",1,"Agrostis infirma",81.2
"42",1,"Agrostis infirma",81.2
"43",1,"Agrostis infirma",81.2
"44",1,"Agrostis infirma",81.2
"45",1,"Agrostis infirma",81.2
"46",1,"Agrostis infirma",81.2
"47",1,"Agrostis infirma",81.2
"48",1,"Agrostis infirma",81.2
"49",1,"Agrostis infirma",81.2
"50",1,"Agrostis infirma",81.2
"51",1,"Agrostis infirma",81.2
"52",1,"Agrostis infirma",81.2
"53",1,"Agrostis infirma",81.2
"54",1,"Agrostis infirma",81.2
"55",1,"Agrostis infirma",0
"56",1,"Agrostis infirma",0
"57",1,"Agrostis infirma",18.7
"58",1,"Agrostis infirma",8.8
"59",1,"Agrostis infirma",19.3
"60",1,"Agrostis infirma",51.8
"61",1,"Agrostis infirma",150.7
