"","code","bio1_1","bio1_2","bio1_3","bio1_4","bio1_5"
"1",1,16,72.75,114,153.5,258
"2",2,41,53,61,81,120
"3",3,39,72,99,121,235
"4",4,-121,-13.5,30,59,186
"5",5,30,52,67,107,212
"6",6,33,50,63,97.5,249
"7",7,39,82,94,121,245
"8",8,30,44,52.5,67,243
"9",9,-57,41,67,123.5,263
"10",10,39,54.75,68,82.5,222
"11",11,35,77,106,139.5,258
"12",12,6,93,128,145,242
"13",13,39,42,52,83.5,238
"14",14,81,117.5,135,142.5,216
"15",15,-22,54.25,76,105,167
"16",16,42,176.25,179,196.5,279
"17",17,40,144,159,172,240
"18",18,39,61.5,91,105,191
"19",19,39,42,50,67,217
"20",20,-110,-50.25,5,65.5,133
"21",21,-12,79,101,104,107
"22",22,39,51,81,120,243
"23",23,29,104.25,128,160.25,251
"24",24,2,60,69,94,221
"25",25,60,75.5,90,121.5,133
"26",26,15,47,62,75,197
"27",27,-29,47,67,99,145
"28",28,30,42,52,82.5,225
"29",29,39,65,88,109,232
"30",30,26,65,70,70,110
"31",31,27,67,77,95,142
"32",32,39,63,95.5,119.75,228
"33",33,30,50,63,77,223
"34",34,39,81.5,108.5,128.75,227
"35",35,42,60.25,66.5,78,112
"36",36,26,60,68,96,235
"37",37,53,89,100,118,218
"38",38,40,42.75,58.5,80,229
"39",39,39,55.25,64,88.75,195
"40",40,39,112,119,130.75,224
"41",41,40,65.25,83,93,232
"42",42,31,67,126,155,191
"43",43,-48,31.75,67,100.25,220
"44",44,30,42,53,72,241
"45",45,-12,60,69,88,214
"46",46,55,100,120,137,253
"47",47,10,64,80,102,253
"48",48,-44,1,12,23,75
"49",49,2,57,94,106,170
"50",50,39,92,118,149,251
"51",51,40,93.75,108,123,241
"52",52,55,99,131,182,243
"53",53,30,50,63,88,201
"54",54,63,128,142,160,222
"55",55,39,55.5,65,101,241
"56",56,39,42,50,53,232
"57",57,39,89,111,135,241
"58",58,39,81,102,122,231
"59",59,39,66,87,111,243
"60",60,39,72,97,122,225
"61",61,40,44,52,91.5,157
"62",62,30,42,51,60,243
"63",63,57,83,87,92,171
"64",64,-18,46,60,70,169
"65",65,39,78,100,125,241
"66",66,39,67,78,87.75,184
"67",67,39,47.25,60,72,225
"68",68,36,80.75,111,143.5,225
"69",69,40,91,132,184,268
"70",70,30,42,50,65,175
"71",71,30,47,65,87,243
"72",72,30,69,108,135,223
"73",73,39,63,93.5,128,249
