"","bio_1","groups","code","order"
"1",121.96062992126,"de","1",12
"2",74.9848484848485,"hi","10",50
"3",125.271317829457,"cde","11",10
"4",120.993927125506,"e","12",14
"5",74.4556213017752,"hi","13",53
"6",131.571428571429,"cde","14",7
"7",78.3984771573604,"h","15",47
"8",173.613636363636,"a","16",1
"9",153.403846153846,"b","17",2
"10",91.4714285714286,"fgh","18",32
"11",66.0882352941177,"hi","19",64
"12",65.7586206896552,"hi","2",65
"13",9.03225806451613,"k","20",73
"14",96.576,"efg","21",27
"15",94.6900826446281,"efg","22",28
"16",129.752688172043,"cde","23",8
"17",90.272,"fgh","24",35
"18",93.9677419354839,"efgh","25",29
"19",75.8526315789474,"hi","26",49
"20",69.176,"hi","27",59
"21",79.7379310344828,"gh","28",46
"22",90.662447257384,"fgh","29",34
"23",105.472440944882,"efg","3",22
"24",69.602,"hi","30",58
"25",81.032,"gh","31",44
"26",101.149122807018,"efg","32",24
"27",71.0879478827362,"hi","33",57
"28",114.754578754579,"ef","34",17
"29",68.9677419354839,"hi","35",60
"30",88.4943396226415,"gh","36",37
"31",109.59375,"efg","37",18
"32",67.4634146341463,"hi","38",62
"33",71.6774193548387,"hi","39",56
"34",26.647465437788,"j","4",71
"35",127.886363636364,"cde","40",9
"36",81.90625,"gh","41",42
"37",116.682926829268,"ef","42",15
"38",58.8060453400504,"i","43",67
"39",63.7142857142857,"hi","44",66
"40",73.5020080321285,"hi","45",54
"41",123.967346938776,"de","46",11
"42",83.912,"gh","47",41
"43",10.824,"k","48",72
"44",86.55,"gh","49",39
"45",77.9304347826087,"h","5",48
"46",133.030864197531,"cd","50",6
"47",115.548872180451,"ef","51",16
"48",150.957317073171,"b","52",3
"49",74.7586206896552,"hi","53",52
"50",142.183673469388,"bc","54",5
"51",81.0105263157895,"gh","55",45
"52",51.8651685393258,"i","56",70
"53",81.8235294117647,"gh","57",43
"54",106.603365384615,"efg","58",20
"55",93.2057142857143,"fgh","59",31
"56",87.3384615384615,"gh","6",38
"57",100.9375,"efg","60",25
"58",74.8148148148148,"hi","61",51
"59",57.9444444444444,"i","62",68
"60",93.3,"efgh","63",30
"61",71.8787878787879,"hi","64",55
"62",106.358139534884,"efg","65",21
"63",90.1290322580645,"fgh","66",36
"64",68.6190476190476,"hi","67",61
"65",121.9,"de","68",13
"66",148.338762214984,"b","69",4
"67",99.4751552795031,"efg","7",26
"68",57.5970149253731,"i","70",69
"69",84.2771739130435,"gh","71",40
"70",107.098837209302,"efg","72",19
"71",101.316363636364,"efg","73",23
"72",66.4382470119522,"hi","8",63
"73",90.7118644067797,"fgh","9",33
