"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",120.91,23.47,"1085983126",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"2",121.45,24.36,"1085983396",43,47,302,3724,121,-35,156,62,-6,91,-8,2869,401,135,36,1117,417,850,491
"3",121.38,24.38,"1085986181",115,48,277,4227,200,27,172,136,57,169,56,2469,336,132,32,974,414,653,497
"4",147.5,-8.916667,"94266154",113,55,727,413,150,74,76,117,107,117,106,3184,480,105,49,1350,324,1332,351
"5",147.341667,-8.425,"94266139",66,54,757,347,100,29,71,70,60,70,60,3051,395,117,40,1169,359,1141,385
"6",147.291667,-8.425,"94266145",100,54,747,370,134,62,72,104,94,104,94,2752,397,89,49,1159,275,1126,297
"7",147.758333,-9.175,"94266124",138,56,707,480,176,97,79,142,130,142,129,3108,440,107,43,1272,333,965,373
"8",147.591667,-8.925,"94266132",103,56,730,409,140,64,76,107,96,107,96,3708,404,176,24,1182,539,1052,590
"9",147.166667,-9.5,"94266120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",146.008333,-6.758333,"94266117",104,52,778,294,138,71,67,106,100,107,99,2159,271,76,37,781,231,723,250
