"","decimalLongitude","decimalLatitude","key","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"1",121.43,24.59,"1085965963",144,44,248,4485,231,55,176,190,84,202,82,3484,467,170,32,1316,520,1040,612
"2",121.41,24.58,"1085967655",138,44,251,4448,224,50,175,184,78,196,76,3478,468,178,30,1308,544,1007,640
"3",121.6,25.14,"1085991605",192,29,172,4818,274,106,169,218,168,256,125,4025,506,242,23,1428,769,993,866
"4",120.98,23.52,"1085984744",126,55,330,3744,203,36,167,172,91,172,72,2460,403,63,60,1114,195,1114,229
"5",120.98,23.52,"1085985592",126,55,330,3744,203,36,167,172,91,172,72,2460,403,63,60,1114,195,1114,229
"6",120.91,23.47,"1085994165",87,55,346,3507,161,1,160,131,55,131,38,3155,619,60,78,1719,183,1719,222
"7",120.89,23.54,"1086001372",125,56,332,3768,202,34,168,171,90,171,71,2976,542,60,70,1474,181,1474,228
"8",120.81,23.33,"1086016172",137,54,330,3659,211,48,163,182,103,182,85,3106,642,51,83,1789,155,1789,191
"9",121.32,21.35,"1085999538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",121.22,24.11,"1086000126",98,53,307,4018,182,10,171,135,43,149,43,2342,437,53,67,1142,181,1130,252
"11",121.41,24.59,"1086035398",135,44,251,4434,222,48,174,181,76,193,74,3470,463,177,30,1299,541,1012,635
"12",120.81,22.97,"1086027617",121,48,330,3257,186,41,145,161,91,161,75,2576,571,34,89,1602,118,1602,120
