,original,change
1,Agrostis infirma infirma,Agrostis infirma
2,Amitostigma alpestre,skin
3,Carex orthostemon,skin
4,Deyeuxia suizanensis,Calamagrostis filifolia
5,Gentiana davidii formosana,Gentiana davidii var. formosana
6,Gentiana scabrida punctulata,Gentiana scabrida? var.? punctulata
7,NULL_Euphrasia transmorrisonensis transmorrisonensis,Euphrasia transmorrisonensis
8,NULL_Potentilla leuconota,Potentilla leuconota var. morrisonicola
9,NULL_Salix taiwanalpina takasagoalpina,Salix morrisonicola ?var. takasagoalpina
10,Rhododendron rubropilosum rubropilosum,Rhododendron rubropilosum
11,Trisetum spicatum formosanum,Trisetum spicatum?var.?formosanum
12,Viola adenothrix adenothrix,Viola adenothrix
