做圖編號,學名(GBIF),vernacularName
1,Agrostis infirma,玉山翦股穎
2,Amitostigma alpestre,南湖雛蘭
3,Anaphalis morrisonicola,玉山抱莖籟簫
4,Anaphalis nepalensis,尼泊爾籟簫
5,Artemisia kawakamii,山艾
6,Athyrium reflexipinnum,逆羽蹄蓋蕨
7,Berberis kawakamii,臺灣小檗
8,Berberis morrisonensis,玉山小檗
9,Boschniakia himalaica,丁座草
10,Brachypodium kawakamii,川上短柄草
11,Calamagrostis filifolia,曲芒髮草
12,Carex breviculmis,短莖宿柱薹
13,Carex chrysolepis,黃花薹
14,Carex orthostemon,直蕊宿柱薹
15,Carex oxyandra,南投薹
16,Carex perakensis,黃穗薹
17,Carex tristachya pocilliformis,抱鱗宿柱薹
18,Cirsium arisanense,阿里山薊
19,Cirsium kawakamii,玉山薊
20,Dendrolycopodium juniperoideum,玉柏
21,Deschampsia flexuosa,水山野青茅
22,Dianthus pygmaeus,玉山石竹
23,Diphasiastrum multispicatum,地刷子
24,Diphasiastrum veitchii,玉山石松
25,Diphasiastrum yueshanense,玉山地刷子
26,Dryopteris alpestris,腺鱗毛蕨
27,Dryopteris expansa,闊葉鱗毛蕨
28,Elymus formosanus,臺灣披鹼草
29,Euphrasia transmorrisonensis,玉山小米草
30,Festuca ovina,羊茅
31,Festuca rubra,紫羊茅
32,Gaultheria itoana,高山白珠樹
33,Gentiana arisanensis,阿里山龍膽
34,Gentiana davidii var. formosana,臺灣龍膽
35,Gentiana scabrida var. punctulata,玉山龍膽
36,Gentiana scabrida,黑斑龍膽
37,Gnaphalium involucratum simplex,細葉鼠麴草
38,Helictotrichon abietetorum,冷杉異燕麥
39,Hieracium morii,森氏山柳菊
40,Hydrocotyle setulosa,阿里山天胡荽
41,Hypericum nagasawae,玉山金絲桃
42,Juniperus formosana formosana,刺柏
43,Juniperus squamata,香青
44,Luzula taiwaniana,臺灣地楊梅
45,Lycopodium clavatum,石松
46,Miscanthus sinensis,芒
47,Origanum vulgare,野薄荷
48,Phleum alpinum,高山梯牧草
49,Picris hieracioides,玉山毛蓮菜
50,Pieris taiwanensis,臺灣馬醉木
51,Pinus armandii mastersiana,臺灣華山松
52,Pinus taiwanensis,臺灣二葉松
53,Platanthera brevicalcarata,短距粉蝶蘭
54,Polygala japonica,瓜子金
55,Potentilla leuconota var. morrisonicola,玉山金梅
56,Potentilla tugitakensis,雪山翻白草
57,Rhododendron pseudochrysanthum,玉山杜鵑
58,Rhododendron rubropilosum,紅毛杜鵑
59,Rosa transmorrisonensis,高山薔薇
60,Rubus rolfei,高山懸鉤子
61,Salix morrisonicola var. takasagoalpina,高山柳
62,Scabiosa lacerifolia,玉山山蘿蔔
63,Selliguea quasidivaricata,玉山茀蕨
64,Solidago virgaurea leiocarpa,一枝黃花
65,Spiraea formosana,臺灣繡線菊
66,Spiraea hayatana,假繡線菊
67,Spiraea morrisonicola,玉山繡線菊
68,Swertia macrosperma,大籽當藥
69,Trichophorum subcapitatum,玉山針藺
70,Trisetum spicatum var. formosanum,臺灣三毛草
71,Veronica morrisonicola,玉山水苦藚
72,Viola adenothrix,喜岩菫菜
73,Yushania niitakayamensis,玉山箭竹
,,
