"","code","1","2","3","4","5"
"1","1",0,33.1,79.8,133.2,249.9
"2","10",11.7,23.15,35.85,43.3,206
"3","11",0,47.6,76.1,124,249.9
"4","12",2,62.9,94.25,113.2,230
"5","13",11.7,15.8,25.6,65.7,225.5
"6","14",43.7,79.5,94.1,109.6,199.2
"7","15",11.8,46.225,63.8,86.7,140.4
"8","16",11.7,111.525,131.45,148.55,227.9
"9","17",11.7,26.8,50.8,78,168.9
"10","18",13.8,15.8,21.1,39.675,200.5
"11","19",6.4,25.7,32.9,40.3,99.6
"12","2",14.7,23.8,27.4,36.5,84
"13","20",17.6,63.775,67.9,69.1,76.1
"14","21",11.7,22.4,49.5,89.2,231.2
"15","22",0,52.5,95.1,136.3,241.2
"16","23",10,26.2,40.4,89.6,205.7
"17","24",26.2,37.45,47.6,86.5,99.8
"18","25",11.7,24.65,32.3,49.9,176.3
"19","26",9.9,37.25,46.4,65.425,113.6
"20","27",9.4,15.8,27.8,75.4,209.7
"21","28",11.7,27.8,47.6,71.4,218.3
"22","29",24.6,47,48.4,48.8,78.8
"23","3",11.7,41.8,64.9,90,222.1
"24","30",16.4,47.3,51.3,62.2,110.3
"25","31",11.7,32.8,61.4,90.9,214.2
"26","32",9.4,21.1,30,43.3,207.4
"27","33",11.7,46.5,75.4,99.5,212.6
"28","34",15.8,26.2,31.3,43.3,74.8
"29","35",11.7,26.6,37,70.8,222.1
"30","36",22.7,50.275,60.1,81.925,202.1
"31","37",11.7,14.7,24,37,215
"32","38",11.7,22.7,27.7,40.65,173.8
"33","39",13.8,77.75,85.35,103.85,208.6
"34","4",0,7.9,16.1,34.525,163
"35","40",11.7,32.1,43.45,52.7,218.3
"36","41",19.4,36.8,89.4,126.5,169.7
"37","42",0,16.9,32.3,61.1,203.9
"38","43",9.4,15.8,22.55,36.625,229.8
"39","44",20,45.75,51.55,70.275,196.5
"40","45",23.8,69.7,94.35,109.825,243.6
"41","46",22.3,47.1,55.8,68.5,244
"42","47",0,13.95,19,24.5,66.6
"43","48",19.6,56.55,66.9,74.75,143.6
"44","49",11.7,59.8,90.2,146.6,241.6
"45","5",9.4,21.6,28,48.75,194.5
"46","50",11.7,55.4,73.9,91.6,229.8
"47","51",23.8,76.9,138.4,160.9,231.2
"48","52",9.4,21.1,29.1,46.15,181.2
"49","53",32.4,95.6,112.9,128.4,206.8
"50","54",11.7,23.4,28,50.75,229.8
"51","55",13.8,14.8,18.7,23,218.2
"52","56",11.7,59.8,73.9,93.2,229.8
"53","57",11.7,43.3,66.15,91.65,217.1
"54","58",13.8,32.1,47.4,74.45,231.2
"55","59",11.7,35.9,59.8,85.8,210.5
"56","6",10.7,21.1,32.8,59,238.8
"57","60",11.7,17.1,26.8,62,127.9
"58","61",9.4,15.8,20.9,26.75,231.9
"59","62",22.1,44.55,47.6,58.75,145.6
"60","63",16.5,41.9,53.2,63.45,142.5
"61","64",11.7,37,65.7,93.2,229.8
"62","65",13.8,32.4,43.6,73.9,161.2
"63","66",11.7,18.9,26.2,43.3,210.5
"64","67",13.8,48.625,90,125.9,210.5
"65","68",0,65.7,125.9,171.9,261.3
"66","69",9.4,14.8,21.1,29,150.5
"67","7",11.7,41.8,51.6,79.55,233.9
"68","70",9.4,21.7,32.4,61.65,231.2
"69","71",9.4,33.125,71.15,101.925,207.4
"70","72",11.7,30.35,64.6,99.3,238.3
"71","8",9.4,16.7,23,37,231.2
"72","9",0,41.8,52.6,89.6,255.9
